 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000137 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000016 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 346 , 0.031449 , 0.029907 , 0.039497 , 0.027686 , 0.03055 , 0.031187 , 0.035271 , 0.027398 , 0.031398 , 0.031008 , 0.033897 , 0.02173 , 0.036949 , 0.022606 , 0.028123 , 0.021838 , 0.03037 , 0.033321 , 0.030596 , 0.034633 , 0.027977 , 0.032434 , 0.028088 , 0.024887 , 0.026363 , 0.039006 , 0.031654 , 0.031365 , 0.029118 , 0.039835 , 0.033133 , 0.028874 , 0.025964 , 0.026301 , 0.024142 
 347 , 0.029892 , 0.030753 , 0.040406 , 0.029171 , 0.031176 , 0.031013 , 0.036286 , 0.028218 , 0.030371 , 0.031845 , 0.034654 , 0.022297 , 0.037437 , 0.021767 , 0.02829 , 0.02275 , 0.030801 , 0.033572 , 0.031209 , 0.034213 , 0.028008 , 0.031955 , 0.027941 , 0.024696 , 0.026879 , 0.038952 , 0.031995 , 0.031258 , 0.028897 , 0.040972 , 0.033938 , 0.029105 , 0.026913 , 0.026772 , 0.024388 
 348 , 0.028561 , 0.031514 , 0.041301 , 0.030568 , 0.031703 , 0.030862 , 0.037256 , 0.028959 , 0.029474 , 0.032611 , 0.035371 , 0.022775 , 0.037839 , 0.021029 , 0.028422 , 0.023612 , 0.031192 , 0.033793 , 0.031766 , 0.033841 , 0.028031 , 0.031531 , 0.027811 , 0.024524 , 0.027372 , 0.038903 , 0.032315 , 0.031161 , 0.028698 , 0.04202 , 0.034711 , 0.02931 , 0.027787 , 0.027206 , 0.024617 
 349 , 0.028569 , 0.032021 , 0.0423 , 0.030406 , 0.031531 , 0.030789 , 0.036575 , 0.02822 , 0.028962 , 0.032883 , 0.036029 , 0.022369 , 0.038074 , 0.021831 , 0.029174 , 0.023591 , 0.031337 , 0.034057 , 0.031629 , 0.034201 , 0.027588 , 0.031871 , 0.027708 , 0.02456 , 0.027325 , 0.038783 , 0.032237 , 0.031133 , 0.028776 , 0.04194 , 0.035463 , 0.029434 , 0.027545 , 0.026879 , 0.024604 
 350 , 0.029141 , 0.03239 , 0.043287 , 0.029676 , 0.031125 , 0.030703 , 0.035328 , 0.027 , 0.028589 , 0.03302 , 0.036678 , 0.021676 , 0.038322 , 0.023204 , 0.030231 , 0.023243 , 0.031383 , 0.034378 , 0.031249 , 0.034823 , 0.026994 , 0.032509 , 0.027623 , 0.024683 , 0.027095 , 0.038631 , 0.032005 , 0.03113 , 0.028983 , 0.041434 , 0.0362 , 0.029533 , 0.026901 , 0.026276 , 0.024506 
 351 , 0.029786 , 0.032704 , 0.044196 , 0.029009 , 0.030768 , 0.030568 , 0.03419 , 0.025906 , 0.028219 , 0.033222 , 0.037334 , 0.021057 , 0.038664 , 0.024524 , 0.031354 , 0.022923 , 0.031423 , 0.034742 , 0.030904 , 0.035408 , 0.02644 , 0.033145 , 0.027545 , 0.024812 , 0.026901 , 0.038475 , 0.031777 , 0.031127 , 0.029214 , 0.040947 , 0.036917 , 0.029635 , 0.026303 , 0.025703 , 0.024417 
 352 , 0.030148 , 0.032545 , 0.044271 , 0.028822 , 0.030538 , 0.030483 , 0.033598 , 0.025392 , 0.028199 , 0.033366 , 0.037362 , 0.02104 , 0.03882 , 0.025361 , 0.031871 , 0.022824 , 0.031693 , 0.035241 , 0.03083 , 0.035928 , 0.026105 , 0.033362 , 0.027427 , 0.024808 , 0.02685 , 0.038459 , 0.031898 , 0.031247 , 0.029382 , 0.040569 , 0.037272 , 0.029805 , 0.026172 , 0.025501 , 0.024402 
 353 , 0.029852 , 0.03156 , 0.042838 , 0.029508 , 0.030506 , 0.030547 , 0.033948 , 0.02588 , 0.028866 , 0.033302 , 0.036182 , 0.022131 , 0.038492 , 0.025263 , 0.031097 , 0.023128 , 0.03242 , 0.035931 , 0.031247 , 0.036339 , 0.026152 , 0.032769 , 0.02723 , 0.024538 , 0.027035 , 0.038715 , 0.032707 , 0.031606 , 0.029389 , 0.040392 , 0.03692 , 0.030096 , 0.026906 , 0.025992 , 0.024519 
 354 , 0.029577 , 0.030674 , 0.041548 , 0.030152 , 0.030467 , 0.030599 , 0.034276 , 0.02634 , 0.029515 , 0.033233 , 0.03512 , 0.023153 , 0.038183 , 0.025165 , 0.030399 , 0.023398 , 0.033117 , 0.036572 , 0.031633 , 0.036719 , 0.026187 , 0.032227 , 0.027043 , 0.024286 , 0.027198 , 0.038942 , 0.033484 , 0.031935 , 0.029385 , 0.040218 , 0.036584 , 0.030362 , 0.027598 , 0.02645 , 0.024619 
 355 , 0.029322 , 0.029872 , 0.040381 , 0.030758 , 0.030421 , 0.030641 , 0.034584 , 0.026775 , 0.030147 , 0.033159 , 0.034161 , 0.02411 , 0.037891 , 0.025068 , 0.029767 , 0.023638 , 0.033786 , 0.037168 , 0.03199 , 0.03707 , 0.026213 , 0.031729 , 0.026864 , 0.024049 , 0.027341 , 0.039144 , 0.034231 , 0.032239 , 0.029374 , 0.040047 , 0.036265 , 0.030604 , 0.028252 , 0.026881 , 0.024705 
