  time  ,48:23 PM,48:34 PM,48:42 PM,48:47 PM,48:56 PM,49:39 PM,49:50 PM,49:56 PM,50:06 PM,50:14 PM,50:47 PM,50:54 PM,51:04 PM,51:11 PM,51:20 PM,52:05 PM,52:13 PM,52:22 PM,52:33 PM,52:44 PM,53:21 PM,53:29 PM,53:36 PM,53:44 PM,53:52 PM,54:33 PM,54:40 PM,54:48 PM,55:01 PM,55:10 PM,55:50 PM,56:00 PM,56:07 PM,56:14 PM,56:21 PM,57:02 PM,57:09 PM,57:17 PM,57:27 PM,57:36 PM,58:17 PM,58:24 PM,58:31 PM,58:40 PM,58:52 PM,59:30 PM,59:39 PM,59:48 PM,59:55 PM,00:04 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 331 , 0.026575 , 0.023404 , 0.021131 , 0.027807 , 0.020862 , 0.023137 , 0.035412 , 0.036597 , 0.033932 , 0.030645 , 0.03319 , 0.034409 , 0.030258 , 0.02559 , 0.02646 , 0.032314 , 0.029088 , 0.034565 , 0.027086 , 0.022519 , 0.021492 , 0.03418 , 0.028118 , 0.030215 , 0.026764 , 0.037362 , 0.03929 , 0.025074 , 0.025626 , 0.035501 , 0.047182 , 0.03455 , 0.02846 , 0.035471 , 0.042045 , 0.03468 , 0.023476 , 0.02565 , 0.031974 , 0.026195 , 0.034378 , 0.02872 , 0.024379 , 0.038199 , 0.028887 , 0.029369 , 0.019169 , 0.028577 , 0.023962 , 0.0282 
 332 , 0.024952 , 0.021841 , 0.020875 , 0.028769 , 0.019342 , 0.021602 , 0.034522 , 0.031419 , 0.034151 , 0.028933 , 0.032322 , 0.034713 , 0.03 , 0.025612 , 0.026392 , 0.031395 , 0.028179 , 0.03251 , 0.025729 , 0.022039 , 0.021028 , 0.032126 , 0.027356 , 0.029031 , 0.02708 , 0.036324 , 0.037948 , 0.024605 , 0.02556 , 0.035408 , 0.046166 , 0.035191 , 0.029571 , 0.034927 , 0.041075 , 0.03348 , 0.023293 , 0.025726 , 0.030947 , 0.025705 , 0.0337 , 0.027618 , 0.023775 , 0.037916 , 0.028244 , 0.02863 , 0.0187 , 0.027748 , 0.02356 , 0.027726 
 333 , 0.02319 , 0.018139 , 0.021472 , 0.028343 , 0.016335 , 0.021803 , 0.031639 , 0.023139 , 0.03236 , 0.026497 , 0.031066 , 0.033255 , 0.027647 , 0.024724 , 0.025233 , 0.03033 , 0.026257 , 0.029183 , 0.02377 , 0.019547 , 0.021248 , 0.027964 , 0.024836 , 0.028516 , 0.026563 , 0.033918 , 0.035864 , 0.023144 , 0.025117 , 0.033942 , 0.042448 , 0.032266 , 0.029499 , 0.032464 , 0.039239 , 0.030838 , 0.022574 , 0.025897 , 0.029257 , 0.024712 , 0.032733 , 0.025912 , 0.022476 , 0.037699 , 0.026918 , 0.02679 , 0.017886 , 0.025923 , 0.022812 , 0.026576 
 334 , 0.021658 , 0.014866 , 0.021966 , 0.028051 , 0.013826 , 0.02203 , 0.029131 , 0.016586 , 0.03081 , 0.024447 , 0.030013 , 0.032027 , 0.025623 , 0.023907 , 0.024241 , 0.029414 , 0.024583 , 0.026405 , 0.022037 , 0.017583 , 0.021423 , 0.024458 , 0.022691 , 0.028033 , 0.026151 , 0.031845 , 0.034051 , 0.021881 , 0.024712 , 0.032672 , 0.039303 , 0.029816 , 0.029606 , 0.030334 , 0.037668 , 0.028578 , 0.021935 , 0.026167 , 0.027791 , 0.023853 , 0.031856 , 0.024436 , 0.02135 , 0.037593 , 0.025756 , 0.025199 , 0.017189 , 0.024348 , 0.022176 , 0.025572 
 335 , 0.021001 , 0.013239 , 0.022603 , 0.027797 , 0.013318 , 0.022903 , 0.028877 , 0.013701 , 0.031062 , 0.023945 , 0.030078 , 0.031072 , 0.024573 , 0.023942 , 0.023696 , 0.029575 , 0.02499 , 0.025532 , 0.021609 , 0.016675 , 0.022122 , 0.022718 , 0.021958 , 0.028401 , 0.025916 , 0.03079 , 0.033604 , 0.021163 , 0.024862 , 0.032791 , 0.037547 , 0.028408 , 0.030077 , 0.029313 , 0.036647 , 0.027691 , 0.021555 , 0.026498 , 0.026857 , 0.023322 , 0.031368 , 0.023913 , 0.020909 , 0.037521 , 0.02522 , 0.02437 , 0.016891 , 0.023666 , 0.02211 , 0.025201 
 336 , 0.023036 , 0.016482 , 0.02395 , 0.027611 , 0.018767 , 0.025968 , 0.035955 , 0.020021 , 0.037258 , 0.027975 , 0.033773 , 0.03092 , 0.026218 , 0.026726 , 0.024538 , 0.033274 , 0.032209 , 0.029976 , 0.025402 , 0.018178 , 0.024733 , 0.025724 , 0.025407 , 0.031705 , 0.026185 , 0.032517 , 0.037306 , 0.021981 , 0.026861 , 0.037463 , 0.039192 , 0.029426 , 0.031645 , 0.031518 , 0.037182 , 0.030744 , 0.021899 , 0.026933 , 0.027316 , 0.023709 , 0.031969 , 0.026138 , 0.02249 , 0.03747 , 0.026468 , 0.025712 , 0.017789 , 0.025573 , 0.023848 , 0.026719 
 337 , 0.024629 , 0.018909 , 0.025076 , 0.027351 , 0.023468 , 0.02824 , 0.04227 , 0.025548 , 0.042911 , 0.031703 , 0.03698 , 0.030628 , 0.027611 , 0.029368 , 0.024984 , 0.036689 , 0.037904 , 0.033525 , 0.028032 , 0.019471 , 0.026821 , 0.028294 , 0.028703 , 0.035131 , 0.026356 , 0.033903 , 0.040645 , 0.022568 , 0.02854 , 0.041834 , 0.040685 , 0.030246 , 0.032633 , 0.033406 , 0.037502 , 0.033497 , 0.022161 , 0.027259 , 0.027649 , 0.023977 , 0.032498 , 0.028188 , 0.023855 , 0.037373 , 0.027565 , 0.026789 , 0.018535 , 0.027136 , 0.02533 , 0.028045 
 338 , 0.025885 , 0.020741 , 0.026028 , 0.027045 , 0.027573 , 0.029932 , 0.047977 , 0.030442 , 0.048138 , 0.035199 , 0.039795 , 0.030252 , 0.028803 , 0.031908 , 0.025171 , 0.039886 , 0.042443 , 0.036387 , 0.029862 , 0.020598 , 0.028507 , 0.030515 , 0.031897 , 0.038736 , 0.026452 , 0.035024 , 0.043694 , 0.022985 , 0.029966 , 0.04598 , 0.042054 , 0.030912 , 0.033224 , 0.035044 , 0.037665 , 0.036011 , 0.02236 , 0.027502 , 0.027887 , 0.024157 , 0.032968 , 0.030103 , 0.025049 , 0.037244 , 0.02854 , 0.027659 , 0.019162 , 0.028431 , 0.02661 , 0.029217 
 339 , 0.02551 , 0.021416 , 0.023917 , 0.02511 , 0.026314 , 0.030817 , 0.042476 , 0.028108 , 0.043622 , 0.03209 , 0.037731 , 0.030042 , 0.027278 , 0.029485 , 0.024991 , 0.037831 , 0.038905 , 0.034424 , 0.027873 , 0.021574 , 0.026592 , 0.028875 , 0.029536 , 0.037742 , 0.025951 , 0.034098 , 0.041382 , 0.022343 , 0.029122 , 0.041693 , 0.040615 , 0.030603 , 0.031955 , 0.033286 , 0.036972 , 0.035351 , 0.022331 , 0.026826 , 0.027308 , 0.023368 , 0.032943 , 0.029286 , 0.024189 , 0.036088 , 0.027623 , 0.026503 , 0.019059 , 0.027439 , 0.025441 , 0.028518 
 340 , 0.024909 , 0.021845 , 0.021556 , 0.023248 , 0.024451 , 0.031524 , 0.03662 , 0.024961 , 0.038451 , 0.028652 , 0.035171 , 0.029841 , 0.025524 , 0.02682 , 0.024753 , 0.035446 , 0.034715 , 0.031969 , 0.025654 , 0.022423 , 0.024473 , 0.026873 , 0.026778 , 0.036176 , 0.025403 , 0.032923 , 0.038613 , 0.021592 , 0.027967 , 0.037099 , 0.038902 , 0.030161 , 0.030518 , 0.031209 , 0.036196 , 0.034248 , 0.022265 , 0.02607 , 0.02665 , 0.022506 , 0.032846 , 0.02813 , 0.023097 , 0.034902 , 0.026505 , 0.025141 , 0.018844 , 0.026161 , 0.02402 , 0.027598 
