MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00012.spu,MAY26LOF00013.spu,MAY26LOF00014.spu,MAY26LOF00015.spu,MAY26LOF00016.spu,MAY26LOF00017.spu,MAY26LOF00018.spu,MAY26LOF00019.spu,MAY26LOF00020.spu,MAY26LOF00021.spu,MAY26LOF00022.spu,MAY26LOF00023.spu,MAY26LOF00024.spu,MAY26LOF00025.spu,MAY26LOF00026.spu,MAY26LOF00027.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,52:33 PM,52:47 PM,52:55 PM,53:05 PM,53:12 PM,54:49 PM,54:59 PM,55:10 PM,55:16 PM,55:21 PM,55:53 PM,56:13 PM,56:19 PM,56:26 PM,56:32 PM,58:05 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 403 , 0.031383 , 0.025437 , 0.024491 , 0.038083 , 0.030463 , 0.03172 , 0.03609 , 0.026908 , 0.029535 , 0.026963 , 0.023926 , 0.023096 , 0.023263 , 0.030412 , 0.030358 , 0.039344 
 404 , 0.031914 , 0.025599 , 0.024912 , 0.038405 , 0.030705 , 0.032259 , 0.036454 , 0.027344 , 0.029813 , 0.027263 , 0.024064 , 0.023263 , 0.023487 , 0.030716 , 0.030856 , 0.039734 
 405 , 0.032406 , 0.025752 , 0.025305 , 0.0387 , 0.030933 , 0.032763 , 0.036796 , 0.027749 , 0.030074 , 0.027541 , 0.024193 , 0.023419 , 0.023698 , 0.031 , 0.03132 , 0.040099 
 406 , 0.032821 , 0.025927 , 0.025581 , 0.039015 , 0.031196 , 0.033209 , 0.037074 , 0.028114 , 0.030353 , 0.027828 , 0.024362 , 0.023636 , 0.023877 , 0.031305 , 0.031711 , 0.040472 
 407 , 0.033126 , 0.026149 , 0.025693 , 0.039366 , 0.03153 , 0.033582 , 0.037276 , 0.028429 , 0.030671 , 0.028136 , 0.024606 , 0.023964 , 0.024013 , 0.031659 , 0.032016 , 0.040878 
 408 , 0.033412 , 0.026359 , 0.025799 , 0.039698 , 0.031848 , 0.033934 , 0.037466 , 0.02873 , 0.030973 , 0.02843 , 0.024833 , 0.024269 , 0.024139 , 0.031993 , 0.0323 , 0.041263 
 409 , 0.033686 , 0.02656 , 0.025899 , 0.040014 , 0.032146 , 0.034266 , 0.037647 , 0.029009 , 0.031256 , 0.028707 , 0.025052 , 0.02456 , 0.024262 , 0.032309 , 0.032572 , 0.041627 
 410 , 0.034068 , 0.026696 , 0.02619 , 0.040264 , 0.032545 , 0.034668 , 0.037912 , 0.029243 , 0.031396 , 0.02906 , 0.025119 , 0.024663 , 0.02441 , 0.032666 , 0.032931 , 0.041911 
 411 , 0.03443 , 0.026822 , 0.026461 , 0.040497 , 0.032925 , 0.035049 , 0.038161 , 0.02946 , 0.031525 , 0.029393 , 0.02518 , 0.02476 , 0.024552 , 0.033003 , 0.033266 , 0.042179 
 412 , 0.034769 , 0.026938 , 0.026721 , 0.04072 , 0.033279 , 0.035408 , 0.038397 , 0.029666 , 0.03165 , 0.029706 , 0.025238 , 0.024851 , 0.024686 , 0.033322 , 0.033586 , 0.042427 
 413 , 0.035169 , 0.027129 , 0.02699 , 0.041081 , 0.033605 , 0.035835 , 0.038676 , 0.029959 , 0.031879 , 0.029943 , 0.025356 , 0.025006 , 0.024911 , 0.033657 , 0.033954 , 0.042783 
 414 , 0.035592 , 0.027354 , 0.027262 , 0.041508 , 0.033912 , 0.036287 , 0.038973 , 0.030292 , 0.032156 , 0.030132 , 0.025498 , 0.025195 , 0.025183 , 0.034 , 0.034347 , 0.043184 
