Year,Site,Treatment,Block,Plot,Species,Relative Cover
2013,MAT,NP,1,6,bare,0
2013,MAT,NP,1,6,And pol,0
2013,MAT,NP,1,6,Arc alp,0
2013,MAT,NP,1,6,Bet nan,33
2013,MAT,NP,1,6,Cal lap,0
2013,MAT,NP,1,6,Car big,0
2013,MAT,NP,1,6,Cas tet,0
2013,MAT,NP,1,6,Emp nig,0
2013,MAT,NP,1,6,Eri vag,0.5
2013,MAT,NP,1,6,Led pal,0.5
2013,MAT,NP,1,6,Ped lap,0
2013,MAT,NP,1,6,Pol bis,0
2013,MAT,NP,1,6,Rub cha,40.8
2013,MAT,NP,1,6,Sal pul,0
2013,MAT,NP,1,6,Vac uli,0
2013,MAT,NP,1,6,Vac vit,0
2013,MAT,NP,1,6,Tofieldia,0
2013,MAT,NP,1,6,Car mic,0
2013,MAT,NP,1,6,St. D. Bet.,13.6
2013,MAT,NP,1,6,St. D. Sal pul,0
2013,MAT,NP,1,6,vole litter,0
2013,MAT,NP,1,7,moss,0
2013,MAT,NP,1,7,lichen,0
2013,MAT,NP,1,7,litter,6.3
2013,MAT,NP,1,7,frost boil,0
2013,MAT,NP,1,7,bare,0
2013,MAT,NP,1,7,And pol,0
2013,MAT,NP,1,7,Arc alp,0
2013,MAT,NP,1,7,Bet nan,48.2
2013,MAT,NP,1,7,Cal lap,0
2013,MAT,NP,1,7,Car big,0
2013,MAT,NP,1,7,Cas tet,0
2013,MAT,NP,1,7,Emp nig,0
2013,MAT,NP,1,7,Eri vag,0.5
2013,MAT,NP,1,7,Led pal,4.2
2013,MAT,NP,1,7,Ped lap,0
2013,MAT,NP,1,7,Pol bis,0
2013,MAT,NP,1,7,Rub cha,38.7
2013,MAT,NP,1,7,Sal pul,0
2013,MAT,NP,1,7,Vac uli,0
2013,MAT,NP,1,7,Vac vit,0
2013,MAT,NP,1,7,Tofieldia,0
2013,MAT,NP,1,7,Car mic,0
2013,MAT,NP,1,7,St. D. Bet.,2.1
2013,MAT,NP,1,7,St. D. Sal pul,0
2013,MAT,NP,1,7,vole litter,0
2013,MAT,NP,1,8,moss,0
2013,MAT,NP,1,8,lichen,0
2013,MAT,NP,1,8,litter,5
2013,MAT,NP,1,8,frost boil,0
2013,MAT,NP,1,8,bare,0
2013,MAT,NP,1,8,And pol,0
2013,MAT,NP,1,8,Arc alp,0
2013,MAT,NP,1,8,Bet nan,45.4
2013,MAT,NP,1,8,Cal lap,0
2013,MAT,NP,1,8,Car big,0
2013,MAT,NP,1,8,Cas tet,0
2013,MAT,NP,1,8,Emp nig,0
2013,MAT,NP,1,8,Eri vag,0.4
2013,MAT,NP,1,8,Led pal,0.4
2013,MAT,NP,1,8,Ped lap,0
2013,MAT,NP,1,8,Pol bis,0
2013,MAT,NP,1,8,Rub cha,47.1
2013,MAT,NP,1,8,Sal pul,0
2013,MAT,NP,1,8,Vac uli,0
2013,MAT,NP,1,8,Vac vit,0
2013,MAT,NP,1,8,Tofieldia,0
2013,MAT,NP,1,8,Car mic,0
2013,MAT,NP,1,8,St. D. Bet.,1.7
2013,MAT,NP,1,8,St. D. Sal pul,0
2013,MAT,NP,1,8,vole litter,0
2013,MAT,N,1,1,moss,0
2013,MAT,N,1,1,lichen,0
2013,MAT,N,1,1,litter,0
2013,MAT,N,1,1,frost boil,0
2013,MAT,N,1,1,bare,0
2013,MAT,N,1,1,And pol,0
2013,MAT,N,1,1,Arc alp,0
2013,MAT,N,1,1,Bet nan,43
2013,MAT,N,1,1,Cal lap,0
2013,MAT,N,1,1,Car big,0
2013,MAT,N,1,1,Cas tet,0
2013,MAT,N,1,1,Emp nig,0
2013,MAT,N,1,1,Eri vag,0
2013,MAT,N,1,1,Led pal,8.9
2013,MAT,N,1,1,Ped lap,0
2013,MAT,N,1,1,Pol bis,0
2013,MAT,N,1,1,Rub cha,35.4
2013,MAT,N,1,1,Sal pul,10.1
2013,MAT,N,1,1,Vac uli,0
