  time  ,1:37 PM",1:43 PM",1:50 PM",1:57 PM",2:02 PM",2:34 PM",2:40 PM",2:46 PM",2:52 PM",2:57 PM",3:02 PM",3:34 PM",3:39 PM",3:46 PM",3:53 PM",3:59 PM",4:33 PM",4:39 PM",4:44 PM",4:50 PM",4:56 PM",5:31 PM",5:37 PM",5:42 PM",5:48 PM",5:54 PM",6:27 PM",6:33 PM",6:38 PM",6:45 PM",6:50 PM",7:24 PM",7:30 PM",7:36 PM",7:42 PM",8:42 PM",8:47 PM",8:54 PM",8:59 PM",9:06 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 748 , 0.273466 , 0.28605 , 0.329335 , 0.306264 , 0.354323 , 0.296103 , 0.325321 , 0.288653 , 0.229903 , 0.319162 , 0.29248 , 0.244319 , 0.269265 , 0.274683 , 0.301328 , 0.295506 , 0.340786 , 0.353871 , 0.286164 , 0.348344 , 0.270054 , 0.351189 , 0.331511 , 0.332373 , 0.3269 , 0.323688 , 0.363435 , 0.33764 , 0.337369 , 0.403671 , 0.338707 , 0.367076 , 0.354419 , 0.302859 , 0.338038 , 0.261098 , 0.259043 , 0.252281 , 0.258217 , 0.314027 
 749 , 0.274373 , 0.286904 , 0.330575 , 0.307371 , 0.355789 , 0.297074 , 0.326474 , 0.28996 , 0.230594 , 0.320489 , 0.293614 , 0.245166 , 0.270224 , 0.275556 , 0.30228 , 0.296519 , 0.341959 , 0.35504 , 0.287104 , 0.349755 , 0.270852 , 0.352588 , 0.332954 , 0.333667 , 0.328153 , 0.324946 , 0.364999 , 0.338879 , 0.338589 , 0.405384 , 0.339996 , 0.368369 , 0.355777 , 0.303808 , 0.339326 , 0.262095 , 0.259896 , 0.253132 , 0.259033 , 0.31518 
 750 , 0.275294 , 0.28778 , 0.331851 , 0.308502 , 0.357293 , 0.298068 , 0.32765 , 0.291296 , 0.231302 , 0.321847 , 0.294776 , 0.246039 , 0.271203 , 0.276444 , 0.303261 , 0.297554 , 0.343156 , 0.356228 , 0.28807 , 0.351205 , 0.271663 , 0.354025 , 0.334435 , 0.334992 , 0.329442 , 0.326228 , 0.366601 , 0.340154 , 0.339839 , 0.407126 , 0.341316 , 0.369688 , 0.35716 , 0.304774 , 0.340644 , 0.263124 , 0.26077 , 0.253997 , 0.259862 , 0.316357 
 751 , 0.275972 , 0.288522 , 0.332782 , 0.309415 , 0.358438 , 0.298782 , 0.328539 , 0.292317 , 0.231853 , 0.322864 , 0.295641 , 0.246778 , 0.271914 , 0.277221 , 0.303967 , 0.298408 , 0.344101 , 0.357195 , 0.288895 , 0.352298 , 0.272281 , 0.355077 , 0.335591 , 0.335971 , 0.330412 , 0.327315 , 0.367865 , 0.341181 , 0.340813 , 0.408519 , 0.342295 , 0.370724 , 0.358315 , 0.305601 , 0.341707 , 0.263955 , 0.261452 , 0.254663 , 0.260521 , 0.317349 
 752 , 0.27658 , 0.289168 , 0.333523 , 0.31037 , 0.359464 , 0.299408 , 0.329359 , 0.293135 , 0.232355 , 0.323755 , 0.296428 , 0.247401 , 0.272479 , 0.277899 , 0.30457 , 0.299316 , 0.344909 , 0.358067 , 0.289604 , 0.353217 , 0.272797 , 0.355921 , 0.336527 , 0.336834 , 0.331236 , 0.328256 , 0.36895 , 0.342057 , 0.341659 , 0.409803 , 0.343063 , 0.371617 , 0.359305 , 0.306354 , 0.342658 , 0.264704 , 0.262043 , 0.255206 , 0.261136 , 0.318243 
 753 , 0.277225 , 0.289852 , 0.334299 , 0.311379 , 0.360542 , 0.300066 , 0.330221 , 0.293998 , 0.232883 , 0.3247 , 0.297253 , 0.248059 , 0.273074 , 0.278613 , 0.305206 , 0.300269 , 0.345759 , 0.358982 , 0.290356 , 0.354186 , 0.273338 , 0.356814 , 0.337517 , 0.337745 , 0.332107 , 0.329245 , 0.370092 , 0.342983 , 0.342547 , 0.411155 , 0.343874 , 0.372567 , 0.360352 , 0.307147 , 0.343659 , 0.265489 , 0.262664 , 0.255779 , 0.261785 , 0.319191 
 754 , 0.277815 , 0.290391 , 0.33478 , 0.312204 , 0.361454 , 0.300551 , 0.331034 , 0.294663 , 0.233444 , 0.325412 , 0.29792 , 0.24867 , 0.273679 , 0.279264 , 0.305721 , 0.301053 , 0.3466 , 0.359615 , 0.291004 , 0.354947 , 0.273889 , 0.357355 , 0.338247 , 0.338501 , 0.332774 , 0.329969 , 0.371002 , 0.343715 , 0.343275 , 0.412258 , 0.344476 , 0.373497 , 0.361219 , 0.307951 , 0.344445 , 0.266131 , 0.263215 , 0.256255 , 0.262422 , 0.31987 
 755 , 0.27829 , 0.290665 , 0.334728 , 0.312603 , 0.362021 , 0.300727 , 0.331742 , 0.294979 , 0.234053 , 0.325651 , 0.298314 , 0.249239 , 0.274282 , 0.279824 , 0.306032 , 0.301475 , 0.347439 , 0.359789 , 0.291519 , 0.35535 , 0.274488 , 0.357345 , 0.338574 , 0.338967 , 0.333138 , 0.330277 , 0.371528 , 0.344073 , 0.343711 , 0.412897 , 0.34479 , 0.37442 , 0.361746 , 0.308713 , 0.34492 , 0.266464 , 0.263603 , 0.256583 , 0.262961 , 0.32009 
 756 , 0.278807 , 0.290967 , 0.33467 , 0.312993 , 0.362607 , 0.300915 , 0.33252 , 0.295316 , 0.234723 , 0.325872 , 0.298734 , 0.249888 , 0.274933 , 0.280444 , 0.306376 , 0.301908 , 0.348373 , 0.359989 , 0.292092 , 0.355778 , 0.275145 , 0.357333 , 0.33895 , 0.339481 , 0.333557 , 0.330627 , 0.372111 , 0.344443 , 0.344186 , 0.41359 , 0.345161 , 0.375448 , 0.362307 , 0.309519 , 0.345455 , 0.266803 , 0.26401 , 0.256943 , 0.263529 , 0.320329 
 757 , 0.279382 , 0.291293 , 0.334584 , 0.313424 , 0.363249 , 0.301144 , 0.333364 , 0.295686 , 0.23544 , 0.326091 , 0.299204 , 0.250586 , 0.27564 , 0.281116 , 0.306771 , 0.302396 , 0.34938 , 0.360207 , 0.29272 , 0.356246 , 0.275871 , 0.357322 , 0.339347 , 0.340023 , 0.334021 , 0.331011 , 0.372737 , 0.344842 , 0.344705 , 0.414333 , 0.345549 , 0.376561 , 0.362899 , 0.310407 , 0.346019 , 0.267172 , 0.264468 , 0.257339 , 0.264155 , 0.320565 
 758 , 0.280226 , 0.291621 , 0.334281 , 0.313951 , 0.363869 , 0.301646 , 0.334238 , 0.296176 , 0.236009 , 0.326063 , 0.29974 , 0.251124 , 0.276351 , 0.281671 , 0.307372 , 0.303061 , 0.350306 , 0.360474 , 0.293385 , 0.356729 , 0.276681 , 0.357346 , 0.339658 , 0.340449 , 0.334555 , 0.331397 , 0.373215 , 0.345103 , 0.345184 , 0.414959 , 0.345807 , 0.377614 , 0.363321 , 0.311384 , 0.346312 , 0.267553 , 0.265111 , 0.257765 , 0.264924 , 0.320562 
 759 , 0.281213 , 0.292017 , 0.333967 , 0.314584 , 0.364593 , 0.302247 , 0.335205 , 0.296745 , 0.236624 , 0.326101 , 0.30034 , 0.251656 , 0.277167 , 0.282263 , 0.308037 , 0.303829 , 0.351325 , 0.360798 , 0.294118 , 0.357347 , 0.27758 , 0.357434 , 0.34002 , 0.340964 , 0.335118 , 0.331854 , 0.373791 , 0.345422 , 0.345741 , 0.415647 , 0.346085 , 0.378737 , 0.363862 , 0.31252 , 0.34661 , 0.268026 , 0.2659 , 0.258265 , 0.265775 , 0.32053 
 760 , 0.282287 , 0.292449 , 0.333627 , 0.315267 , 0.365377 , 0.302901 , 0.336263 , 0.297364 , 0.237286 , 0.326145 , 0.30098 , 0.252238 , 0.27805 , 0.282908 , 0.308764 , 0.304665 , 0.352427 , 0.361152 , 0.294916 , 0.358014 , 0.278558 , 0.35753 , 0.340413 , 0.341517 , 0.33573 , 0.332359 , 0.374422 , 0.345761 , 0.346344 , 0.41639 , 0.346395 , 0.379958 , 0.364441 , 0.313766 , 0.346928 , 0.268546 , 0.266757 , 0.258817 , 0.266695 , 0.320502 
 761 , 0.283105 , 0.293216 , 0.334074 , 0.316104 , 0.366286 , 0.303644 , 0.337113 , 0.298036 , 0.237914 , 0.326953 , 0.301691 , 0.252876 , 0.278833 , 0.283581 , 0.309532 , 0.305542 , 0.353307 , 0.361978 , 0.295705 , 0.358958 , 0.279261 , 0.35828 , 0.341317 , 0.342367 , 0.336558 , 0.333256 , 0.375195 , 0.346424 , 0.346986 , 0.417469 , 0.347071 , 0.380876 , 0.365145 , 0.31456 , 0.347626 , 0.269223 , 0.267459 , 0.259649 , 0.267435 , 0.321144 
 762 , 0.283777 , 0.294219 , 0.334976 , 0.317113 , 0.367437 , 0.304373 , 0.337979 , 0.298827 , 0.238595 , 0.328021 , 0.302449 , 0.253596 , 0.279555 , 0.284383 , 0.310372 , 0.306371 , 0.354194 , 0.363061 , 0.296462 , 0.359997 , 0.279873 , 0.359268 , 0.342398 , 0.343255 , 0.337428 , 0.334253 , 0.376089 , 0.347392 , 0.347741 , 0.418796 , 0.347888 , 0.38185 , 0.365954 , 0.315287 , 0.348532 , 0.26997 , 0.268114 , 0.260576 , 0.268285 , 0.322163 
 763 , 0.284449 , 0.295212 , 0.335885 , 0.318112 , 0.368588 , 0.305102 , 0.338845 , 0.299613 , 0.239272 , 0.329085 , 0.303207 , 0.254318 , 0.280282 , 0.285187 , 0.311213 , 0.307194 , 0.355073 , 0.364138 , 0.297212 , 0.36103 , 0.280479 , 0.360255 , 0.343479 , 0.344144 , 0.338297 , 0.335245 , 0.376976 , 0.348359 , 0.348495 , 0.420122 , 0.348698 , 0.382822 , 0.366766 , 0.316019 , 0.349436 , 0.270713 , 0.268762 , 0.261494 , 0.269137 , 0.323183 
 764 , 0.285008 , 0.29624 , 0.337234 , 0.319118 , 0.369704 , 0.30588 , 0.339679 , 0.300472 , 0.239807 , 0.330399 , 0.30399 , 0.255014 , 0.280947 , 0.285947 , 0.311947 , 0.308045 , 0.355777 , 0.365417 , 0.297825 , 0.362106 , 0.280892 , 0.36149 , 0.344685 , 0.34507 , 0.339222 , 0.336338 , 0.377917 , 0.349405 , 0.349277 , 0.421479 , 0.3496 , 0.383533 , 0.367582 , 0.31649 , 0.350429 , 0.271557 , 0.269423 , 0.262331 , 0.269709 , 0.324356 
 765 , 0.285515 , 0.297269 , 0.339128 , 0.320115 , 0.370761 , 0.306851 , 0.340468 , 0.301344 , 0.240157 , 0.332056 , 0.304838 , 0.25575 , 0.281591 , 0.286625 , 0.312522 , 0.308974 , 0.356236 , 0.366868 , 0.298263 , 0.363235 , 0.28107 , 0.363047 , 0.346078 , 0.346084 , 0.34031 , 0.337648 , 0.378955 , 0.350572 , 0.350178 , 0.422942 , 0.350644 , 0.383897 , 0.368505 , 0.316652 , 0.351633 , 0.272537 , 0.270117 , 0.26307 , 0.269996 , 0.325743 
 766 , 0.286045 , 0.298238 , 0.340916 , 0.321079 , 0.371767 , 0.307816 , 0.341214 , 0.302154 , 0.240496 , 0.333655 , 0.305663 , 0.256472 , 0.282226 , 0.287273 , 0.313052 , 0.309884 , 0.356673 , 0.368221 , 0.298694 , 0.364323 , 0.281247 , 0.36453 , 0.347429 , 0.347064 , 0.341385 , 0.338928 , 0.379958 , 0.351704 , 0.351066 , 0.424364 , 0.351662 , 0.384245 , 0.369431 , 0.316828 , 0.352805 , 0.273481 , 0.270787 , 0.263781 , 0.270294 , 0.327069 
 767 , 0.286535 , 0.299167 , 0.34256 , 0.321962 , 0.372692 , 0.308738 , 0.34192 , 0.302894 , 0.240825 , 0.335106 , 0.306426 , 0.257141 , 0.282827 , 0.287908 , 0.313562 , 0.31072 , 0.357089 , 0.369496 , 0.299113 , 0.365342 , 0.281424 , 0.365909 , 0.348666 , 0.34797 , 0.342383 , 0.340114 , 0.380872 , 0.352746 , 0.351899 , 0.425673 , 0.352624 , 0.384586 , 0.370289 , 0.317009 , 0.353887 , 0.274354 , 0.271402 , 0.264448 , 0.270591 , 0.328311 
 768 , 0.286874 , 0.300171 , 0.34373 , 0.322643 , 0.373365 , 0.30967 , 0.342541 , 0.303474 , 0.241183 , 0.336064 , 0.307035 , 0.25763 , 0.283307 , 0.288706 , 0.314101 , 0.311306 , 0.3575 , 0.370657 , 0.299626 , 0.366238 , 0.281701 , 0.367078 , 0.349545 , 0.348712 , 0.343197 , 0.341052 , 0.381503 , 0.353516 , 0.352597 , 0.426643 , 0.353547 , 0.385021 , 0.370951 , 0.317318 , 0.354681 , 0.275083 , 0.271933 , 0.264984 , 0.270941 , 0.329439 
 769 , 0.287157 , 0.301123 , 0.344831 , 0.323321 , 0.373979 , 0.310521 , 0.343125 , 0.304088 , 0.241515 , 0.336937 , 0.307618 , 0.258022 , 0.283688 , 0.289422 , 0.314622 , 0.311811 , 0.357833 , 0.371652 , 0.300165 , 0.367036 , 0.281945 , 0.368116 , 0.350332 , 0.349442 , 0.343941 , 0.341891 , 0.382131 , 0.354218 , 0.353193 , 0.427485 , 0.354414 , 0.385452 , 0.371511 , 0.317569 , 0.35539 , 0.275843 , 0.272461 , 0.265499 , 0.271214 , 0.330534 
 770 , 0.287422 , 0.302033 , 0.345888 , 0.32396 , 0.374555 , 0.31133 , 0.343681 , 0.304677 , 0.241827 , 0.337771 , 0.308176 , 0.258392 , 0.284046 , 0.29011 , 0.315118 , 0.312283 , 0.358156 , 0.3726 , 0.30068 , 0.367798 , 0.282183 , 0.369107 , 0.351084 , 0.350137 , 0.344646 , 0.342691 , 0.382734 , 0.354884 , 0.353765 , 0.428286 , 0.355247 , 0.385864 , 0.37204 , 0.317805 , 0.356071 , 0.276563 , 0.272966 , 0.265986 , 0.271472 , 0.331573 
 771 , 0.287879 , 0.302813 , 0.34657 , 0.324418 , 0.375156 , 0.311991 , 0.344249 , 0.305184 , 0.242212 , 0.338393 , 0.308625 , 0.258838 , 0.284488 , 0.290654 , 0.315594 , 0.312663 , 0.358505 , 0.373153 , 0.301108 , 0.368436 , 0.282571 , 0.369705 , 0.351685 , 0.350776 , 0.345251 , 0.343291 , 0.38327 , 0.355456 , 0.354217 , 0.428981 , 0.355941 , 0.386332 , 0.372487 , 0.318195 , 0.356576 , 0.277151 , 0.273511 , 0.266511 , 0.271949 , 0.332221 
 772 , 0.288352 , 0.303574 , 0.347082 , 0.324763 , 0.375743 , 0.312591 , 0.344862 , 0.305613 , 0.242642 , 0.338975 , 0.309024 , 0.259361 , 0.285065 , 0.291152 , 0.316064 , 0.313034 , 0.358899 , 0.373716 , 0.301441 , 0.369107 , 0.28302 , 0.370205 , 0.352245 , 0.351329 , 0.345854 , 0.343852 , 0.383756 , 0.356006 , 0.354665 , 0.429678 , 0.356636 , 0.386768 , 0.372905 , 0.318671 , 0.357066 , 0.277638 , 0.274003 , 0.267062 , 0.272525 , 0.332677 
 773 , 0.288812 , 0.304323 , 0.34758 , 0.325101 , 0.37632 , 0.313184 , 0.345461 , 0.306035 , 0.243068 , 0.33955 , 0.309416 , 0.259879 , 0.285632 , 0.291637 , 0.316521 , 0.313397 , 0.359278 , 0.374264 , 0.301773 , 0.369758 , 0.283457 , 0.370702 , 0.352798 , 0.351873 , 0.346455 , 0.344405 , 0.384231 , 0.356547 , 0.355098 , 0.430357 , 0.357322 , 0.387193 , 0.373314 , 0.31914 , 0.357547 , 0.278108 , 0.274489 , 0.267609 , 0.273089 , 0.333119 
 774 , 0.289309 , 0.30499 , 0.347999 , 0.325526 , 0.376856 , 0.313764 , 0.346068 , 0.306493 , 0.24347 , 0.340124 , 0.309814 , 0.260288 , 0.286177 , 0.292058 , 0.317035 , 0.31382 , 0.359679 , 0.374787 , 0.302109 , 0.370365 , 0.283894 , 0.37117 , 0.353339 , 0.352345 , 0.346993 , 0.34498 , 0.384687 , 0.357037 , 0.355528 , 0.431024 , 0.357962 , 0.387637 , 0.373724 , 0.319638 , 0.358006 , 0.27861 , 0.274981 , 0.268107 , 0.273629 , 0.333533 
 775 , 0.289868 , 0.305536 , 0.348389 , 0.326024 , 0.377368 , 0.314318 , 0.346626 , 0.306964 , 0.243818 , 0.340669 , 0.310186 , 0.260516 , 0.286614 , 0.292465 , 0.317596 , 0.314292 , 0.360058 , 0.37534 , 0.302409 , 0.37088 , 0.28434 , 0.371625 , 0.353917 , 0.352748 , 0.347397 , 0.345558 , 0.38505 , 0.35741 , 0.355938 , 0.43165 , 0.358484 , 0.388083 , 0.374108 , 0.320142 , 0.358402 , 0.279109 , 0.275508 , 0.268508 , 0.274086 , 0.333909 
 776 , 0.290423 , 0.306071 , 0.348807 , 0.326512 , 0.377882 , 0.31487 , 0.347168 , 0.307432 , 0.244161 , 0.341198 , 0.310534 , 0.260714 , 0.287023 , 0.292885 , 0.318156 , 0.31475 , 0.360423 , 0.375914 , 0.302691 , 0.371375 , 0.284782 , 0.372096 , 0.354511 , 0.353156 , 0.347782 , 0.346136 , 0.385396 , 0.357765 , 0.356347 , 0.432266 , 0.358974 , 0.388524 , 0.374489 , 0.320631 , 0.358777 , 0.279604 , 0.276046 , 0.268887 , 0.274533 , 0.334279 
 777 , 0.290956 , 0.306609 , 0.349226 , 0.326991 , 0.378392 , 0.315381 , 0.34769 , 0.307878 , 0.244499 , 0.341723 , 0.3109 , 0.260932 , 0.287439 , 0.29333 , 0.318682 , 0.315203 , 0.360797 , 0.376488 , 0.302991 , 0.371867 , 0.285224 , 0.372553 , 0.355091 , 0.353574 , 0.348166 , 0.346706 , 0.385736 , 0.358138 , 0.356747 , 0.432879 , 0.359439 , 0.388961 , 0.374863 , 0.321113 , 0.359172 , 0.280083 , 0.276566 , 0.269279 , 0.274979 , 0.334677 
 778 , 0.291337 , 0.307157 , 0.34963 , 0.327396 , 0.37893 , 0.315689 , 0.348119 , 0.308235 , 0.244841 , 0.342227 , 0.31134 , 0.261324 , 0.287881 , 0.293875 , 0.319023 , 0.315644 , 0.361312 , 0.376998 , 0.30342 , 0.372343 , 0.285592 , 0.372974 , 0.355496 , 0.353998 , 0.34861 , 0.347252 , 0.386084 , 0.358563 , 0.357148 , 0.433518 , 0.359807 , 0.3894 , 0.37525 , 0.321593 , 0.359647 , 0.280478 , 0.276927 , 0.269753 , 0.275454 , 0.335264 
 779 , 0.291687 , 0.30774 , 0.349998 , 0.327809 , 0.379492 , 0.31599 , 0.348549 , 0.308634 , 0.24517 , 0.342776 , 0.311852 , 0.261811 , 0.288386 , 0.294414 , 0.319329 , 0.316099 , 0.361964 , 0.377449 , 0.30389 , 0.372851 , 0.285953 , 0.373426 , 0.355828 , 0.354423 , 0.349111 , 0.347821 , 0.386484 , 0.358995 , 0.357539 , 0.434188 , 0.360221 , 0.389881 , 0.375654 , 0.322075 , 0.360132 , 0.280852 , 0.277276 , 0.270207 , 0.275954 , 0.335899 
 780 , 0.292048 , 0.308321 , 0.35037 , 0.328227 , 0.380066 , 0.316295 , 0.348983 , 0.309044 , 0.245504 , 0.34333 , 0.312369 , 0.262308 , 0.288902 , 0.294957 , 0.319633 , 0.316557 , 0.362622 , 0.377904 , 0.304357 , 0.373364 , 0.286318 , 0.373876 , 0.356157 , 0.354846 , 0.349616 , 0.348395 , 0.386888 , 0.359425 , 0.357935 , 0.434865 , 0.360633 , 0.39036 , 0.376056 , 0.322561 , 0.360627 , 0.281229 , 0.277635 , 0.270665 , 0.276452 , 0.336546 
 781 , 0.292455 , 0.308807 , 0.350914 , 0.328785 , 0.380628 , 0.316598 , 0.349527 , 0.309455 , 0.245817 , 0.343905 , 0.312908 , 0.262831 , 0.289419 , 0.295452 , 0.319788 , 0.316951 , 0.36321 , 0.378285 , 0.304719 , 0.37385 , 0.286589 , 0.374338 , 0.356593 , 0.355239 , 0.350118 , 0.348963 , 0.387353 , 0.359853 , 0.358294 , 0.435569 , 0.360964 , 0.390941 , 0.376514 , 0.322913 , 0.361156 , 0.281641 , 0.27806 , 0.271032 , 0.276796 , 0.337122 
 782 , 0.29293 , 0.309201 , 0.351448 , 0.329429 , 0.381005 , 0.316926 , 0.350157 , 0.309779 , 0.246163 , 0.344429 , 0.313375 , 0.26325 , 0.289835 , 0.295896 , 0.320028 , 0.317363 , 0.363603 , 0.37861 , 0.305111 , 0.374237 , 0.286836 , 0.37477 , 0.357105 , 0.355602 , 0.350549 , 0.349457 , 0.387735 , 0.360322 , 0.35862 , 0.436177 , 0.361253 , 0.391498 , 0.376921 , 0.323245 , 0.361683 , 0.282103 , 0.278527 , 0.271425 , 0.277075 , 0.33752 
 783 , 0.293408 , 0.309605 , 0.351998 , 0.330089 , 0.381387 , 0.317258 , 0.350803 , 0.310113 , 0.246518 , 0.344963 , 0.313846 , 0.263679 , 0.290253 , 0.296351 , 0.320265 , 0.317778 , 0.364 , 0.378945 , 0.3055 , 0.37464 , 0.287086 , 0.375206 , 0.357627 , 0.355969 , 0.350983 , 0.349955 , 0.38812 , 0.360794 , 0.358957 , 0.436803 , 0.361546 , 0.392065 , 0.377339 , 0.32358 , 0.362227 , 0.282575 , 0.279003 , 0.271826 , 0.277358 , 0.337921 
 784 , 0.29382 , 0.310051 , 0.352462 , 0.330729 , 0.381718 , 0.317671 , 0.351387 , 0.310437 , 0.246898 , 0.345402 , 0.314279 , 0.264087 , 0.290647 , 0.296768 , 0.320644 , 0.318263 , 0.364329 , 0.379382 , 0.305906 , 0.375025 , 0.287384 , 0.375598 , 0.358164 , 0.356381 , 0.351374 , 0.350435 , 0.388463 , 0.361298 , 0.359316 , 0.437458 , 0.361819 , 0.39262 , 0.377715 , 0.323945 , 0.36274 , 0.283085 , 0.279469 , 0.272216 , 0.277679 , 0.338323 
 785 , 0.294107 , 0.310535 , 0.352834 , 0.331279 , 0.382059 , 0.318148 , 0.351849 , 0.310735 , 0.2473 , 0.345724 , 0.314638 , 0.264463 , 0.291073 , 0.297095 , 0.321039 , 0.318772 , 0.364587 , 0.379953 , 0.306208 , 0.375413 , 0.287718 , 0.375877 , 0.358727 , 0.356853 , 0.351733 , 0.350883 , 0.388757 , 0.36176 , 0.359667 , 0.438185 , 0.361998 , 0.393046 , 0.378073 , 0.324272 , 0.363177 , 0.283641 , 0.279868 , 0.272571 , 0.278026 , 0.338775 
 786 , 0.29439 , 0.311038 , 0.353204 , 0.331816 , 0.382438 , 0.318632 , 0.352316 , 0.311026 , 0.247722 , 0.346049 , 0.314999 , 0.264834 , 0.29153 , 0.29741 , 0.321414 , 0.319269 , 0.364855 , 0.380544 , 0.306479 , 0.375817 , 0.288046 , 0.376139 , 0.35931 , 0.357333 , 0.352103 , 0.35133 , 0.389052 , 0.362215 , 0.360012 , 0.438941 , 0.362157 , 0.393445 , 0.378451 , 0.324589 , 0.363612 , 0.284214 , 0.280266 , 0.272923 , 0.278366 , 0.339254 
 787 , 0.294684 , 0.311541 , 0.353569 , 0.33232 , 0.382864 , 0.319103 , 0.352771 , 0.311309 , 0.248147 , 0.346407 , 0.31536 , 0.265209 , 0.292017 , 0.297724 , 0.321769 , 0.31976 , 0.365144 , 0.38108 , 0.306748 , 0.376223 , 0.288378 , 0.37641 , 0.359895 , 0.357821 , 0.352487 , 0.351785 , 0.389357 , 0.362664 , 0.360333 , 0.439694 , 0.362323 , 0.39382 , 0.378838 , 0.324913 , 0.364056 , 0.284778 , 0.280675 , 0.273306 , 0.278716 , 0.339727 
 788 , 0.295055 , 0.31204 , 0.353924 , 0.332628 , 0.383501 , 0.319406 , 0.35319 , 0.311551 , 0.24857 , 0.346907 , 0.315662 , 0.265588 , 0.292561 , 0.298084 , 0.322041 , 0.320153 , 0.365497 , 0.381336 , 0.30704 , 0.376638 , 0.28865 , 0.376748 , 0.360445 , 0.358287 , 0.3529 , 0.352242 , 0.389667 , 0.363087 , 0.360574 , 0.440385 , 0.362572 , 0.394184 , 0.379248 , 0.325231 , 0.364511 , 0.285196 , 0.281098 , 0.273778 , 0.279062 , 0.340161 
 789 , 0.295479 , 0.312583 , 0.354342 , 0.332918 , 0.384155 , 0.319663 , 0.35362 , 0.311836 , 0.249013 , 0.347437 , 0.315955 , 0.266008 , 0.293087 , 0.298541 , 0.322345 , 0.320546 , 0.36589 , 0.381595 , 0.307413 , 0.377082 , 0.288935 , 0.37714 , 0.361002 , 0.358727 , 0.353311 , 0.352769 , 0.390002 , 0.363543 , 0.360861 , 0.441091 , 0.362904 , 0.394657 , 0.379661 , 0.325562 , 0.364987 , 0.285582 , 0.28152 , 0.274299 , 0.279419 , 0.340616 
 790 , 0.295913 , 0.313137 , 0.354772 , 0.333219 , 0.384827 , 0.319917 , 0.354062 , 0.312124 , 0.249459 , 0.347985 , 0.316246 , 0.266438 , 0.293623 , 0.299009 , 0.322652 , 0.320949 , 0.366287 , 0.381866 , 0.307796 , 0.377531 , 0.289223 , 0.377537 , 0.361571 , 0.359178 , 0.353733 , 0.353307 , 0.390342 , 0.364009 , 0.361158 , 0.441808 , 0.363248 , 0.395148 , 0.380085 , 0.325897 , 0.36548 , 0.285978 , 0.281947 , 0.274825 , 0.279785 , 0.341076 
 791 , 0.296392 , 0.3136 , 0.355238 , 0.333716 , 0.385261 , 0.320211 , 0.354574 , 0.312574 , 0.249697 , 0.348621 , 0.316702 , 0.266717 , 0.294032 , 0.299475 , 0.32301 , 0.321494 , 0.366654 , 0.382398 , 0.30824 , 0.378038 , 0.289478 , 0.377935 , 0.362114 , 0.359605 , 0.354206 , 0.353858 , 0.390692 , 0.36441 , 0.361559 , 0.442547 , 0.363629 , 0.395619 , 0.380482 , 0.326228 , 0.365964 , 0.286485 , 0.282338 , 0.275237 , 0.280133 , 0.341501 
 792 , 0.296817 , 0.314083 , 0.355678 , 0.334313 , 0.385732 , 0.32068 , 0.355168 , 0.313102 , 0.249878 , 0.349346 , 0.317291 , 0.267015 , 0.2945 , 0.299967 , 0.323436 , 0.322152 , 0.367071 , 0.383072 , 0.308649 , 0.378657 , 0.289742 , 0.378354 , 0.362623 , 0.360125 , 0.354781 , 0.3544 , 0.391076 , 0.364805 , 0.361978 , 0.443347 , 0.363947 , 0.396066 , 0.380923 , 0.326703 , 0.366541 , 0.287148 , 0.282823 , 0.275606 , 0.280538 , 0.34191 
 793 , 0.29726 , 0.314573 , 0.356124 , 0.334929 , 0.386215 , 0.321163 , 0.355769 , 0.313637 , 0.250069 , 0.350084 , 0.317894 , 0.267318 , 0.29498 , 0.300477 , 0.323876 , 0.322823 , 0.367488 , 0.383767 , 0.309076 , 0.37929 , 0.290019 , 0.378786 , 0.36314 , 0.360653 , 0.355362 , 0.354962 , 0.391461 , 0.365207 , 0.362404 , 0.444162 , 0.364264 , 0.396519 , 0.38137 , 0.327183 , 0.367126 , 0.287822 , 0.283319 , 0.275987 , 0.280955 , 0.342326 
 794 , 0.297591 , 0.315091 , 0.356483 , 0.335525 , 0.386714 , 0.321638 , 0.356334 , 0.314012 , 0.250319 , 0.35077 , 0.318439 , 0.267722 , 0.295381 , 0.300991 , 0.324203 , 0.32337 , 0.367921 , 0.384387 , 0.309469 , 0.379844 , 0.290289 , 0.379172 , 0.363578 , 0.361155 , 0.355959 , 0.355507 , 0.391793 , 0.365633 , 0.36279 , 0.444914 , 0.364535 , 0.396963 , 0.38177 , 0.327628 , 0.367695 , 0.288389 , 0.28373 , 0.276401 , 0.281377 , 0.342776 
