  time  ,1:37 PM",1:43 PM",1:50 PM",1:57 PM",2:02 PM",2:34 PM",2:40 PM",2:46 PM",2:52 PM",2:57 PM",3:02 PM",3:34 PM",3:39 PM",3:46 PM",3:53 PM",3:59 PM",4:33 PM",4:39 PM",4:44 PM",4:50 PM",4:56 PM",5:31 PM",5:37 PM",5:42 PM",5:48 PM",5:54 PM",6:27 PM",6:33 PM",6:38 PM",6:45 PM",6:50 PM",7:24 PM",7:30 PM",7:36 PM",7:42 PM",8:42 PM",8:47 PM",8:54 PM",8:59 PM",9:06 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 341 , 0.00105 , 0.002453 , 0.002589 , 0.001153 , 0.000591 , 0.001258 , 0.001093 , 0.000182 , 0.001028 , 0.00187 , 0.000126 , 0.001334 , 0 , 0.00483 , 0.003809 , 0.009769 , 0.00523 , 0.009948 , 0.000828 , 0.001738 , 0.003162 , 0.004124 , 0.001674 , 0.000771 , 0.003928 , 0.002891 , 0 , 0.001867 , 0.002206 , 0.002064 , 0.002551 , 0.001687 , 0.002428 , 0.004493 , 0.001091 , 0.00138 , 0.000928 , 0.001303 , 0.001825 , 0.002516 
 342 , 0.001808 , 0.003121 , 0.003753 , 0.002027 , 0.000995 , 0.001861 , 0.001915 , 0.000574 , 0.001447 , 0.002948 , 0.000489 , 0.001877 , 0.000391 , 0.005767 , 0.005078 , 0.01246 , 0.007838 , 0.008911 , 0.001301 , 0.002765 , 0.004382 , 0.005663 , 0.002394 , 0.001329 , 0.005433 , 0.003879 , 0.000067 , 0.002625 , 0.003126 , 0.00278 , 0.003299 , 0.002497 , 0.003624 , 0.006031 , 0.001791 , 0.002158 , 0.001535 , 0.001969 , 0.002526 , 0.003617 
 343 , 0.002646 , 0.003874 , 0.004282 , 0.003502 , 0.001402 , 0.002822 , 0.003473 , 0.001323 , 0.001888 , 0.004367 , 0.001316 , 0.002476 , 0.001136 , 0.006091 , 0.005457 , 0.013102 , 0.008276 , 0.007473 , 0.002081 , 0.003851 , 0.006309 , 0.007691 , 0.003196 , 0.002091 , 0.006643 , 0.005128 , 0.000249 , 0.003458 , 0.003858 , 0.003707 , 0.003833 , 0.003536 , 0.004704 , 0.007273 , 0.002944 , 0.003104 , 0.002328 , 0.002638 , 0.003232 , 0.005211 
 344 , 0.003381 , 0.00438 , 0.004579 , 0.005105 , 0.001732 , 0.003721 , 0.005352 , 0.001969 , 0.002194 , 0.005771 , 0.002103 , 0.002933 , 0.001703 , 0.006212 , 0.005683 , 0.013333 , 0.008446 , 0.006911 , 0.002863 , 0.004697 , 0.008159 , 0.009397 , 0.003767 , 0.002786 , 0.007429 , 0.006089 , 0.000447 , 0.004087 , 0.004346 , 0.004416 , 0.004161 , 0.004486 , 0.005512 , 0.008057 , 0.004081 , 0.003913 , 0.002997 , 0.003168 , 0.003728 , 0.006747 
 345 , 0.004069 , 0.004855 , 0.004819 , 0.006646 , 0.002035 , 0.004586 , 0.007425 , 0.002525 , 0.002503 , 0.007119 , 0.002832 , 0.003371 , 0.00217 , 0.006375 , 0.005996 , 0.01293 , 0.008555 , 0.006786 , 0.003672 , 0.005406 , 0.009923 , 0.010766 , 0.004252 , 0.003442 , 0.00807 , 0.006901 , 0.00066 , 0.00465 , 0.004732 , 0.005034 , 0.004456 , 0.00541 , 0.006156 , 0.008511 , 0.005083 , 0.004587 , 0.003605 , 0.00362 , 0.004172 , 0.008318 
 346 , 0.005254 , 0.006671 , 0.005611 , 0.00669 , 0.002788 , 0.005821 , 0.007967 , 0.003278 , 0.003919 , 0.007998 , 0.003844 , 0.004773 , 0.002989 , 0.007828 , 0.008215 , 0.010504 , 0.009281 , 0.008775 , 0.005035 , 0.006548 , 0.011296 , 0.011243 , 0.005433 , 0.004534 , 0.009791 , 0.008208 , 0.001119 , 0.006018 , 0.005591 , 0.006324 , 0.005593 , 0.006824 , 0.007021 , 0.008476 , 0.005378 , 0.004945 , 0.004754 , 0.004374 , 0.005486 , 0.010578 
 347 , 0.006397 , 0.008618 , 0.006272 , 0.006719 , 0.003428 , 0.006976 , 0.008356 , 0.003967 , 0.005572 , 0.008725 , 0.004922 , 0.006269 , 0.003808 , 0.009126 , 0.010469 , 0.009674 , 0.009888 , 0.010642 , 0.006299 , 0.007545 , 0.012427 , 0.011655 , 0.006517 , 0.005556 , 0.011305 , 0.009334 , 0.001578 , 0.007335 , 0.006323 , 0.007512 , 0.006622 , 0.008137 , 0.007737 , 0.008535 , 0.005671 , 0.005185 , 0.005937 , 0.005022 , 0.006779 , 0.012745 
 348 , 0.007491 , 0.010684 , 0.006834 , 0.006741 , 0.003979 , 0.008051 , 0.008653 , 0.004595 , 0.007448 , 0.009341 , 0.006061 , 0.007833 , 0.004612 , 0.010289 , 0.012718 , 0.009323 , 0.010408 , 0.01238 , 0.007455 , 0.008422 , 0.013384 , 0.012016 , 0.007506 , 0.006503 , 0.012646 , 0.010314 , 0.002023 , 0.008593 , 0.006956 , 0.008603 , 0.007554 , 0.009354 , 0.008345 , 0.008629 , 0.005944 , 0.005354 , 0.007148 , 0.005585 , 0.008036 , 0.014816 
 349 , 0.008294 , 0.011551 , 0.008115 , 0.007465 , 0.004597 , 0.00907 , 0.009116 , 0.004964 , 0.008547 , 0.009929 , 0.00645 , 0.008632 , 0.005374 , 0.010934 , 0.013051 , 0.010076 , 0.011168 , 0.013861 , 0.008255 , 0.009342 , 0.013674 , 0.013372 , 0.008161 , 0.00709 , 0.013775 , 0.011229 , 0.00273 , 0.00964 , 0.008021 , 0.009642 , 0.008074 , 0.010486 , 0.009668 , 0.009752 , 0.006863 , 0.006387 , 0.007903 , 0.006212 , 0.009232 , 0.015265 
 350 , 0.008793 , 0.011677 , 0.009609 , 0.008288 , 0.005136 , 0.00986 , 0.00948 , 0.005132 , 0.009064 , 0.010316 , 0.006444 , 0.008916 , 0.005981 , 0.011176 , 0.012567 , 0.01096 , 0.011772 , 0.014926 , 0.008718 , 0.01007 , 0.013606 , 0.014826 , 0.00852 , 0.007389 , 0.014527 , 0.011882 , 0.003533 , 0.010374 , 0.009137 , 0.010441 , 0.008282 , 0.01135 , 0.01117 , 0.011104 , 0.007927 , 0.007739 , 0.008287 , 0.006729 , 0.010202 , 0.014902 
