AUG6NANT00050.spu,AUG6NANT00049.spu,AUG6NANT00048.spu,AUG6NANT00047.spu,AUG6NANT00046.spu,
Wavelength,AUG6NANT00051.spu,AUG6NANT00052.spu,AUG6NANT00053.spu,AUG6NANT00054.spu,AUG6NANT00055.spu,AUG6NANT00056.spu,AUG6NANT00057.spu,AUG6NANT00058.spu,AUG6NANT00059.spu,AUG6NANT00060.spu,AUG6NANT00061.spu,AUG6NANT00062.spu,AUG6NANT00063.spu,AUG6NANT00064.spu,AUG6NANT00065.spu,AUG6NANT00066.spu,AUG6NANT00067.spu,AUG6NANT00068.spu,AUG6NANT00069.spu,AUG6NANT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,28:08 AM,28:15 AM,28:20 AM,28:27 AM,28:35 AM,29:10 AM,29:17 AM,29:24 AM,29:31 AM,29:40 AM,30:09 AM,30:17 AM,31:03 AM,31:09 AM,31:16 AM,31:45 AM,31:50 AM,31:57 AM,32:04 AM,32:13 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 353 , 0.022387 , 0.0204 , 0.021607 , 0.018256 , 0.019468 , 0.008154 , 0.010934 , 0.008959 , 0.015216 , 0.014413 , 0.01477 , 0.011774 , 0.00801 , 0.016858 , 0.010013 , 0.021641 , 0.024429 , 0.013985 , 0.022378 , 0.017357 
 354 , 0.022461 , 0.020738 , 0.022154 , 0.018839 , 0.018794 , 0.0085 , 0.011365 , 0.009473 , 0.015209 , 0.014875 , 0.015209 , 0.012056 , 0.008448 , 0.016844 , 0.009929 , 0.021666 , 0.025367 , 0.014277 , 0.021643 , 0.017407 
 355 , 0.022516 , 0.021043 , 0.022659 , 0.019407 , 0.018204 , 0.008815 , 0.011773 , 0.009972 , 0.015192 , 0.015304 , 0.015622 , 0.012317 , 0.008851 , 0.01682 , 0.009849 , 0.021678 , 0.026302 , 0.014548 , 0.020995 , 0.017443 
 356 , 0.022848 , 0.021236 , 0.023105 , 0.019449 , 0.018964 , 0.009251 , 0.011637 , 0.010152 , 0.015155 , 0.015177 , 0.015969 , 0.012492 , 0.00896 , 0.017466 , 0.010474 , 0.022809 , 0.025791 , 0.013825 , 0.021283 , 0.018086 
 357 , 0.023144 , 0.021384 , 0.023491 , 0.019446 , 0.019736 , 0.009679 , 0.011472 , 0.01029 , 0.015114 , 0.015022 , 0.016271 , 0.012634 , 0.009036 , 0.018098 , 0.011122 , 0.023983 , 0.025286 , 0.013195 , 0.021567 , 0.018696 
 358 , 0.023395 , 0.021497 , 0.023825 , 0.019429 , 0.020455 , 0.010094 , 0.011309 , 0.010409 , 0.01507 , 0.014868 , 0.016536 , 0.012752 , 0.009097 , 0.018685 , 0.011754 , 0.025146 , 0.024846 , 0.012673 , 0.021806 , 0.019249 
 359 , 0.023553 , 0.021654 , 0.024108 , 0.019542 , 0.02052 , 0.010566 , 0.011608 , 0.010529 , 0.01546 , 0.015303 , 0.016886 , 0.012995 , 0.009285 , 0.018883 , 0.012262 , 0.025525 , 0.025155 , 0.01268 , 0.022088 , 0.019361 
 360 , 0.023641 , 0.021834 , 0.02435 , 0.019737 , 0.020141 , 0.011056 , 0.012229 , 0.010648 , 0.016162 , 0.016148 , 0.01729 , 0.013318 , 0.009557 , 0.018811 , 0.012653 , 0.025343 , 0.025958 , 0.013016 , 0.022392 , 0.019175 
 361 , 0.023708 , 0.021991 , 0.024563 , 0.01991 , 0.01979 , 0.011511 , 0.012821 , 0.010754 , 0.016845 , 0.016955 , 0.017662 , 0.013614 , 0.009806 , 0.018741 , 0.013013 , 0.025187 , 0.026715 , 0.013327 , 0.022663 , 0.018996 
 362 , 0.023809 , 0.022163 , 0.024701 , 0.020084 , 0.019574 , 0.011849 , 0.013345 , 0.010956 , 0.01742 , 0.017624 , 0.017979 , 0.013903 , 0.009991 , 0.018685 , 0.013276 , 0.025123 , 0.027286 , 0.013741 , 0.02274 , 0.018922 
