  time  ,10:54 AM,10:59 AM,11:04 AM,11:12 AM,11:21 AM,11:57 AM,12:06 AM,12:13 AM,12:23 AM,12:30 AM,13:14 AM,13:20 AM,13:28 AM,13:38 AM,13:45 AM,14:29 AM,14:37 AM,14:45 AM,14:52 AM,14:57 AM,17:00 AM,17:09 AM,17:16 AM,17:23 AM,17:29 AM,18:08 AM,18:14 AM,18:21 AM,18:26 AM,18:34 AM,19:34 AM,19:41 AM,19:47 AM,19:52 AM,19:58 AM,20:37 AM,20:44 AM,20:50 AM,20:57 AM,21:04 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005361 , 0.00379 , 0.004292 , 0.004691 , 0.002476 , 0.0028 , 0.002598 , 0.00517 , 0.002219 , 0.000288 , 0 , 0 , 0 , 0 , 0 , 0.002042 , 0.003663 , 0.005474 , 0.014083 , 0.006816 , 0 , 0 , 0 , 0 , 0.000126 , 0.006029 , 0.001862 , 0.00019 , 0.002567 , 0.001618 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006543 , 0.00522 , 0.005419 , 0.006347 , 0.003479 , 0.003653 , 0.003923 , 0.005826 , 0.003391 , 0.000429 , 0 , 0 , 0 , 0 , 0 , 0.003118 , 0.005297 , 0.007483 , 0.015729 , 0.010479 , 0 , 0 , 0 , 0 , 0.000186 , 0.007125 , 0.002542 , 0.000275 , 0.003546 , 0.002371 
 332 , 0.002162 , 0.001621 , 0 , 0.000552 , 0.000187 , 0 , 0 , 0.000571 , 0 , 0.000059 , 0.007769 , 0.006371 , 0.006728 , 0.007919 , 0.004874 , 0.004941 , 0.005408 , 0.006992 , 0.004639 , 0.001663 , 0.000321 , 0.000025 , 0 , 0 , 0.000562 , 0.004272 , 0.00728 , 0.009302 , 0.016068 , 0.011693 , 0 , 0 , 0 , 0 , 0.001272 , 0.008243 , 0.003758 , 0.001085 , 0.004478 , 0.003209 
 333 , 0.004948 , 0.0034 , 0 , 0.001339 , 0.000466 , 0 , 0 , 0.001123 , 0 , 0.000168 , 0.008993 , 0.00728 , 0.008151 , 0.009252 , 0.006533 , 0.006703 , 0.006727 , 0.008345 , 0.005834 , 0.003407 , 0.000822 , 0.000067 , 0 , 0 , 0.001336 , 0.005409 , 0.009237 , 0.010977 , 0.015764 , 0.011195 , 0 , 0 , 0 , 0 , 0.002833 , 0.009298 , 0.005246 , 0.002249 , 0.00532 , 0.003984 
 334 , 0.006944 , 0.004499 , 0 , 0.001964 , 0.0007 , 0 , 0 , 0.00143 , 0 , 0.000288 , 0.010108 , 0.008073 , 0.00951 , 0.010327 , 0.008083 , 0.008625 , 0.007724 , 0.009435 , 0.006881 , 0.004852 , 0.001265 , 0.000105 , 0 , 0 , 0.001928 , 0.006438 , 0.010872 , 0.01244 , 0.015487 , 0.010825 , 0 , 0 , 0 , 0 , 0.004114 , 0.010201 , 0.00656 , 0.003226 , 0.006008 , 0.004588 
 335 , 0.008386 , 0.005372 , 0.000251 , 0.00266 , 0.001203 , 0.000379 , 0.000043 , 0.001761 , 0.000023 , 0.000698 , 0.011235 , 0.008867 , 0.010834 , 0.011235 , 0.009546 , 0.010487 , 0.008614 , 0.010501 , 0.007846 , 0.006132 , 0.001755 , 0.000209 , 0.000106 , 0.000016 , 0.002534 , 0.007358 , 0.01226 , 0.013677 , 0.015704 , 0.011035 , 0 , 0 , 0 , 0 , 0.00505 , 0.011225 , 0.007639 , 0.004125 , 0.006801 , 0.005141 
 336 , 0.009225 , 0.006472 , 0.001482 , 0.003928 , 0.002777 , 0.002145 , 0.000277 , 0.002533 , 0.000134 , 0.001786 , 0.012571 , 0.009903 , 0.012124 , 0.011986 , 0.010897 , 0.011516 , 0.009658 , 0.011933 , 0.008826 , 0.007465 , 0.00258 , 0.000564 , 0.000618 , 0.000089 , 0.003556 , 0.008147 , 0.013458 , 0.014588 , 0.017331 , 0.01286 , 0 , 0 , 0 , 0 , 0.005349 , 0.012953 , 0.008241 , 0.005164 , 0.0083 , 0.005803 
 337 , 0.009989 , 0.007482 , 0.00266 , 0.004996 , 0.004155 , 0.003708 , 0.000541 , 0.00326 , 0.000238 , 0.002441 , 0.013832 , 0.010773 , 0.013291 , 0.012619 , 0.012114 , 0.012383 , 0.010614 , 0.013295 , 0.009661 , 0.00869 , 0.00336 , 0.00088 , 0.001098 , 0.000151 , 0.00447 , 0.008772 , 0.014417 , 0.015316 , 0.018794 , 0.014585 , 0 , 0 , 0 , 0 , 0.005587 , 0.014572 , 0.008746 , 0.00617 , 0.009856 , 0.006422 
 338 , 0.010689 , 0.008408 , 0.003776 , 0.005904 , 0.005364 , 0.005091 , 0.000835 , 0.003939 , 0.000334 , 0.002882 , 0.015027 , 0.011509 , 0.014351 , 0.013159 , 0.013213 , 0.013119 , 0.011492 , 0.014594 , 0.010378 , 0.009814 , 0.004095 , 0.001161 , 0.001544 , 0.000206 , 0.005288 , 0.009277 , 0.015197 , 0.015908 , 0.020118 , 0.016214 , 0 , 0 , 0 , 0 , 0.005781 , 0.016088 , 0.009173 , 0.007139 , 0.011472 , 0.007002 
 339 , 0.012336 , 0.009671 , 0.004621 , 0.006022 , 0.006158 , 0.005864 , 0.002068 , 0.00426 , 0.001217 , 0.004699 , 0.01602 , 0.01227 , 0.015467 , 0.014078 , 0.013553 , 0.014081 , 0.012644 , 0.015635 , 0.011737 , 0.010285 , 0.004885 , 0.002099 , 0.002403 , 0.00084 , 0.00603 , 0.010603 , 0.016314 , 0.016356 , 0.021754 , 0.017532 , 0.000496 , 0.00071 , 0.000817 , 0.00044 , 0.006993 , 0.016177 , 0.010492 , 0.008098 , 0.012089 , 0.008053 
 340 , 0.014025 , 0.010724 , 0.005181 , 0.005997 , 0.006744 , 0.006422 , 0.003225 , 0.00445 , 0.002205 , 0.006633 , 0.016882 , 0.012961 , 0.016466 , 0.014976 , 0.013722 , 0.014972 , 0.013742 , 0.016503 , 0.013064 , 0.010574 , 0.005606 , 0.003088 , 0.003266 , 0.001591 , 0.006689 , 0.011984 , 0.017371 , 0.016703 , 0.023299 , 0.018661 , 0.001067 , 0.001456 , 0.001659 , 0.000937 , 0.008381 , 0.016032 , 0.011957 , 0.008954 , 0.012445 , 0.009058 
 341 , 0.015554 , 0.01153 , 0.005566 , 0.005968 , 0.007205 , 0.006882 , 0.00416 , 0.004579 , 0.003136 , 0.008402 , 0.017632 , 0.013578 , 0.017324 , 0.015777 , 0.013841 , 0.015746 , 0.014723 , 0.017227 , 0.014231 , 0.010796 , 0.006243 , 0.003992 , 0.004048 , 0.002337 , 0.007272 , 0.01326 , 0.018314 , 0.016977 , 0.024674 , 0.019645 , 0.00161 , 0.002102 , 0.002376 , 0.001399 , 0.009747 , 0.015891 , 0.013398 , 0.009701 , 0.012712 , 0.009918 
 342 , 0.016634 , 0.01299 , 0.006184 , 0.006508 , 0.008083 , 0.007007 , 0.005219 , 0.005053 , 0.004181 , 0.009468 , 0.018753 , 0.014329 , 0.01833 , 0.016686 , 0.014426 , 0.01672 , 0.015626 , 0.017933 , 0.015186 , 0.011267 , 0.006913 , 0.004739 , 0.004677 , 0.003258 , 0.008104 , 0.014389 , 0.019261 , 0.018003 , 0.025474 , 0.020734 , 0.00225 , 0.002754 , 0.003081 , 0.001974 , 0.011102 , 0.016909 , 0.014406 , 0.010556 , 0.013093 , 0.01093 
 343 , 0.017236 , 0.015468 , 0.007083 , 0.007624 , 0.009455 , 0.006858 , 0.006491 , 0.005897 , 0.005314 , 0.009789 , 0.020305 , 0.015219 , 0.019514 , 0.017708 , 0.015494 , 0.017921 , 0.016443 , 0.01863 , 0.015925 , 0.011997 , 0.007631 , 0.005329 , 0.005144 , 0.004289 , 0.009251 , 0.015339 , 0.020203 , 0.019868 , 0.025693 , 0.021935 , 0.00298 , 0.003433 , 0.003824 , 0.002694 , 0.012403 , 0.019282 , 0.014875 , 0.011555 , 0.013595 , 0.012178 
