  time  ,05:20 PM,05:33 PM,05:41 PM,05:47 PM,05:56 PM,07:11 PM,07:19 PM,07:27 PM,07:37 PM,07:45 PM,08:36 PM,08:46 PM,08:54 PM,09:55 PM,10:18 PM,10:58 PM,11:06 PM,11:15 PM,11:23 PM,11:33 PM,12:41 PM,12:53 PM,13:00 PM,13:09 PM,13:17 PM,14:46 PM,14:55 PM,15:03 PM,15:08 PM,15:16 PM,15:49 PM,15:54 PM,16:01 PM,16:08 PM,16:17 PM,17:08 PM,17:15 PM,17:22 PM,17:30 PM,17:40 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 339 , 0.005654 , 0.005707 , 0.00239 , 0.007375 , 0.014989 , 0.005996 , 0.020825 , 0.012388 , 0.00748 , 0.007938 , 0.003214 , 0.006294 , 5.861476 , 0.526195 , 5.861476 , 0.005687 , 0.028864 , 0.008754 , 0.00854 , 0.013121 , 0.000134 , 0 , 0.000371 , 0.000128 , 0 , 0.001869 , 0.005892 , 0.001491 , 0.001866 , 0.004545 , 0.002502 , 0.00064 , 0.001725 , 0.001757 , 0.00308 , 0.00758 , 0.006562 , 0.006356 , 0.007715 , 0.008565 
 340 , 0.006379 , 0.006065 , 0.00239 , 0.009627 , 0.015268 , 0.00787 , 0.019107 , 0.013665 , 0.007263 , 0.008861 , 0.003667 , 0.006896 , 5.55641 , 0.314308 , 5.55641 , 0.00654 , 0.029279 , 0.009285 , 0.009327 , 0.012559 , 0.000234 , 0 , 0.000697 , 0.000261 , 0 , 0.002865 , 0.006455 , 0.002623 , 0.002596 , 0.006426 , 0.003512 , 0.001278 , 0.002987 , 0.003177 , 0.003783 , 0.008035 , 0.006903 , 0.007331 , 0.007996 , 0.009216 
 341 , 0.00697 , 0.006309 , 0.002371 , 0.012014 , 0.015376 , 0.009686 , 0.017679 , 0.014819 , 0.007046 , 0.00953 , 0.004025 , 0.007308 , 5.282241 , 0.246058 , 5.282241 , 0.007108 , 0.02953 , 0.009671 , 0.009962 , 0.012031 , 0.000297 , 0 , 0.000929 , 0.000374 , 0 , 0.003582 , 0.006819 , 0.003443 , 0.003116 , 0.008321 , 0.004252 , 0.001798 , 0.004065 , 0.004383 , 0.00426 , 0.008368 , 0.007073 , 0.007995 , 0.008053 , 0.009587 
 342 , 0.007471 , 0.006866 , 0.002902 , 0.013049 , 0.015792 , 0.01093 , 0.017762 , 0.014928 , 0.007358 , 0.009968 , 0.004646 , 0.00781 , 5.127756 , 0.160714 , 0.371089 , 0.007703 , 0.030692 , 0.01014 , 0.010369 , 0.012142 , 0.000783 , 0.000459 , 0.001594 , 0.000815 , 0.000197 , 0.00422 , 0.007498 , 0.004113 , 0.003839 , 0.009322 , 0.004886 , 0.002393 , 0.005261 , 0.00526 , 0.004939 , 0.009221 , 0.007615 , 0.008909 , 0.008537 , 0.009909 
 343 , 0.007878 , 0.007744 , 0.003981 , 0.012438 , 0.016538 , 0.011416 , 0.019229 , 0.014118 , 0.008123 , 0.010227 , 0.005546 , 0.00845 , 5.070016 , 0.110542 , 0.15175 , 0.008395 , 0.032823 , 0.010704 , 0.010555 , 0.012847 , 0.001691 , 0.001294 , 0.002645 , 0.00149 , 0.000608 , 0.004886 , 0.008548 , 0.004727 , 0.004895 , 0.009231 , 0.005472 , 0.003053 , 0.006669 , 0.005761 , 0.005951 , 0.01073 , 0.008593 , 0.010226 , 0.009491 , 0.010243 
 344 , 0.008176 , 0.008459 , 0.004899 , 0.011905 , 0.01714 , 0.011747 , 0.020475 , 0.013455 , 0.008677 , 0.010409 , 0.006309 , 0.008989 , 4.998955 , 0.090077 , 0.109255 , 0.00896 , 0.034708 , 0.011145 , 0.010654 , 0.013428 , 0.002459 , 0.001933 , 0.003469 , 0.001981 , 0.000982 , 0.005479 , 0.009442 , 0.005244 , 0.005885 , 0.009113 , 0.005936 , 0.003578 , 0.007979 , 0.006097 , 0.006904 , 0.012191 , 0.009452 , 0.011439 , 0.01029 , 0.010487 
 345 , 0.008433 , 0.009057 , 0.005664 , 0.011535 , 0.017623 , 0.011956 , 0.021625 , 0.013086 , 0.009167 , 0.010618 , 0.006956 , 0.009466 , 4.935737 , 0.074329 , 0.089758 , 0.009436 , 0.036067 , 0.011528 , 0.010809 , 0.013922 , 0.003106 , 0.002459 , 0.004151 , 0.002384 , 0.001359 , 0.006023 , 0.010144 , 0.00569 , 0.006782 , 0.009077 , 0.006344 , 0.004042 , 0.009083 , 0.006369 , 0.007779 , 0.013515 , 0.010224 , 0.012524 , 0.010989 , 0.010674 
 346 , 0.009073 , 0.009623 , 0.006121 , 0.012323 , 0.018084 , 0.011903 , 0.023602 , 0.014793 , 0.010469 , 0.011786 , 0.007501 , 0.010199 , 5.017105 , 0.046219 , 0.073264 , 0.010053 , 0.034516 , 0.012236 , 0.012199 , 0.014527 , 0.003621 , 0.003252 , 0.00507 , 0.003185 , 0.002191 , 0.006716 , 0.010198 , 0.006237 , 0.007321 , 0.010067 , 0.007126 , 0.004961 , 0.008991 , 0.007033 , 0.008452 , 0.013834 , 0.011154 , 0.013286 , 0.011893 , 0.011022 
 347 , 0.009647 , 0.01015 , 0.006526 , 0.013009 , 0.018476 , 0.011852 , 0.025468 , 0.016493 , 0.011745 , 0.01285 , 0.007987 , 0.010841 , 5.085755 , 0.036017 , 0.064436 , 0.010578 , 0.033336 , 0.012872 , 0.01355 , 0.015056 , 0.004086 , 0.00399 , 0.005935 , 0.003955 , 0.002938 , 0.007342 , 0.010248 , 0.00671 , 0.007787 , 0.010996 , 0.00785 , 0.005789 , 0.008932 , 0.007643 , 0.009005 , 0.014104 , 0.011983 , 0.013932 , 0.012711 , 0.011316 
 348 , 0.010166 , 0.010641 , 0.006889 , 0.013609 , 0.018814 , 0.011805 , 0.027232 , 0.018186 , 0.012992 , 0.013824 , 0.008421 , 0.011409 , 5.14444 , 0.03076 , 0.058958 , 0.011029 , 0.032408 , 0.013448 , 0.014862 , 0.015524 , 0.004507 , 0.004676 , 0.006748 , 0.004694 , 0.003611 , 0.007909 , 0.010293 , 0.007122 , 0.008193 , 0.011867 , 0.008521 , 0.006537 , 0.008892 , 0.008204 , 0.009468 , 0.014336 , 0.012726 , 0.014485 , 0.013455 , 0.011568 
 349 , 0.010914 , 0.011299 , 0.00771 , 0.013941 , 0.019738 , 0.012463 , 0.026717 , 0.018922 , 0.013419 , 0.014409 , 0.009008 , 0.012057 , 5.11175 , 0.030154 , 0.047326 , 0.011267 , 0.033447 , 0.014028 , 0.015408 , 0.016723 , 0.00508 , 0.005393 , 0.007667 , 0.005082 , 0.004054 , 0.008485 , 0.011001 , 0.00779 , 0.008708 , 0.0125 , 0.009217 , 0.00699 , 0.00927 , 0.008904 , 0.00975 , 0.01461 , 0.013353 , 0.014742 , 0.013892 , 0.012041 
 350 , 0.011723 , 0.011966 , 0.008723 , 0.014138 , 0.020864 , 0.013324 , 0.025477 , 0.019205 , 0.013487 , 0.014791 , 0.009606 , 0.012699 , 5.044028 , 0.030658 , 0.038908 , 0.011389 , 0.035162 , 0.014552 , 0.015595 , 0.018223 , 0.005645 , 0.006054 , 0.008581 , 0.005288 , 0.004383 , 0.009022 , 0.011922 , 0.008516 , 0.009231 , 0.01297 , 0.009918 , 0.007276 , 0.009764 , 0.009621 , 0.009929 , 0.014855 , 0.013861 , 0.014849 , 0.014159 , 0.012542 
 351 , 0.012482 , 0.012557 , 0.009727 , 0.014294 , 0.021938 , 0.014084 , 0.024413 , 0.019429 , 0.013532 , 0.01511 , 0.010136 , 0.013282 , 4.977694 , 0.031008 , 0.033806 , 0.011472 , 0.036795 , 0.015 , 0.015728 , 0.019706 , 0.006124 , 0.00663 , 0.009424 , 0.005453 , 0.004677 , 0.009501 , 0.012774 , 0.009171 , 0.009705 , 0.013359 , 0.010599 , 0.007501 , 0.010204 , 0.010276 , 0.010063 , 0.015048 , 0.014278 , 0.014914 , 0.014362 , 0.012968 
 352 , 0.012909 , 0.012936 , 0.010353 , 0.014536 , 0.02276 , 0.014525 , 0.023793 , 0.019642 , 0.013662 , 0.015437 , 0.010486 , 0.013744 , 0.553417 , 0.030148 , 0.030447 , 0.011704 , 0.037866 , 0.015345 , 0.015989 , 0.020602 , 0.006488 , 0.006937 , 0.009841 , 0.00566 , 0.004912 , 0.009802 , 0.013384 , 0.009464 , 0.0101 , 0.013673 , 0.011059 , 0.007683 , 0.010461 , 0.0107 , 0.010213 , 0.015187 , 0.014589 , 0.014931 , 0.014539 , 0.01338 
 353 , 0.012741 , 0.012998 , 0.010231 , 0.014992 , 0.023135 , 0.014462 , 0.023845 , 0.0199 , 0.013996 , 0.015848 , 0.010559 , 0.014033 , 0.147316 , 0.027617 , 0.028152 , 0.012275 , 0.03792 , 0.015571 , 0.016553 , 0.020356 , 0.006725 , 0.00682 , 0.009554 , 0.005997 , 0.005072 , 0.00983 , 0.013592 , 0.009162 , 0.010399 , 0.013929 , 0.011106 , 0.007847 , 0.010438 , 0.01074 , 0.010437 , 0.015287 , 0.014798 , 0.014914 , 0.014731 , 0.013847 
 354 , 0.012589 , 0.013061 , 0.010131 , 0.015415 , 0.023481 , 0.014413 , 0.023899 , 0.020137 , 0.014304 , 0.01623 , 0.010625 , 0.014301 , 0.089834 , 0.025736 , 0.026413 , 0.012824 , 0.037974 , 0.01578 , 0.017087 , 0.020151 , 0.006938 , 0.00672 , 0.009334 , 0.006317 , 0.00522 , 0.009862 , 0.013785 , 0.008913 , 0.010674 , 0.014165 , 0.011157 , 0.007998 , 0.010428 , 0.010782 , 0.010644 , 0.015384 , 0.014993 , 0.014906 , 0.014908 , 0.014286 
 355 , 0.012452 , 0.013124 , 0.010047 , 0.015808 , 0.023803 , 0.014373 , 0.023954 , 0.020356 , 0.014588 , 0.016586 , 0.010687 , 0.01455 , 0.066897 , 0.024285 , 0.025052 , 0.013352 , 0.038027 , 0.015973 , 0.017591 , 0.01998 , 0.007131 , 0.006633 , 0.00916 , 0.006623 , 0.005356 , 0.009896 , 0.013965 , 0.008706 , 0.010929 , 0.014385 , 0.01121 , 0.008138 , 0.010426 , 0.010824 , 0.010837 , 0.015475 , 0.015176 , 0.014905 , 0.015072 , 0.0147 
 356 , 0.0129 , 0.013323 , 0.010007 , 0.016333 , 0.024336 , 0.01483 , 0.024634 , 0.020404 , 0.014782 , 0.016635 , 0.010784 , 0.014897 , 0.060305 , 0.024345 , 0.024917 , 0.013435 , 0.037644 , 0.016359 , 0.018019 , 0.020591 , 0.007276 , 0.00668 , 0.009101 , 0.006802 , 0.005527 , 0.010194 , 0.013849 , 0.008885 , 0.01106 , 0.014158 , 0.011475 , 0.008282 , 0.010644 , 0.01088 , 0.011012 , 0.015742 , 0.01532 , 0.015425 , 0.015374 , 0.01504 
