INSTRUMENT,DATE,VEGETATION,LOCATION,REPLICATE,Instrument Height (m),FILEPREFIX,FILENUM,FILENAME,Time,NOTES
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_15m,10,1.5,area match8,10,area match800010.spu,  17:35:22,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,1,1,area match9,1,area match900001.spu,  17:36:13,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,2,1,area match9,2,area match900002.spu,  17:36:14,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,3,1,area match9,3,area match900003.spu,  17:36:16,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,4,1,area match9,4,area match900004.spu,  17:36:18,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,5,1,area match9,5,area match900005.spu,  17:36:19,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,6,1,area match9,6,area match900006.spu,  17:36:22,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,7,1,area match9,7,area match900007.spu,  17:36:25,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,8,1,area match9,8,area match900008.spu,  17:36:27,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,9,1,area match9,9,area match900009.spu,  17:36:32,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,10,1,area match9,10,area match900010.spu,  17:36:34,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,1,1.5,area match11,1,area match1100001.spu,  17:37:48,"Why missing ""area match 10""? -- time checks out, just labeling skip"
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,2,1.5,area match11,2,area match1100002.spu,  17:37:51,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,3,1.5,area match11,3,area match1100003.spu,  17:37:53,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,4,1.5,area match11,4,area match1100004.spu,  17:37:54,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,5,1.5,area match11,5,area match1100005.spu,  17:37:56,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,6,1.5,area match11,6,area match1100006.spu,  17:37:58,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,7,1.5,area match11,7,area match1100007.spu,  17:38:00,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,8,1.5,area match11,8,area match1100008.spu,  17:38:02,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,9,1.5,area match11,9,area match1100009.spu,  17:38:04,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_10m,10,1.5,area match11,10,area match1100010.spu,  17:38:06,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,1,1,area match12,1,area match1200001.spu,  17:39:13,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,2,1,area match12,2,area match1200002.spu,  17:39:15,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,3,1,area match12,3,area match1200003.spu,  17:39:16,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,4,1,area match12,4,area match1200004.spu,  17:39:22,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,5,1,area match12,5,area match1200005.spu,  17:39:23,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,6,1,area match12,6,area match1200006.spu,  17:39:25,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,7,1,area match12,7,area match1200007.spu,  17:39:27,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,8,1,area match12,8,area match1200008.spu,  17:39:29,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,9,1,area match12,9,area match1200009.spu,  17:39:30,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,10,1,area match12,10,area match1200010.spu,  17:39:32,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,1,1.5,area match13,1,area match1300001.spu,  17:42:44,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,2,1.5,area match13,2,area match1300002.spu,  17:42:47,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,3,1.5,area match13,3,area match1300003.spu,  17:42:50,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,4,1.5,area match13,4,area match1300004.spu,  17:42:52,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,5,1.5,area match13,5,area match1300005.spu,  17:42:54,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,6,1.5,area match13,6,area match1300006.spu,  17:42:56,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,7,1.5,area match13,7,area match1300007.spu,  17:42:58,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,8,1.5,area match13,8,area match1300008.spu,  17:43:01,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,9,1.5,area match13,9,area match1300009.spu,  17:43:03,
Unispec-SC,2019-06-26,Shrub,LMAT_B2_F10_5m,10,1.5,area match13,10,area match1300010.spu,  17:43:06,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,1,1,area match14,1,area match1400001.spu,  18:03:49,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,2,1,area match14,2,area match1400002.spu,  18:03:51,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,3,1,area match14,3,area match1400003.spu,  18:03:53,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,4,1,area match14,4,area match1400004.spu,  18:03:57,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,5,1,area match14,5,area match1400005.spu,  18:03:59,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,6,1,area match14,6,area match1400006.spu,  18:04:00,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,7,1,area match14,7,area match1400007.spu,  18:04:02,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,8,1,area match14,8,area match1400008.spu,  18:04:03,
Unispec-SC,2019-06-26,Heath,ITEX_BOARDWALK-1,9,1,area match14,9,area match1400009.spu,  18:04:04,
