JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00071.spu,JUL14NANT00072.spu,JUL14NANT00073.spu,JUL14NANT00074.spu,JUL14NANT00075.spu,JUL14NANT00076.spu,JUL14NANT00077.spu,JUL14NANT00078.spu,JUL14NANT00079.spu,JUL14NANT00080.spu,JUL14NANT00081.spu,JUL14NANT00082.spu,JUL14NANT00083.spu,JUL14NANT00084.spu,JUL14NANT00085.spu,JUL14NANT00086.spu,JUL14NANT00087.spu,JUL14NANT00088.spu,JUL14NANT00089.spu,JUL14NANT00090.spu,JUL14NANT00091.spu,JUL14NANT00092.spu,JUL14NANT00093.spu,JUL14NANT00094.spu,JUL14NANT00095.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:41:47 A,:41:52 A,:41:59 A,:42:05 A,:42:12 A,:42:49 A,:42:55 A,:43:02 A,:43:10 A,:43:18 A,:43:53 A,:44:01 A,:44:06 A,:44:14 A,:44:21 A,:44:58 A,:45:04 A,:45:11 A,:45:17 A,:45:26 A,:45:59 A,:46:05 A,:46:11 A,:46:17 A,:46:24 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 336 , 0.004073 , 0 , 0.024521 , 0 , 0 , 0.005983 , 0.006442 , 0.009581 , 0.006592 , 0.013825 , 0.045655 , 0.006041 , 0.008871 , 0.006765 , 0.009787 , 0.05403 , 0.025471 , 0.015417 , 0.065412 , 0.010273 , 0.091719 , 0.042777 , 0.117476 , 0.09305 , 0.035175 
 337 , 0.006391 , 0 , 0.030658 , 0 , 0 , 0.009595 , 0.010057 , 0.015762 , 0.010088 , 0.019302 , 0.047373 , 0.009075 , 0.013478 , 0.010692 , 0.014356 , 0.05576 , 0.032631 , 0.021384 , 0.06999 , 0.01616 , 0.088931 , 0.047021 , 0.117391 , 0.094674 , 0.040545 
 338 , 0.008066 , 0 , 0.035784 , 0 , 0 , 0.012334 , 0.012638 , 0.021311 , 0.012475 , 0.023212 , 0.048398 , 0.01106 , 0.016572 , 0.013574 , 0.017185 , 0.057042 , 0.038629 , 0.024848 , 0.074206 , 0.020437 , 0.086105 , 0.050357 , 0.116558 , 0.095406 , 0.044485 
 339 , 0.010645 , 0.001914 , 0.037593 , 0.00132 , 0.00073 , 0.014863 , 0.015896 , 0.024391 , 0.016622 , 0.025406 , 0.047858 , 0.014355 , 0.020799 , 0.016066 , 0.020167 , 0.056289 , 0.039937 , 0.028322 , 0.07566 , 0.024767 , 0.083285 , 0.053043 , 0.112578 , 0.087009 , 0.046074 
 340 , 0.012578 , 0.003878 , 0.038186 , 0.002646 , 0.001321 , 0.01677 , 0.018863 , 0.02616 , 0.020454 , 0.02664 , 0.047001 , 0.01758 , 0.024726 , 0.017925 , 0.022793 , 0.055166 , 0.040157 , 0.031212 , 0.076151 , 0.028998 , 0.080643 , 0.054855 , 0.108486 , 0.079475 , 0.046912 
 341 , 0.013873 , 0.005543 , 0.038267 , 0.003745 , 0.001717 , 0.018156 , 0.021395 , 0.027246 , 0.023642 , 0.027328 , 0.046083 , 0.020461 , 0.028112 , 0.019276 , 0.025013 , 0.053944 , 0.040136 , 0.033518 , 0.076152 , 0.033089 , 0.078209 , 0.055974 , 0.104839 , 0.073596 , 0.047437 
 342 , 0.01439 , 0.007856 , 0.038759 , 0.005203 , 0.002901 , 0.018902 , 0.022331 , 0.027862 , 0.024534 , 0.026908 , 0.045691 , 0.022219 , 0.029526 , 0.020433 , 0.026424 , 0.053163 , 0.039459 , 0.034911 , 0.07448 , 0.034462 , 0.075555 , 0.054926 , 0.103514 , 0.07212 , 0.047791 
 343 , 0.01431 , 0.010665 , 0.039793 , 0.006834 , 0.004779 , 0.019152 , 0.021731 , 0.028075 , 0.023319 , 0.02563 , 0.045735 , 0.022676 , 0.028994 , 0.021444 , 0.027041 , 0.05275 , 0.038215 , 0.035419 , 0.071392 , 0.032941 , 0.072677 , 0.052066 , 0.104299 , 0.074385 , 0.047987 
 344 , 0.014181 , 0.012882 , 0.04072 , 0.008 , 0.006237 , 0.019358 , 0.021115 , 0.028008 , 0.022247 , 0.024492 , 0.045592 , 0.022833 , 0.028426 , 0.022171 , 0.027498 , 0.052276 , 0.037029 , 0.035664 , 0.068597 , 0.031573 , 0.070041 , 0.049562 , 0.104804 , 0.076409 , 0.047997 
 345 , 0.014172 , 0.014594 , 0.041449 , 0.00889 , 0.007416 , 0.019645 , 0.020786 , 0.027856 , 0.021619 , 0.02369 , 0.045294 , 0.023026 , 0.027952 , 0.0228 , 0.027886 , 0.051754 , 0.036075 , 0.035604 , 0.066269 , 0.030473 , 0.067859 , 0.047551 , 0.104761 , 0.077945 , 0.047811 
