JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00006.spu,JUL14NANT00007.spu,JUL14NANT00008.spu,JUL14NANT00009.spu,JUL14NANT00010.spu,JUL14NANT00011.spu,JUL14NANT00012.spu,JUL14NANT00013.spu,JUL14NANT00014.spu,JUL14NANT00015.spu,JUL14NANT00016.spu,JUL14NANT00017.spu,JUL14NANT00018.spu,JUL14NANT00019.spu,JUL14NANT00020.spu,JUL14NANT00021.spu,JUL14NANT00022.spu,JUL14NANT00023.spu,JUL14NANT00024.spu,JUL14NANT00025.spu,JUL14NANT00026.spu,JUL14NANT00027.spu,JUL14NANT00028.spu,JUL14NANT00029.spu,JUL14NANT00030.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:26:23 A,:26:40 A,:26:46 A,:26:52 A,:26:58 A,:27:26 A,:27:32 A,:27:37 A,:27:42 A,:27:49 A,:28:19 A,:28:24 A,:28:31 A,:28:38 A,:28:45 A,:29:22 A,:29:28 A,:29:37 A,:29:43 A,:29:51 A,:30:38 A,:30:45 A,:30:51 A,:30:57 A,:31:04 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 359 , 0.019331 , 0.022772 , 0.030204 , 0.026778 , 0.037563 , 0.022842 , 0.035016 , 0.048712 , 0.038382 , 0.04142 , 0.02086 , 0.011291 , 0.025007 , 0.016004 , 0.01355 , 0.042912 , 0.037562 , 0.03877 , 0.036653 , 0.037921 , 0.045308 , 0.039607 , 0.056908 , 0.050786 , 0.040129 
 360 , 0.01942 , 0.023095 , 0.030206 , 0.026285 , 0.036356 , 0.02414 , 0.033821 , 0.047077 , 0.038688 , 0.040092 , 0.020533 , 0.011221 , 0.025102 , 0.015685 , 0.013516 , 0.041737 , 0.037543 , 0.039188 , 0.036049 , 0.037813 , 0.043859 , 0.039061 , 0.056941 , 0.049619 , 0.041108 
 361 , 0.019502 , 0.0234 , 0.030196 , 0.025839 , 0.035299 , 0.025371 , 0.032784 , 0.045631 , 0.038972 , 0.03892 , 0.020229 , 0.011155 , 0.025172 , 0.015393 , 0.01348 , 0.040676 , 0.037508 , 0.039577 , 0.03549 , 0.037704 , 0.042573 , 0.038553 , 0.056972 , 0.048558 , 0.042036 
 362 , 0.019542 , 0.023498 , 0.030147 , 0.025555 , 0.034575 , 0.026104 , 0.031976 , 0.044753 , 0.039053 , 0.038014 , 0.019965 , 0.011146 , 0.025083 , 0.01526 , 0.013489 , 0.039871 , 0.037352 , 0.039813 , 0.034996 , 0.037869 , 0.041509 , 0.038171 , 0.056858 , 0.047775 , 0.042597 
 363 , 0.019431 , 0.022813 , 0.029974 , 0.02582 , 0.034828 , 0.025081 , 0.031686 , 0.045621 , 0.038354 , 0.037757 , 0.019784 , 0.011295 , 0.024444 , 0.015648 , 0.013677 , 0.039726 , 0.036757 , 0.039486 , 0.034631 , 0.03914 , 0.040857 , 0.038174 , 0.056109 , 0.047807 , 0.041847 
 364 , 0.019325 , 0.022186 , 0.029803 , 0.026072 , 0.035078 , 0.024158 , 0.031408 , 0.046436 , 0.037699 , 0.037508 , 0.019608 , 0.011405 , 0.023856 , 0.015985 , 0.013849 , 0.039566 , 0.036195 , 0.039163 , 0.034282 , 0.040366 , 0.04024 , 0.038162 , 0.055391 , 0.047826 , 0.041143 
 365 , 0.019223 , 0.02161 , 0.029633 , 0.026312 , 0.035326 , 0.023322 , 0.031142 , 0.047204 , 0.037082 , 0.037268 , 0.019439 , 0.011484 , 0.023315 , 0.016278 , 0.014007 , 0.039394 , 0.035663 , 0.038844 , 0.033947 , 0.041552 , 0.039655 , 0.038137 , 0.054704 , 0.047832 , 0.040483 
 366 , 0.019296 , 0.021494 , 0.029248 , 0.025885 , 0.034638 , 0.023234 , 0.030925 , 0.047002 , 0.036807 , 0.036877 , 0.018972 , 0.011239 , 0.023034 , 0.016085 , 0.014166 , 0.038939 , 0.035583 , 0.038308 , 0.033767 , 0.040647 , 0.039507 , 0.036907 , 0.054173 , 0.047197 , 0.039577 
 367 , 0.019405 , 0.021487 , 0.028861 , 0.025365 , 0.033817 , 0.023309 , 0.030741 , 0.04661 , 0.036629 , 0.036493 , 0.0185 , 0.010939 , 0.022829 , 0.015821 , 0.014323 , 0.038451 , 0.03561 , 0.037784 , 0.033641 , 0.039411 , 0.039469 , 0.035587 , 0.053717 , 0.046492 , 0.038704 
 368 , 0.019511 , 0.021491 , 0.028523 , 0.024906 , 0.033078 , 0.023385 , 0.03058 , 0.046241 , 0.036467 , 0.036155 , 0.018089 , 0.010648 , 0.022642 , 0.015589 , 0.014478 , 0.037985 , 0.035637 , 0.03732 , 0.033539 , 0.038313 , 0.039434 , 0.034437 , 0.053295 , 0.045864 , 0.037928 
 369 , 0.019606 , 0.02123 , 0.028047 , 0.024448 , 0.032362 , 0.023214 , 0.030033 , 0.045837 , 0.036142 , 0.035885 , 0.017938 , 0.010383 , 0.022498 , 0.015416 , 0.01429 , 0.037432 , 0.035243 , 0.037028 , 0.033299 , 0.03726 , 0.039231 , 0.033988 , 0.052156 , 0.045175 , 0.036984 
 370 , 0.019687 , 0.020662 , 0.027399 , 0.023985 , 0.031658 , 0.022762 , 0.029057 , 0.045398 , 0.035625 , 0.035689 , 0.018081 , 0.010152 , 0.022404 , 0.015302 , 0.013724 , 0.036786 , 0.034363 , 0.036928 , 0.032899 , 0.036237 , 0.038829 , 0.034315 , 0.05024 , 0.04441 , 0.035857 
 371 , 0.019769 , 0.020132 , 0.026787 , 0.023574 , 0.031024 , 0.022358 , 0.028191 , 0.045036 , 0.035147 , 0.035505 , 0.018209 , 0.00995 , 0.022325 , 0.015183 , 0.013226 , 0.036229 , 0.033558 , 0.036826 , 0.032526 , 0.035321 , 0.038469 , 0.034634 , 0.048565 , 0.043719 , 0.034877 
 372 , 0.019843 , 0.019636 , 0.026224 , 0.023168 , 0.030421 , 0.021997 , 0.027446 , 0.044656 , 0.03469 , 0.035236 , 0.01828 , 0.009774 , 0.022213 , 0.015034 , 0.012769 , 0.035731 , 0.032796 , 0.036685 , 0.032108 , 0.034482 , 0.038062 , 0.034829 , 0.047115 , 0.043047 , 0.03404 
 373 , 0.019805 , 0.019097 , 0.025826 , 0.022274 , 0.029346 , 0.02156 , 0.027149 , 0.043064 , 0.033813 , 0.033413 , 0.017455 , 0.009618 , 0.021445 , 0.014411 , 0.012174 , 0.03506 , 0.031644 , 0.035804 , 0.030485 , 0.033471 , 0.036264 , 0.033145 , 0.04615 , 0.041722 , 0.033677 
 374 , 0.019769 , 0.018655 , 0.025509 , 0.021507 , 0.028496 , 0.021237 , 0.026929 , 0.041799 , 0.033157 , 0.031968 , 0.016811 , 0.009503 , 0.020793 , 0.013893 , 0.011657 , 0.034538 , 0.030727 , 0.03509 , 0.029225 , 0.03265 , 0.034865 , 0.031768 , 0.045402 , 0.040622 , 0.033394 
 375 , 0.019733 , 0.018286 , 0.025255 , 0.020836 , 0.027811 , 0.021 , 0.026768 , 0.040777 , 0.032667 , 0.030796 , 0.0163 , 0.009419 , 0.020231 , 0.013453 , 0.011197 , 0.03413 , 0.029984 , 0.034504 , 0.028226 , 0.031973 , 0.033753 , 0.030617 , 0.04482 , 0.039695 , 0.033175 
 376 , 0.019834 , 0.017656 , 0.024312 , 0.019943 , 0.026923 , 0.020243 , 0.026078 , 0.039154 , 0.031371 , 0.029542 , 0.01544 , 0.008908 , 0.019479 , 0.012992 , 0.010736 , 0.032701 , 0.028653 , 0.032682 , 0.026874 , 0.030519 , 0.032435 , 0.029255 , 0.043142 , 0.038226 , 0.031588 
 377 , 0.019979 , 0.017111 , 0.023412 , 0.019236 , 0.026179 , 0.019487 , 0.025409 , 0.037776 , 0.03011 , 0.028557 , 0.014623 , 0.008343 , 0.018879 , 0.012655 , 0.010376 , 0.031258 , 0.02742 , 0.030946 , 0.025671 , 0.029181 , 0.031381 , 0.028153 , 0.0415 , 0.036974 , 0.029968 
 378 , 0.02011 , 0.016742 , 0.022803 , 0.018778 , 0.02565 , 0.018924 , 0.024962 , 0.036845 , 0.02918 , 0.027864 , 0.013978 , 0.007884 , 0.018492 , 0.012441 , 0.010112 , 0.030175 , 0.026498 , 0.029718 , 0.024745 , 0.028227 , 0.030657 , 0.027375 , 0.040299 , 0.036127 , 0.028803 
