JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00051.spu,JUL14NANT00052.spu,JUL14NANT00053.spu,JUL14NANT00054.spu,JUL14NANT00055.spu,JUL14NANT00056.spu,JUL14NANT00057.spu,JUL14NANT00058.spu,JUL14NANT00059.spu,JUL14NANT00060.spu,JUL14NANT00061.spu,JUL14NANT00062.spu,JUL14NANT00063.spu,JUL14NANT00064.spu,JUL14NANT00065.spu,JUL14NANT00066.spu,JUL14NANT00067.spu,JUL14NANT00068.spu,JUL14NANT00069.spu,JUL14NANT00070.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:36:01 A,:36:08 A,:36:15 A,:36:22 A,:36:28 A,:37:04 A,:37:11 A,:37:19 A,:37:27 A,:37:34 A,:37:59 A,:38:09 A,:38:17 A,:38:23 A,:38:29 A,:40:39 A,:40:48 A,:40:56 A,:41:01 A,:41:10 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 350 , 0.032699 , 0.054885 , 0.055767 , 0.052208 , 0.035103 , 0.043263 , 0.058834 , 0.046711 , 0.048485 , 0.047635 , 0.034957 , 0.030198 , 0.026832 , 0.038285 , 0.033443 , 0.038983 , 0.040638 , 0.039383 , 0.043252 , 0.042003 
 351 , 0.033379 , 0.053088 , 0.054188 , 0.05115 , 0.033628 , 0.041141 , 0.057869 , 0.04584 , 0.049294 , 0.047096 , 0.034122 , 0.030734 , 0.026895 , 0.036342 , 0.034483 , 0.040741 , 0.039931 , 0.039423 , 0.044314 , 0.040417 
 352 , 0.033714 , 0.051908 , 0.053276 , 0.049855 , 0.032469 , 0.040043 , 0.056757 , 0.045126 , 0.049224 , 0.04699 , 0.033128 , 0.030879 , 0.027334 , 0.035333 , 0.034573 , 0.041668 , 0.039768 , 0.039223 , 0.044328 , 0.039496 
 353 , 0.033447 , 0.051675 , 0.053461 , 0.04815 , 0.031681 , 0.040512 , 0.055336 , 0.044646 , 0.04768 , 0.047717 , 0.031858 , 0.030427 , 0.02857 , 0.0357 , 0.033047 , 0.040976 , 0.040615 , 0.038657 , 0.042574 , 0.039611 
 354 , 0.033179 , 0.051441 , 0.053597 , 0.046655 , 0.030968 , 0.040952 , 0.05404 , 0.044196 , 0.046283 , 0.048377 , 0.030763 , 0.030008 , 0.029704 , 0.036016 , 0.031742 , 0.040338 , 0.041398 , 0.038131 , 0.041036 , 0.039689 
 355 , 0.032915 , 0.051207 , 0.053691 , 0.045334 , 0.030319 , 0.041365 , 0.052852 , 0.043775 , 0.045012 , 0.04898 , 0.029808 , 0.029616 , 0.030747 , 0.036289 , 0.030611 , 0.039747 , 0.042124 , 0.03764 , 0.039676 , 0.039737 
 356 , 0.032128 , 0.049442 , 0.052635 , 0.04471 , 0.031245 , 0.041099 , 0.051927 , 0.043539 , 0.04332 , 0.045067 , 0.030872 , 0.029675 , 0.029701 , 0.034766 , 0.029665 , 0.039407 , 0.040987 , 0.037699 , 0.040033 , 0.039769 
 357 , 0.03138 , 0.047816 , 0.051607 , 0.044156 , 0.032236 , 0.040817 , 0.0511 , 0.043324 , 0.041835 , 0.041684 , 0.032036 , 0.029751 , 0.028685 , 0.033359 , 0.028832 , 0.0391 , 0.039889 , 0.037778 , 0.040454 , 0.039795 
 358 , 0.030692 , 0.046376 , 0.050656 , 0.043639 , 0.033211 , 0.040552 , 0.050348 , 0.043121 , 0.040543 , 0.038886 , 0.033195 , 0.029822 , 0.027785 , 0.032126 , 0.028091 , 0.038812 , 0.038908 , 0.037847 , 0.040854 , 0.039817 
 359 , 0.030238 , 0.046072 , 0.050461 , 0.043325 , 0.033308 , 0.039743 , 0.050073 , 0.04237 , 0.040617 , 0.038217 , 0.032672 , 0.029459 , 0.029132 , 0.031908 , 0.028192 , 0.03879 , 0.03848 , 0.037272 , 0.040242 , 0.039301 
 360 , 0.029944 , 0.046514 , 0.050778 , 0.043143 , 0.032785 , 0.038622 , 0.050109 , 0.041296 , 0.041615 , 0.038863 , 0.031084 , 0.02883 , 0.032474 , 0.032355 , 0.02886 , 0.038942 , 0.038415 , 0.036299 , 0.039002 , 0.038449 
 361 , 0.029665 , 0.046929 , 0.051074 , 0.042959 , 0.0323 , 0.037619 , 0.050134 , 0.040326 , 0.042588 , 0.039464 , 0.029707 , 0.028264 , 0.036364 , 0.032777 , 0.0295 , 0.039074 , 0.03835 , 0.035419 , 0.037897 , 0.037673 
 362 , 0.02939 , 0.047245 , 0.050926 , 0.042668 , 0.031855 , 0.036782 , 0.050072 , 0.039466 , 0.043294 , 0.039917 , 0.028788 , 0.027757 , 0.038668 , 0.033077 , 0.029882 , 0.038948 , 0.038158 , 0.034817 , 0.037129 , 0.037088 
 363 , 0.029093 , 0.047198 , 0.049069 , 0.041988 , 0.031425 , 0.036293 , 0.04968 , 0.038744 , 0.042934 , 0.039913 , 0.029073 , 0.027337 , 0.032946 , 0.032917 , 0.029275 , 0.037857 , 0.037441 , 0.035047 , 0.037355 , 0.037031 
 364 , 0.028809 , 0.047131 , 0.047411 , 0.041349 , 0.031013 , 0.035828 , 0.049295 , 0.038068 , 0.042579 , 0.039903 , 0.029313 , 0.026943 , 0.028826 , 0.03275 , 0.028711 , 0.036861 , 0.03677 , 0.03525 , 0.037566 , 0.036958 
 365 , 0.028537 , 0.047048 , 0.045923 , 0.040748 , 0.030619 , 0.035386 , 0.048918 , 0.037432 , 0.042231 , 0.039888 , 0.029512 , 0.02657 , 0.025717 , 0.032578 , 0.028184 , 0.035946 , 0.036141 , 0.035429 , 0.037765 , 0.036874 
