JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100007.spu,JUN24SHB100008.spu,JUN24SHB100009.spu,JUN24SHB100010.spu,JUN24SHB100011.spu,JUN24SHB100012.spu,JUN24SHB100013.spu,JUN24SHB100014.spu,JUN24SHB100015.spu,JUN24SHB100016.spu,JUN24SHB100017.spu,JUN24SHB100018.spu,JUN24SHB100019.spu,JUN24SHB100020.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,33:46 PM,33:56 PM,34:04 PM,34:15 PM,34:31 PM,35:18 PM,35:25 PM,35:35 PM,35:44 PM,35:55 PM,36:31 PM,36:40 PM,36:51 PM,36:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,
 362 , 0.006205 , 0.004766 , 0.008836 , 0.010745 , 0.009871 , 0.014079 , 0.005444 , 0.009146 , 0.014665 , 0.020324 , 0.013647 , 0.011068 , 0.021438 , 0.011472 
 363 , 0.006076 , 0.00498 , 0.008793 , 0.01072 , 0.009727 , 0.014438 , 0.005719 , 0.009091 , 0.014344 , 0.020193 , 0.013622 , 0.0107 , 0.020955 , 0.011632 
 364 , 0.005953 , 0.005171 , 0.008741 , 0.010686 , 0.00959 , 0.014783 , 0.005968 , 0.00903 , 0.014041 , 0.020051 , 0.013591 , 0.010363 , 0.0205 , 0.011778 
 365 , 0.005835 , 0.005343 , 0.008682 , 0.010646 , 0.009459 , 0.015114 , 0.006195 , 0.008965 , 0.013755 , 0.019902 , 0.013557 , 0.010052 , 0.020071 , 0.011912 
 366 , 0.006034 , 0.005561 , 0.008822 , 0.010676 , 0.009712 , 0.015479 , 0.006548 , 0.00926 , 0.013714 , 0.019539 , 0.013957 , 0.010402 , 0.020412 , 0.011432 
 367 , 0.006303 , 0.005788 , 0.008997 , 0.010723 , 0.010043 , 0.015836 , 0.006929 , 0.009631 , 0.013734 , 0.019182 , 0.014444 , 0.010893 , 0.020905 , 0.010918 
 368 , 0.006566 , 0.00601 , 0.009157 , 0.010768 , 0.010364 , 0.016176 , 0.007303 , 0.009989 , 0.013756 , 0.01887 , 0.014917 , 0.011373 , 0.021376 , 0.010492 
 369 , 0.00676 , 0.006002 , 0.009083 , 0.010849 , 0.01053 , 0.016432 , 0.007342 , 0.010136 , 0.013742 , 0.018776 , 0.015109 , 0.011657 , 0.02193 , 0.010406 
 370 , 0.006865 , 0.005728 , 0.008745 , 0.010968 , 0.010505 , 0.016583 , 0.006977 , 0.010039 , 0.013684 , 0.018918 , 0.014959 , 0.011703 , 0.022603 , 0.010687 
 371 , 0.006962 , 0.005473 , 0.008438 , 0.011064 , 0.010471 , 0.016708 , 0.006624 , 0.009982 , 0.013629 , 0.019043 , 0.014798 , 0.011758 , 0.023261 , 0.010969 
 372 , 0.00704 , 0.005269 , 0.008187 , 0.01117 , 0.010442 , 0.016823 , 0.006316 , 0.009942 , 0.013617 , 0.019183 , 0.014661 , 0.01182 , 0.023869 , 0.011216 
 373 , 0.006953 , 0.005564 , 0.008345 , 0.011547 , 0.010541 , 0.016964 , 0.006471 , 0.009872 , 0.014215 , 0.019751 , 0.014906 , 0.012013 , 0.023913 , 0.01101 
 374 , 0.006863 , 0.005846 , 0.008501 , 0.011927 , 0.010641 , 0.017138 , 0.006623 , 0.00977 , 0.01477 , 0.020253 , 0.015136 , 0.012143 , 0.023956 , 0.010827 
 375 , 0.006771 , 0.006118 , 0.008654 , 0.012311 , 0.010742 , 0.017337 , 0.006773 , 0.009645 , 0.015293 , 0.020704 , 0.015354 , 0.012222 , 0.023997 , 0.010661 
 376 , 0.006767 , 0.006147 , 0.00879 , 0.012214 , 0.010791 , 0.017403 , 0.006928 , 0.009799 , 0.015461 , 0.020849 , 0.015419 , 0.012207 , 0.023823 , 0.010626 
 377 , 0.006809 , 0.006081 , 0.008923 , 0.011966 , 0.010846 , 0.017369 , 0.007068 , 0.010059 , 0.01546 , 0.020877 , 0.015439 , 0.012214 , 0.023672 , 0.010691 
 378 , 0.00686 , 0.00602 , 0.009061 , 0.011758 , 0.010924 , 0.017294 , 0.007192 , 0.010309 , 0.015441 , 0.020912 , 0.015475 , 0.012271 , 0.023617 , 0.010795 
 379 , 0.00689 , 0.006033 , 0.009077 , 0.01158 , 0.010908 , 0.017179 , 0.007287 , 0.010505 , 0.01544 , 0.020886 , 0.015443 , 0.012277 , 0.023615 , 0.010719 
 380 , 0.006886 , 0.006216 , 0.008834 , 0.01145 , 0.010687 , 0.017098 , 0.007352 , 0.010583 , 0.015531 , 0.020813 , 0.015299 , 0.012169 , 0.023704 , 0.010314 
 381 , 0.006901 , 0.006427 , 0.008578 , 0.011349 , 0.010478 , 0.017111 , 0.007438 , 0.010643 , 0.015674 , 0.020847 , 0.015201 , 0.012106 , 0.023883 , 0.009996 
 382 , 0.006928 , 0.006656 , 0.008313 , 0.011263 , 0.010271 , 0.017175 , 0.007535 , 0.010694 , 0.015848 , 0.020939 , 0.015128 , 0.012066 , 0.024114 , 0.00972 
 383 , 0.00696 , 0.006626 , 0.008607 , 0.0115 , 0.010409 , 0.017324 , 0.007521 , 0.010616 , 0.015943 , 0.02107 , 0.015145 , 0.012203 , 0.024324 , 0.009681 
 384 , 0.006979 , 0.006575 , 0.008916 , 0.011742 , 0.010558 , 0.017476 , 0.007495 , 0.010525 , 0.01602 , 0.021196 , 0.015165 , 0.01233 , 0.024513 , 0.009688 
 385 , 0.006991 , 0.006517 , 0.009219 , 0.011977 , 0.010707 , 0.017624 , 0.007464 , 0.01043 , 0.016087 , 0.021316 , 0.015185 , 0.012444 , 0.024686 , 0.009717 
 386 , 0.007184 , 0.006534 , 0.009507 , 0.012087 , 0.010903 , 0.017738 , 0.007492 , 0.010635 , 0.016224 , 0.021425 , 0.015276 , 0.012691 , 0.024848 , 0.010006 
 387 , 0.007494 , 0.0066 , 0.009776 , 0.012111 , 0.011119 , 0.017828 , 0.007561 , 0.011033 , 0.016411 , 0.021531 , 0.015419 , 0.013026 , 0.025016 , 0.010456 
 388 , 0.007789 , 0.00666 , 0.010034 , 0.012134 , 0.011322 , 0.017918 , 0.007631 , 0.011416 , 0.016598 , 0.021643 , 0.015564 , 0.013351 , 0.0252 , 0.010886 
 389 , 0.00804 , 0.006776 , 0.010242 , 0.01221 , 0.011477 , 0.018009 , 0.007762 , 0.011724 , 0.016819 , 0.021799 , 0.015724 , 0.013568 , 0.02543 , 0.011189 
 390 , 0.008174 , 0.007105 , 0.010315 , 0.012474 , 0.011496 , 0.018107 , 0.008106 , 0.011817 , 0.017158 , 0.022104 , 0.015931 , 0.013437 , 0.0258 , 0.01111 
 391 , 0.0083 , 0.007421 , 0.010385 , 0.012725 , 0.011517 , 0.018208 , 0.008437 , 0.011906 , 0.017489 , 0.022402 , 0.016132 , 0.01332 , 0.02616 , 0.011036 
 392 , 0.008421 , 0.007722 , 0.010452 , 0.012969 , 0.011536 , 0.018308 , 0.008756 , 0.011996 , 0.01781 , 0.022695 , 0.016327 , 0.013212 , 0.026506 , 0.01097 
 393 , 0.008568 , 0.007909 , 0.010569 , 0.013043 , 0.011884 , 0.018487 , 0.008917 , 0.01235 , 0.01808 , 0.022887 , 0.016557 , 0.013561 , 0.026925 , 0.011306 
 394 , 0.008708 , 0.008068 , 0.010687 , 0.013088 , 0.012259 , 0.018669 , 0.00904 , 0.012724 , 0.018323 , 0.023053 , 0.016777 , 0.013959 , 0.027328 , 0.011682 
 395 , 0.008835 , 0.008212 , 0.010794 , 0.013129 , 0.012606 , 0.018839 , 0.009154 , 0.013069 , 0.018552 , 0.023213 , 0.016985 , 0.014326 , 0.027704 , 0.012033 
 396 , 0.009062 , 0.008402 , 0.010999 , 0.013334 , 0.012881 , 0.019114 , 0.009386 , 0.013381 , 0.01893 , 0.023481 , 0.017195 , 0.014619 , 0.028203 , 0.012402 
