JUN24SHB100024.spu,JUN24SHB100023.spu,JUN24SHB100022.spu,
Wavelength,JUN24SHB100025.spu,JUN24SHB100026.spu,JUN24SHB100027.spu,JUN24SHB100028.spu,JUN24SHB100029.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,42:33 PM,42:43 PM,42:48 PM,42:55 PM,43:02 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 448 , 0.022533 , 0.017683 , 0.025059 , 0.028118 , 0.014538 
 449 , 0.022685 , 0.0179 , 0.025302 , 0.028383 , 0.014743 
 450 , 0.02283 , 0.018046 , 0.025465 , 0.028545 , 0.014848 
 451 , 0.022972 , 0.018146 , 0.025586 , 0.028652 , 0.014891 
 452 , 0.023108 , 0.018246 , 0.025703 , 0.028758 , 0.014934 
 453 , 0.023225 , 0.018318 , 0.025799 , 0.028807 , 0.014946 
 454 , 0.023262 , 0.018328 , 0.025826 , 0.028695 , 0.014857 
 455 , 0.023298 , 0.018333 , 0.025857 , 0.028589 , 0.014769 
 456 , 0.023334 , 0.018342 , 0.025888 , 0.028477 , 0.014681 
 457 , 0.023252 , 0.018301 , 0.025822 , 0.028476 , 0.014719 
 458 , 0.023157 , 0.018255 , 0.025751 , 0.028486 , 0.014777 
 459 , 0.023057 , 0.018203 , 0.025681 , 0.0285 , 0.014835 
 460 , 0.022976 , 0.018139 , 0.025598 , 0.028425 , 0.01481 
 461 , 0.0229 , 0.018059 , 0.025504 , 0.028276 , 0.014722 
 462 , 0.022824 , 0.017978 , 0.025404 , 0.028122 , 0.014635 
 463 , 0.022736 , 0.017907 , 0.025303 , 0.027968 , 0.014547 
 464 , 0.022586 , 0.017889 , 0.025166 , 0.027799 , 0.014457 
 465 , 0.022431 , 0.017869 , 0.025028 , 0.027631 , 0.014372 
 466 , 0.022281 , 0.017853 , 0.024891 , 0.027458 , 0.014286 
 467 , 0.022208 , 0.01772 , 0.024782 , 0.027327 , 0.014228 
 468 , 0.022155 , 0.017556 , 0.02468 , 0.027206 , 0.014173 
 469 , 0.022101 , 0.017397 , 0.024579 , 0.027085 , 0.014117 
 470 , 0.022071 , 0.017305 , 0.024509 , 0.027027 , 0.014086 
 471 , 0.02206 , 0.017293 , 0.024484 , 0.027036 , 0.014084 
 472 , 0.022054 , 0.017282 , 0.024455 , 0.02705 , 0.014081 
 473 , 0.022048 , 0.017285 , 0.02444 , 0.027073 , 0.014088 
 474 , 0.022087 , 0.017395 , 0.024528 , 0.027192 , 0.014171 
 475 , 0.022123 , 0.017507 , 0.024614 , 0.02731 , 0.014258 
 476 , 0.022162 , 0.017623 , 0.0247 , 0.027428 , 0.01434 
 477 , 0.022227 , 0.017686 , 0.024804 , 0.027468 , 0.014333 
 478 , 0.02231 , 0.017736 , 0.024917 , 0.02748 , 0.01429 
 479 , 0.022389 , 0.017781 , 0.025029 , 0.027487 , 0.014246 
 480 , 0.022416 , 0.017798 , 0.025093 , 0.027463 , 0.01423 
 481 , 0.022353 , 0.017767 , 0.025071 , 0.02739 , 0.014257 
 482 , 0.022285 , 0.017731 , 0.025052 , 0.027312 , 0.014288 
 483 , 0.022221 , 0.017695 , 0.025034 , 0.02724 , 0.014314 
 484 , 0.02214 , 0.017615 , 0.024953 , 0.027237 , 0.014337 
 485 , 0.022057 , 0.017534 , 0.024874 , 0.02723 , 0.014362 
 486 , 0.021974 , 0.017457 , 0.024794 , 0.027223 , 0.014386 
 487 , 0.022086 , 0.017526 , 0.024876 , 0.02734 , 0.014449 
 488 , 0.022291 , 0.017677 , 0.02504 , 0.027515 , 0.014536 
 489 , 0.022501 , 0.017824 , 0.025205 , 0.02769 , 0.014618 
 490 , 0.022724 , 0.018025 , 0.025426 , 0.027909 , 0.014725 
 491 , 0.022978 , 0.018338 , 0.02578 , 0.028227 , 0.01488 
 492 , 0.023229 , 0.018648 , 0.026132 , 0.028543 , 0.015031 
 493 , 0.023486 , 0.01896 , 0.026486 , 0.028865 , 0.015183 
 494 , 0.023831 , 0.019173 , 0.026873 , 0.029217 , 0.015394 
 495 , 0.024192 , 0.019388 , 0.027264 , 0.029565 , 0.015604 
 496 , 0.024545 , 0.019598 , 0.027652 , 0.029915 , 0.015821 
 497 , 0.02488 , 0.019848 , 0.028009 , 0.030282 , 0.016045 
 498 , 0.0252 , 0.020135 , 0.028343 , 0.030662 , 0.016277 
 499 , 0.025522 , 0.020418 , 0.028678 , 0.031038 , 0.01651 
 500 , 0.025895 , 0.020743 , 0.029055 , 0.031457 , 0.016754 
 501 , 0.026457 , 0.021216 , 0.029577 , 0.032024 , 0.017048 
 502 , 0.027024 , 0.021688 , 0.030098 , 0.032592 , 0.017344 
 503 , 0.027585 , 0.022158 , 0.030622 , 0.033158 , 0.017637 
 504 , 0.028349 , 0.022778 , 0.031369 , 0.033829 , 0.01794 
 505 , 0.02914 , 0.023413 , 0.032154 , 0.034513 , 0.018246 
 506 , 0.029928 , 0.02405 , 0.032942 , 0.035202 , 0.018548 
 507 , 0.030744 , 0.024761 , 0.03372 , 0.03597 , 0.018922 
 508 , 0.031586 , 0.025541 , 0.034491 , 0.03681 , 0.019361 
 509 , 0.03243 , 0.026319 , 0.035262 , 0.037653 , 0.019793 
 510 , 0.033286 , 0.027093 , 0.036039 , 0.038497 , 0.020218 
 511 , 0.034234 , 0.027809 , 0.036853 , 0.039325 , 0.02057 
 512 , 0.035186 , 0.028527 , 0.03767 , 0.040155 , 0.020914 
 513 , 0.036129 , 0.029246 , 0.038483 , 0.040986 , 0.021265 
 514 , 0.037281 , 0.030267 , 0.039495 , 0.041974 , 0.021709 
 515 , 0.038481 , 0.031353 , 0.040554 , 0.043005 , 0.022177 
 516 , 0.039684 , 0.032446 , 0.041611 , 0.044033 , 0.022642 
 517 , 0.04109 , 0.03367 , 0.042834 , 0.04525 , 0.023183 
 518 , 0.04274 , 0.035058 , 0.04426 , 0.046686 , 0.023805 
 519 , 0.044387 , 0.03645 , 0.045684 , 0.048121 , 0.024428 
 520 , 0.046063 , 0.037868 , 0.047129 , 0.049586 , 0.025068 
 521 , 0.047998 , 0.03952 , 0.048778 , 0.051326 , 0.025836 
 522 , 0.049936 , 0.041175 , 0.050424 , 0.053071 , 0.02661 
 523 , 0.051875 , 0.042828 , 0.052071 , 0.054813 , 0.027384 
 524 , 0.053838 , 0.044554 , 0.053804 , 0.056636 , 0.028185 
 525 , 0.055812 , 0.046304 , 0.055572 , 0.058491 , 0.029005 
 526 , 0.057787 , 0.048057 , 0.057336 , 0.060343 , 0.029819 
 527 , 0.059789 , 0.049766 , 0.05907 , 0.062138 , 0.030596 
 528 , 0.061829 , 0.051418 , 0.060738 , 0.063848 , 0.031322 
