JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100021.spu,JUN24SHB100020.spu,JUN24SHB100019.spu,JUN24SHB100018.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,37:08 PM,36:59 PM,36:51 PM,36:40 PM
temp C,SW,SW,SW,SW
,,,,
 358 , 0.015426 , 0.007627 , 0.021739 , 0.00885 
 359 , 0.014545 , 0.008034 , 0.021951 , 0.009195 
 360 , 0.01469 , 0.00922 , 0.021753 , 0.009905 
 361 , 0.014845 , 0.010438 , 0.021615 , 0.010597 
 362 , 0.014818 , 0.011472 , 0.021438 , 0.011068 
 363 , 0.014066 , 0.011632 , 0.020955 , 0.0107 
 364 , 0.013434 , 0.011778 , 0.0205 , 0.010363 
 365 , 0.012891 , 0.011912 , 0.020071 , 0.010052 
 366 , 0.012854 , 0.011432 , 0.020412 , 0.010402 
 367 , 0.012944 , 0.010918 , 0.020905 , 0.010893 
 368 , 0.013048 , 0.010492 , 0.021376 , 0.011373 
 369 , 0.012568 , 0.010406 , 0.02193 , 0.011657 
 370 , 0.011436 , 0.010687 , 0.022603 , 0.011703 
 371 , 0.0104 , 0.010969 , 0.023261 , 0.011758 
 372 , 0.009527 , 0.011216 , 0.023869 , 0.01182 
 373 , 0.009648 , 0.01101 , 0.023913 , 0.012013 
 374 , 0.00985 , 0.010827 , 0.023956 , 0.012143 
 375 , 0.010104 , 0.010661 , 0.023997 , 0.012222 
 376 , 0.009462 , 0.010626 , 0.023823 , 0.012207 
 377 , 0.008753 , 0.010691 , 0.023672 , 0.012214 
 378 , 0.008259 , 0.010795 , 0.023617 , 0.012271 
 379 , 0.00786 , 0.010719 , 0.023615 , 0.012277 
 380 , 0.007607 , 0.010314 , 0.023704 , 0.012169 
 381 , 0.007511 , 0.009996 , 0.023883 , 0.012106 
 382 , 0.00749 , 0.00972 , 0.024114 , 0.012066 
 383 , 0.007015 , 0.009681 , 0.024324 , 0.012203 
 384 , 0.006575 , 0.009688 , 0.024513 , 0.01233 
 385 , 0.006163 , 0.009717 , 0.024686 , 0.012444 
 386 , 0.006105 , 0.010006 , 0.024848 , 0.012691 
 387 , 0.006287 , 0.010456 , 0.025016 , 0.013026 
 388 , 0.006475 , 0.010886 , 0.0252 , 0.013351 
 389 , 0.006705 , 0.011189 , 0.02543 , 0.013568 
 390 , 0.007085 , 0.01111 , 0.0258 , 0.013437 
 391 , 0.00745 , 0.011036 , 0.02616 , 0.01332 
 392 , 0.007802 , 0.01097 , 0.026506 , 0.013212 
 393 , 0.008033 , 0.011306 , 0.026925 , 0.013561 
 394 , 0.008227 , 0.011682 , 0.027328 , 0.013959 
 395 , 0.008409 , 0.012033 , 0.027704 , 0.014326 
 396 , 0.008638 , 0.012402 , 0.028203 , 0.014619 
 397 , 0.008895 , 0.012777 , 0.028783 , 0.014829 
 398 , 0.009119 , 0.013101 , 0.029288 , 0.015011 
 399 , 0.009353 , 0.013392 , 0.029713 , 0.015185 
 400 , 0.009855 , 0.013706 , 0.029974 , 0.015424 
 401 , 0.010301 , 0.013984 , 0.030204 , 0.01564 
 402 , 0.010698 , 0.014231 , 0.030406 , 0.015829 
 403 , 0.01088 , 0.01439 , 0.03073 , 0.016076 
 404 , 0.010992 , 0.014514 , 0.031079 , 0.01633 
 405 , 0.011098 , 0.014631 , 0.031406 , 0.016567 
 406 , 0.011224 , 0.014793 , 0.031725 , 0.016761 
 407 , 0.011402 , 0.015035 , 0.032052 , 0.016897 
