"","Research_location","Date","Time","Site","Block","Treatment","ref_filenames","Weather","REP","Spufilename","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum","Process_file","key_num","key"
"61","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"3","may27hist00070.spu","0.46705805548808632","0.36971038157491409","0.32007315579133494","7.6369780113919872E-2","9.2068394496972183E-2","0.99190872695367205","0.15682328300779783",70,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00070","2016-05-27_HIST00070"
"62","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"4","may27hist00071.spu","0.44911606814151889","0.33103115294864549","0.28535427340929298","7.0835108649339548E-2","8.292375220122479E-2","0.98874715917648737","0.16854531588209304",71,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00071","2016-05-27_HIST00071"
"63","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"5","may27hist00072.spu","0.59635295768205165","0.47157829879773411","0.39478515460065478","8.3569513596323239E-2","9.7211456010975847E-2","1.0207193574671167","0.23139460369382034",72,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00072","2016-05-27_HIST00072"
"64","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"1","may27hist00073.spu","0.62862311242054325","0.5130550542894865","0.43105505310816844","8.4544075242082239E-2","0.10210441842164722","0.97787862219792243","0.25205561993047509",73,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00073","2016-05-27_HIST00073"
"65","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"2","may27hist00074.spu","0.60300776257825073","0.44706079722606717","0.37996726259399921","7.9493553795455821E-2","9.4458888527786791E-2","0.9805374333056025","0.23571149521164828",74,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00074","2016-05-27_HIST00074"
"66","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"3","may27hist00075.spu","0.64892895567063758","0.54813577444612582","0.4615546833798182","9.3397810900062425E-2","0.11233982379624553","0.97958929271035267","0.26281583389639762",75,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00075","2016-05-27_HIST00075"
"67","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,NA,"1","may27hist00013.spu","0.45252577639040298","0.39774706710315033","0.34213259445707717","7.3718880170493037E-2","9.0455669608516212E-2","0.97607578157835195","0.17465541361832898",13,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00013","2016-05-27_HIST00013"
"68","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"4","may27hist00076.spu","0.58421276650828635","0.4596385521967562","0.38734679216826501","8.6600938774673605E-2","9.9981822710839746E-2","0.98063147574849518","0.22852597071745129",76,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00076","2016-05-27_HIST00076"
"69","Toolik",2016-05-27,"0.41666666666666669","HIST","4","CT",NA,NA,"5","may27hist00077.spu","0.59316813694833659","0.48744124119356996","0.41221509107038568","8.6541544717111049E-2","0.10167330891134281","0.96421300562695222","0.23894367546002812",77,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00077","2016-05-27_HIST00077"
"70","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"1","may27hist00078.spu","0.44181718001121356","0.30720425205728535","0.27432921738053878","6.6857118229785531E-2","8.632091680180369E-2","0.91690297504094653","0.12183948758818149",78,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00078","2016-05-27_HIST00078"
"71","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"2","may27hist00079.spu","0.34566158483556975","0.18231767673924426","0.15700711782120319","5.0715760262614644E-2","5.2869713197506794E-2","0.95583728959861891","8.9638125457438045E-2",79,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00079","2016-05-27_HIST00079"
"72","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"3","may27hist00080.spu","0.39258528485333216","0.2272717846613298","0.19250417446798523","5.0564628272391936E-2","5.2798069834461468E-2","0.95948948012379154","0.11613062781906192",80,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00080","2016-05-27_HIST00080"
"73","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"4","may27hist00081.spu","0.40584009126419573","0.24332652814325029","0.21703820026564832","6.1538251478037619E-2","7.538121086156678E-2","0.92692918850077088","0.10590314547167475",81,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00081","2016-05-27_HIST00081"
"74","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"5","may27hist00082.spu","0.39856697669139635","0.21197896848361045","0.18156210155956268","4.9033751089471875E-2","5.1762502341262395E-2","0.97335366995798889","0.12026526233664915",82,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00082","2016-05-27_HIST00082"
"75","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"1","may27hist00083.spu","0.41594901828363434","0.23013039888783385","0.20582776745203718","6.2015917139484386E-2","7.3628630096802636E-2","0.92640137863466177","0.10948290518714024",83,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00083","2016-05-27_HIST00083"
"76","Toolik",2016-05-27,"0.41666666666666669","HIST","4","NP",NA,NA,"2","may27hist00084.spu","0.35332262637678563","0.17912217654003235","0.15589432354873398","5.2089633918027525E-2","5.5280060282033812E-2","0.96121526980803562","9.0359261927596968E-2",84,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00084","2016-05-27_HIST00084"
