  time  ,13:14 PM,13:20 PM,13:35 PM,13:45 PM,13:51 PM,15:09 PM,15:22 PM,15:31 PM,15:40 PM,15:51 PM,16:45 PM,16:55 PM,17:02 PM,17:11 PM,17:18 PM,17:50 PM,17:57 PM,18:04 PM,18:13 PM,18:21 PM,19:37 PM,19:50 PM,20:15 PM,20:20 PM,20:28 PM,21:24 PM,21:31 PM,21:41 PM,21:49 PM,22:06 PM,22:26 PM,22:34 PM,22:45 PM,22:52 PM,23:01 PM,23:58 PM,24:06 PM,24:16 PM,24:25 PM,24:35 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 329 , 0.000913 , 0 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 0 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 1.459431 , 0.008462 , 0 , 0 , 0 , 0.000556 , 0 , 0 , 0 , 1.459431 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0.001334 , 0 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 0 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 2.078014 , 0.010324 , 0 , 0 , 0 , 0.001226 , 0 , 0 , 0 , 2.078014 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0.001605 , 0 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 0 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 2.480549 , 0.011634 , 0 , 0 , 0 , 0.001779 , 0 , 0 , 0 , 2.480549 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0.002981 , 0 , 0 , 0 , 2.969371 , 2.969371 , 2.969371 , 0 , 0 , 2.969371 , 0 , 0 , 2.969371 , 0 , 2.969371 , 0.01275 , 0 , 0 , 0.000156 , 0.003129 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000126 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0.004972 , 0 , 0 , 0 , 3.459219 , 3.459219 , 3.459219 , 0 , 0 , 3.459219 , 0 , 0 , 3.459219 , 0 , 3.459219 , 0.013603 , 0 , 0 , 0.000777 , 0.005096 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000406 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0.006702 , 0 , 0 , 0 , 3.861751 , 3.861751 , 3.861751 , 0 , 0 , 3.861751 , 0 , 0 , 3.861751 , 0 , 3.861751 , 0.014292 , 0 , 0 , 0.003281 , 0.006983 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000752 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0.008404 , 0.000667 , 0.000871 , 0 , 0 , 0.004525 , 0.182725 , 0.000317 , 0 , 0.002966 , 0 , 0 , 0.004746 , 0.000775 , 0.008226 , 0.015887 , 0.000238 , 0.000448 , 0.009168 , 0.008992 , 0 , 0.000283 , 0 , 0 , 0 , 0.000026 , 0.000039 , 0.000302 , 0 , 0.001239 , 0 , 0.000171 , 0.000289 , 0.000158 , 0 , 0.000162 , 0.000104 , 0.00018 , 0.000274 , 0.000077 
 336 , 0.010432 , 0.003448 , 0.005026 , 0 , 0 , 0.005774 , 0.048802 , 0.001519 , 0 , 0.003784 , 0 , 0 , 0.006055 , 0.001704 , 0.010496 , 0.020788 , 0.001284 , 0.002278 , 0.006597 , 0.011624 , 0 , 0.00133 , 0 , 0 , 0 , 0.000149 , 0.000206 , 0.001742 , 0 , 0.002067 , 0 , 0.000914 , 0.001654 , 0.00085 , 0 , 0.001003 , 0.000644 , 0.001023 , 0.00146 , 0.000442 
 337 , 0.012188 , 0.005528 , 0.008713 , 0 , 0 , 0.006234 , 0.034596 , 0.002326 , 0 , 0.004086 , 0 , 0 , 0.006538 , 0.001994 , 0.011332 , 0.02529 , 0.002122 , 0.003617 , 0.006622 , 0.014114 , 0 , 0.002017 , 0 , 0 , 0 , 0.00026 , 0.000333 , 0.00302 , 0 , 0.002819 , 0 , 0.0015 , 0.002849 , 0.001402 , 0 , 0.001845 , 0.001182 , 0.001751 , 0.002393 , 0.000766 
 338 , 0.013699 , 0.007122 , 0.011902 , 0 , 0 , 0.006541 , 0.029179 , 0.002906 , 0 , 0.004287 , 0 , 0 , 0.00686 , 0.002161 , 0.01189 , 0.02937 , 0.002793 , 0.004629 , 0.006751 , 0.016446 , 0 , 0.002503 , 0 , 0 , 0 , 0.000357 , 0.000431 , 0.004126 , 0 , 0.003483 , 0 , 0.001965 , 0.003872 , 0.001842 , 0 , 0.00265 , 0.001693 , 0.002367 , 0.003131 , 0.001046 
