SHB1_00005_SHB1_REF.spu,SHB1_00004_SHB1_REF.spu,SHB1_00003_SHB1_REF.spu,SHB1_00002_SHB1_REF.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 
  time  ,:38:25 A,:39:05 A,:39:28 A,:40:20 A,:40:41 A,:41:37 A,:41:56 A,:42:14 A,:42:39 A,:42:58 A,:44:37 A,:45:15 A,:45:35 A,:45:52 A,:46:06 A,:46:57 A,:47:15 A,:47:29 A,:47:50 A,:48:06 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 320 , 0.002549 , 0.001249 , 0 , 0.001284 , 0 , 0.001265 , 0.00381 , 0.001308 , 0.002557 , 0.003857 , 0 , 0.005003 , 0 , 0.002627 , 0.002627 , 0.002643 , 0 , 0.001304 , 0 , 0 
 321 , 0.003368 , 0.001665 , 0 , 0.001699 , 0 , 0.001682 , 0.00505 , 0.001748 , 0.003398 , 0.005184 , 0 , 0.006629 , 0 , 0.003498 , 0.003498 , 0.003532 , 0 , 0.001733 , 0 , 0 
 322 , 0.003248 , 0.001938 , 0 , 0.002313 , 0.000357 , 0.001272 , 0.005832 , 0.002021 , 0.004271 , 0.00462 , 0.000349 , 0.007479 , 0.001043 , 0.004729 , 0.004428 , 0.003744 , 0 , 0.001302 , 0 , 0 
 323 , 0.002892 , 0.002127 , 0 , 0.002871 , 0.00075 , 0.000702 , 0.006349 , 0.0022 , 0.004994 , 0.003634 , 0.000727 , 0.007996 , 0.002206 , 0.005838 , 0.005222 , 0.003733 , 0 , 0.000713 , 0 , 0 
 324 , 0.002608 , 0.002276 , 0 , 0.003304 , 0.001057 , 0.000251 , 0.006737 , 0.002334 , 0.005545 , 0.002856 , 0.001021 , 0.008423 , 0.003129 , 0.006696 , 0.005845 , 0.003721 , 0 , 0.000252 , 0 , 0 
 325 , 0.002807 , 0.002494 , 0.000116 , 0.00363 , 0.001529 , 0.000452 , 0.007114 , 0.002542 , 0.006171 , 0.003246 , 0.001361 , 0.00853 , 0.00384 , 0.007464 , 0.005929 , 0.003916 , 0.000117 , 0.000454 , 0 , 0.000346 
 326 , 0.003693 , 0.002833 , 0.00041 , 0.003863 , 0.002289 , 0.00158 , 0.007544 , 0.002887 , 0.007005 , 0.005294 , 0.001819 , 0.008194 , 0.004339 , 0.008227 , 0.005279 , 0.004422 , 0.000412 , 0.001611 , 0 , 0.001223 
 327 , 0.004393 , 0.003108 , 0.000647 , 0.004053 , 0.002895 , 0.002476 , 0.007895 , 0.003167 , 0.007686 , 0.006916 , 0.00219 , 0.007911 , 0.004731 , 0.008842 , 0.004749 , 0.004823 , 0.000649 , 0.002561 , 0 , 0.001938 
 328 , 0.004955 , 0.003335 , 0.000844 , 0.004212 , 0.003387 , 0.003203 , 0.008189 , 0.003397 , 0.008255 , 0.008224 , 0.002496 , 0.007669 , 0.005049 , 0.009349 , 0.004312 , 0.005144 , 0.000844 , 0.003355 , 0 , 0.002533 
 329 , 0.005941 , 0.005274 , 0.002099 , 0.005394 , 0.0047 , 0.0043 , 0.009122 , 0.005105 , 0.008788 , 0.009155 , 0.003611 , 0.009315 , 0.006847 , 0.009976 , 0.00667 , 0.006075 , 0.002551 , 0.004704 , 0.001322 , 0.003435 
