  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 827 , 0.394302 , 0.48789 , 0.401287 , 0.318855 , 0.35778 , 0.384483 , 0.289578 , 0.401307 , 0.343689 , 0.403538 , 0.440242 , 0.442363 , 0.349187 , 0.528212 , 0.2019 , 0.292594 , 0.346664 , 0.317418 , 0.367709 , 0.412413 , 0.407327 , 0.374825 , 0.387569 , 0.435106 , 0.271046 , 0.368976 , 0.326674 , 0.429961 , 0.442463 , 0.339418 , 0.403719 , 0.294242 , 0.3038 , 0.374493 , 0.383609 , 0.431177 , 0.386664 , 0.312604 , 0.407297 , 0.469318 , 0.412463 , 0.362423 , 0.270935 , 0.460694 , 0.398051 , 0.382141 , 0.370664 , 0.323759 , 0.467488 , 0.308302 , 0.361217 , 0.365528 , 0.468503 , 0.461398 , 0.228171 , 0.365438 , 0.427438 , 0.426865 , 0.339297 , 0.400956 , 0.308815 , 0.359528 , 0.41389 , 0.286101 , 0.332654 , 0.188362 , 0.354986 , 0.399599 , 0.411348 , 0.277609 , 0.272121 , 0.37181 , 0.375257 , 0.42192 , 0.324553 , 0.441569 , 0.264212 , 0.250744 , 0.449669 , 0.398212 , 0.336523 , 0.414192 , 0.412232 , 0.387006 , 0.413157 , 0.358594 , 0.284161 , 0.353639 , 0.273046 , 0.266453 , 0.360141 , 0.385066 , 0.397348 , 0.227448 , 0.25185 , 0.381348 , 0.203659 , 0.264744 , 0.334282 , 0.375076 , 0.405036 , 0.329589 , 0.372684 , 0.38582 , 0.473137 , 0.310342 , 0.34191 , 0.252985 , 0.372503 , 0.259558 , 0.351046 , 0.334945 , 0.25993 , 0.271026 , 0.290955 , 0.405167 , 0.273558 , 0.23385 , 0.250151 , 0.272262 , 0.344986 , 0.395187 , 0.329538 , 0.30381 , 0.28593 , 0.366875 , 0.289729 , 0.334373 , 0.365066 , 0.357589 , 0.315729 , 0.409267 , 0.396654 , 0.217568 , 0.359498 , 0.398353 , 0.313991 , 0.299629 , 0.320775 , 0.256754 , 0.338734 , 0.332433 , 0.30187 , 0.388031 , 0.309207 , 0.361368 , 0.320965 , 0.308041 , 0.353408 , 0.196091 , 0.375297 , 0.371729 , 0.316453 , 0.30796 , 0.353287 , 0.414182 , 0.303267 , 0.437529 , 0.316825 , 0.290322 
 828 , 0.394654 , 0.488436 , 0.401642 , 0.319256 , 0.35821 , 0.385066 , 0.289979 , 0.401883 , 0.344204 , 0.403981 , 0.441058 , 0.443096 , 0.349636 , 0.528957 , 0.202161 , 0.293022 , 0.347206 , 0.31784 , 0.368139 , 0.412816 , 0.407927 , 0.375268 , 0.388068 , 0.435607 , 0.271486 , 0.369304 , 0.327056 , 0.430446 , 0.442876 , 0.339857 , 0.404062 , 0.294548 , 0.304276 , 0.374976 , 0.384193 , 0.431792 , 0.387165 , 0.31292 , 0.407606 , 0.469702 , 0.412957 , 0.362858 , 0.271175 , 0.461238 , 0.39848 , 0.382617 , 0.371222 , 0.324275 , 0.468206 , 0.308724 , 0.361583 , 0.366031 , 0.469049 , 0.461931 , 0.228516 , 0.36591 , 0.428047 , 0.427475 , 0.339767 , 0.401421 , 0.309206 , 0.359987 , 0.414342 , 0.286405 , 0.33301 , 0.188728 , 0.355389 , 0.400016 , 0.412013 , 0.278082 , 0.27253 , 0.372346 , 0.375749 , 0.422485 , 0.324968 , 0.441942 , 0.264579 , 0.251005 , 0.450164 , 0.398761 , 0.337116 , 0.414624 , 0.412766 , 0.387586 , 0.41366 , 0.359124 , 0.284608 , 0.354134 , 0.273514 , 0.266858 , 0.36077 , 0.385498 , 0.397767 , 0.227863 , 0.25221 , 0.381854 , 0.203958 , 0.265081 , 0.334757 , 0.375629 , 0.405648 , 0.330048 , 0.373229 , 0.386472 , 0.473658 , 0.310922 , 0.342648 , 0.253485 , 0.373189 , 0.260081 , 0.351744 , 0.33551 , 0.260362 , 0.271446 , 0.291475 , 0.405999 , 0.273956 , 0.234239 , 0.250714 , 0.272671 , 0.345439 , 0.395779 , 0.330068 , 0.304286 , 0.286355 , 0.367346 , 0.29019 , 0.334877 , 0.365509 , 0.35813 , 0.316294 , 0.409885 , 0.397415 , 0.217944 , 0.360178 , 0.399002 , 0.314537 , 0.30009 , 0.321354 , 0.25723 , 0.339405 , 0.33294 , 0.302349 , 0.388841 , 0.309828 , 0.361895 , 0.321494 , 0.308443 , 0.353993 , 0.196348 , 0.3759 , 0.372416 , 0.316976 , 0.308593 , 0.353903 , 0.414824 , 0.303764 , 0.438227 , 0.317278 , 0.290773 
 829 , 0.395025 , 0.489054 , 0.402017 , 0.319703 , 0.358683 , 0.385696 , 0.290403 , 0.402458 , 0.34473 , 0.404434 , 0.441929 , 0.443855 , 0.350087 , 0.529729 , 0.202433 , 0.293473 , 0.34776 , 0.318289 , 0.368594 , 0.413201 , 0.408517 , 0.375736 , 0.388585 , 0.436132 , 0.271947 , 0.369647 , 0.327467 , 0.430956 , 0.443294 , 0.340277 , 0.404424 , 0.294887 , 0.304777 , 0.375475 , 0.384764 , 0.43242 , 0.387693 , 0.313254 , 0.407975 , 0.470076 , 0.413452 , 0.363298 , 0.271415 , 0.46178 , 0.398897 , 0.383098 , 0.371774 , 0.324799 , 0.468942 , 0.309171 , 0.361963 , 0.366537 , 0.469625 , 0.462493 , 0.228874 , 0.366407 , 0.428689 , 0.428077 , 0.340257 , 0.401906 , 0.309632 , 0.360449 , 0.414796 , 0.286702 , 0.333365 , 0.189092 , 0.355804 , 0.400452 , 0.412699 , 0.278587 , 0.27296 , 0.372897 , 0.376277 , 0.423101 , 0.325391 , 0.442321 , 0.264945 , 0.251283 , 0.450666 , 0.399338 , 0.337719 , 0.415077 , 0.413291 , 0.388154 , 0.414174 , 0.359686 , 0.285057 , 0.354631 , 0.274003 , 0.267292 , 0.361362 , 0.385947 , 0.398255 , 0.228302 , 0.252597 , 0.382336 , 0.204258 , 0.265447 , 0.335261 , 0.376177 , 0.4063 , 0.330527 , 0.37381 , 0.387131 , 0.474169 , 0.311518 , 0.343396 , 0.253991 , 0.37387 , 0.260602 , 0.352474 , 0.336094 , 0.260812 , 0.271876 , 0.291998 , 0.406821 , 0.274374 , 0.234632 , 0.251293 , 0.27311 , 0.345924 , 0.396429 , 0.330647 , 0.304767 , 0.286812 , 0.367862 , 0.290664 , 0.335432 , 0.365946 , 0.358733 , 0.316895 , 0.410523 , 0.398195 , 0.218301 , 0.36087 , 0.39971 , 0.315089 , 0.300605 , 0.32195 , 0.257743 , 0.340066 , 0.333456 , 0.302811 , 0.389719 , 0.310475 , 0.362435 , 0.322031 , 0.30889 , 0.354601 , 0.196635 , 0.376538 , 0.373108 , 0.317517 , 0.309281 , 0.354581 , 0.415508 , 0.304296 , 0.43899 , 0.317777 , 0.291276 
 830 , 0.395396 , 0.489672 , 0.40239 , 0.320138 , 0.35915 , 0.386317 , 0.290817 , 0.403042 , 0.345251 , 0.404895 , 0.442795 , 0.444608 , 0.350532 , 0.530488 , 0.202693 , 0.293904 , 0.348297 , 0.318725 , 0.369051 , 0.413584 , 0.409104 , 0.376206 , 0.389112 , 0.436652 , 0.272399 , 0.369993 , 0.327865 , 0.431471 , 0.443716 , 0.340691 , 0.404795 , 0.295226 , 0.305267 , 0.375975 , 0.385345 , 0.433044 , 0.388201 , 0.313585 , 0.408343 , 0.470462 , 0.413944 , 0.363739 , 0.271657 , 0.462325 , 0.399314 , 0.383581 , 0.372327 , 0.325319 , 0.469681 , 0.309616 , 0.362357 , 0.367036 , 0.470202 , 0.463037 , 0.229239 , 0.366896 , 0.429336 , 0.428685 , 0.340741 , 0.40238 , 0.310057 , 0.360924 , 0.415247 , 0.286989 , 0.333727 , 0.189446 , 0.356214 , 0.400867 , 0.413383 , 0.279093 , 0.273391 , 0.37344 , 0.376797 , 0.423725 , 0.3258 , 0.442704 , 0.265314 , 0.251565 , 0.451162 , 0.399915 , 0.338326 , 0.415528 , 0.413804 , 0.388722 , 0.414686 , 0.360232 , 0.285496 , 0.355121 , 0.274483 , 0.267709 , 0.361956 , 0.386397 , 0.398753 , 0.228728 , 0.252968 , 0.382839 , 0.204557 , 0.265825 , 0.335761 , 0.376717 , 0.40695 , 0.330991 , 0.374382 , 0.38779 , 0.474671 , 0.312122 , 0.344149 , 0.254481 , 0.374562 , 0.261115 , 0.353187 , 0.336693 , 0.261245 , 0.272299 , 0.292511 , 0.407641 , 0.274794 , 0.235031 , 0.251866 , 0.273551 , 0.346423 , 0.397089 , 0.331222 , 0.305237 , 0.28727 , 0.368379 , 0.291138 , 0.335992 , 0.366395 , 0.35933 , 0.317483 , 0.411158 , 0.398973 , 0.218667 , 0.361535 , 0.400416 , 0.315639 , 0.301129 , 0.322543 , 0.258239 , 0.340731 , 0.333967 , 0.303283 , 0.390606 , 0.31112 , 0.362988 , 0.322553 , 0.309326 , 0.355192 , 0.196911 , 0.377168 , 0.37379 , 0.318044 , 0.309957 , 0.355242 , 0.416199 , 0.304826 , 0.439758 , 0.318285 , 0.291779 
 831 , 0.395768 , 0.49023 , 0.402699 , 0.320509 , 0.359534 , 0.386807 , 0.291186 , 0.403669 , 0.345652 , 0.405259 , 0.443604 , 0.445234 , 0.350923 , 0.531195 , 0.202925 , 0.294246 , 0.348693 , 0.319099 , 0.369455 , 0.413951 , 0.40964 , 0.376686 , 0.389638 , 0.437113 , 0.272723 , 0.370315 , 0.32814 , 0.431973 , 0.444154 , 0.341012 , 0.405129 , 0.295536 , 0.305697 , 0.376366 , 0.385897 , 0.433533 , 0.388557 , 0.313818 , 0.40859 , 0.470837 , 0.414311 , 0.364144 , 0.271853 , 0.462866 , 0.399649 , 0.384027 , 0.372785 , 0.3258 , 0.470327 , 0.309988 , 0.362684 , 0.367435 , 0.470727 , 0.463427 , 0.229498 , 0.367275 , 0.429932 , 0.429262 , 0.341212 , 0.402819 , 0.310418 , 0.361354 , 0.415691 , 0.287135 , 0.334001 , 0.189703 , 0.356543 , 0.401139 , 0.413941 , 0.279464 , 0.273813 , 0.373906 , 0.377246 , 0.424282 , 0.32612 , 0.443084 , 0.265582 , 0.251791 , 0.451535 , 0.400409 , 0.338881 , 0.415931 , 0.414201 , 0.389207 , 0.415101 , 0.360654 , 0.285845 , 0.355563 , 0.274834 , 0.267973 , 0.362434 , 0.386777 , 0.399249 , 0.229028 , 0.253311 , 0.383347 , 0.204695 , 0.266212 , 0.336211 , 0.377206 , 0.40753 , 0.33134 , 0.374906 , 0.388347 , 0.475128 , 0.312638 , 0.344822 , 0.254891 , 0.375276 , 0.261482 , 0.353763 , 0.337231 , 0.261522 , 0.272663 , 0.292856 , 0.40835 , 0.275144 , 0.235359 , 0.252261 , 0.274083 , 0.346972 , 0.397669 , 0.33169 , 0.305627 , 0.287625 , 0.368845 , 0.291546 , 0.336421 , 0.366915 , 0.359834 , 0.317949 , 0.41175 , 0.399659 , 0.218957 , 0.362064 , 0.401089 , 0.316069 , 0.301577 , 0.323089 , 0.258622 , 0.341302 , 0.334331 , 0.303727 , 0.391388 , 0.311718 , 0.363464 , 0.322969 , 0.309668 , 0.355723 , 0.197094 , 0.377696 , 0.374416 , 0.318519 , 0.310468 , 0.355763 , 0.416821 , 0.305287 , 0.440414 , 0.318759 , 0.292226 
 832 , 0.396197 , 0.490811 , 0.403017 , 0.320874 , 0.359924 , 0.387301 , 0.291559 , 0.404365 , 0.346095 , 0.405653 , 0.444393 , 0.445891 , 0.351347 , 0.531978 , 0.203186 , 0.294644 , 0.34912 , 0.319476 , 0.369858 , 0.414359 , 0.410226 , 0.377207 , 0.390167 , 0.437564 , 0.273058 , 0.370647 , 0.328432 , 0.432461 , 0.444633 , 0.341342 , 0.405483 , 0.295823 , 0.306137 , 0.376758 , 0.386532 , 0.434069 , 0.388869 , 0.314094 , 0.408838 , 0.471231 , 0.414729 , 0.364586 , 0.272039 , 0.463424 , 0.400022 , 0.384516 , 0.373293 , 0.326316 , 0.470952 , 0.31036 , 0.362989 , 0.367871 , 0.471301 , 0.463843 , 0.229745 , 0.367652 , 0.430504 , 0.429865 , 0.341702 , 0.403277 , 0.3108 , 0.361801 , 0.416157 , 0.287326 , 0.334293 , 0.189976 , 0.356868 , 0.401439 , 0.414549 , 0.279847 , 0.274246 , 0.374401 , 0.377676 , 0.424863 , 0.326465 , 0.443504 , 0.265879 , 0.25202 , 0.451931 , 0.40092 , 0.339445 , 0.416376 , 0.414599 , 0.389717 , 0.415518 , 0.361092 , 0.286218 , 0.35607 , 0.275185 , 0.268235 , 0.362999 , 0.387181 , 0.399692 , 0.229296 , 0.253658 , 0.383896 , 0.204863 , 0.266628 , 0.33666 , 0.377746 , 0.408169 , 0.331707 , 0.37548 , 0.388909 , 0.475655 , 0.313186 , 0.345496 , 0.255345 , 0.375999 , 0.261865 , 0.354322 , 0.337788 , 0.261805 , 0.273038 , 0.293277 , 0.409108 , 0.275524 , 0.235726 , 0.252659 , 0.274615 , 0.347563 , 0.398224 , 0.332156 , 0.306037 , 0.287995 , 0.369309 , 0.291979 , 0.336849 , 0.367492 , 0.360293 , 0.318378 , 0.412402 , 0.400371 , 0.219241 , 0.362599 , 0.401759 , 0.316531 , 0.301993 , 0.32362 , 0.25902 , 0.341881 , 0.334693 , 0.30423 , 0.392154 , 0.312337 , 0.363977 , 0.32337 , 0.310011 , 0.356249 , 0.197275 , 0.378255 , 0.37505 , 0.318997 , 0.310989 , 0.356269 , 0.417445 , 0.305747 , 0.441048 , 0.319207 , 0.292638 
 833 , 0.39663 , 0.491395 , 0.403349 , 0.321244 , 0.360318 , 0.387809 , 0.291928 , 0.405073 , 0.346532 , 0.40604 , 0.445194 , 0.446549 , 0.351775 , 0.532771 , 0.203444 , 0.295038 , 0.349562 , 0.319858 , 0.370256 , 0.414782 , 0.410825 , 0.377741 , 0.3907 , 0.438007 , 0.273388 , 0.370983 , 0.32872 , 0.432943 , 0.445104 , 0.341678 , 0.405841 , 0.296095 , 0.306571 , 0.377153 , 0.387171 , 0.434608 , 0.389184 , 0.314366 , 0.40909 , 0.471638 , 0.415151 , 0.365032 , 0.272222 , 0.463993 , 0.400388 , 0.385008 , 0.373814 , 0.326826 , 0.471589 , 0.310748 , 0.363308 , 0.368312 , 0.471868 , 0.464262 , 0.229998 , 0.368023 , 0.431089 , 0.430471 , 0.342196 , 0.403738 , 0.311186 , 0.362251 , 0.416636 , 0.287512 , 0.334591 , 0.190256 , 0.357188 , 0.401734 , 0.415161 , 0.280226 , 0.274684 , 0.374911 , 0.37811 , 0.425448 , 0.326806 , 0.443928 , 0.266171 , 0.252246 , 0.452321 , 0.401425 , 0.340023 , 0.416825 , 0.415001 , 0.390241 , 0.415948 , 0.361544 , 0.286595 , 0.35658 , 0.275531 , 0.268494 , 0.363567 , 0.38759 , 0.400129 , 0.229559 , 0.254011 , 0.38445 , 0.205029 , 0.267058 , 0.337122 , 0.37829 , 0.408811 , 0.332079 , 0.376047 , 0.389474 , 0.476194 , 0.313728 , 0.346183 , 0.255805 , 0.376715 , 0.262244 , 0.354885 , 0.338358 , 0.262085 , 0.273408 , 0.293703 , 0.409868 , 0.27591 , 0.236078 , 0.253054 , 0.275142 , 0.348147 , 0.398784 , 0.332627 , 0.306451 , 0.28837 , 0.369777 , 0.292407 , 0.337272 , 0.368063 , 0.360746 , 0.318812 , 0.413048 , 0.401086 , 0.219542 , 0.363139 , 0.402442 , 0.317007 , 0.302404 , 0.324144 , 0.259413 , 0.342465 , 0.335059 , 0.304737 , 0.392912 , 0.31295 , 0.364494 , 0.323766 , 0.310349 , 0.356779 , 0.197443 , 0.378818 , 0.375698 , 0.319489 , 0.311515 , 0.356779 , 0.418071 , 0.306202 , 0.441685 , 0.319659 , 0.293055 
 834 , 0.397052 , 0.492007 , 0.403721 , 0.321607 , 0.360768 , 0.388302 , 0.292232 , 0.405801 , 0.347021 , 0.406528 , 0.445967 , 0.447172 , 0.352316 , 0.533546 , 0.203697 , 0.295407 , 0.349997 , 0.320233 , 0.370603 , 0.415188 , 0.411406 , 0.378307 , 0.391238 , 0.438472 , 0.273696 , 0.371329 , 0.329053 , 0.433455 , 0.44552 , 0.342014 , 0.406239 , 0.296363 , 0.307004 , 0.377571 , 0.387804 , 0.435117 , 0.389526 , 0.314659 , 0.409425 , 0.472078 , 0.415587 , 0.365506 , 0.272452 , 0.464572 , 0.400804 , 0.385475 , 0.374326 , 0.327331 , 0.472257 , 0.311125 , 0.363625 , 0.368751 , 0.472446 , 0.464692 , 0.230245 , 0.368383 , 0.431693 , 0.431036 , 0.342631 , 0.404229 , 0.311673 , 0.362649 , 0.41708 , 0.287762 , 0.334896 , 0.190597 , 0.357533 , 0.402098 , 0.415845 , 0.280704 , 0.27513 , 0.375421 , 0.378576 , 0.425939 , 0.327201 , 0.444415 , 0.266499 , 0.252533 , 0.452746 , 0.402009 , 0.34053 , 0.417269 , 0.415417 , 0.39075 , 0.416403 , 0.362002 , 0.286996 , 0.357174 , 0.275896 , 0.268799 , 0.364152 , 0.388013 , 0.400605 , 0.229887 , 0.254355 , 0.384997 , 0.20523 , 0.267445 , 0.337594 , 0.378845 , 0.409465 , 0.332467 , 0.376675 , 0.390083 , 0.476717 , 0.31435 , 0.346931 , 0.256246 , 0.377411 , 0.262657 , 0.355492 , 0.338987 , 0.262448 , 0.273806 , 0.294193 , 0.410669 , 0.276334 , 0.236447 , 0.253469 , 0.275628 , 0.348683 , 0.399351 , 0.333134 , 0.306855 , 0.288708 , 0.370274 , 0.292829 , 0.337673 , 0.368642 , 0.361236 , 0.319268 , 0.413705 , 0.401859 , 0.219903 , 0.363664 , 0.403124 , 0.317516 , 0.302823 , 0.324673 , 0.25985 , 0.343109 , 0.335444 , 0.305142 , 0.393637 , 0.313574 , 0.365038 , 0.324185 , 0.310687 , 0.357304 , 0.197665 , 0.379382 , 0.376366 , 0.319984 , 0.312041 , 0.357333 , 0.418732 , 0.306675 , 0.442344 , 0.320094 , 0.293466 
 835 , 0.397442 , 0.492597 , 0.404158 , 0.321979 , 0.361196 , 0.388738 , 0.29251 , 0.406483 , 0.347494 , 0.40706 , 0.446803 , 0.447727 , 0.352909 , 0.534248 , 0.203942 , 0.295729 , 0.350455 , 0.320618 , 0.370963 , 0.415584 , 0.411958 , 0.378852 , 0.391778 , 0.438924 , 0.273989 , 0.371688 , 0.329431 , 0.434025 , 0.445938 , 0.342368 , 0.406652 , 0.296633 , 0.307453 , 0.378037 , 0.38841 , 0.435555 , 0.38997 , 0.314965 , 0.409792 , 0.472576 , 0.416022 , 0.365965 , 0.272748 , 0.465174 , 0.401267 , 0.385876 , 0.374828 , 0.327812 , 0.473023 , 0.311477 , 0.363988 , 0.369244 , 0.473013 , 0.465124 , 0.23052 , 0.368727 , 0.432346 , 0.431631 , 0.343093 , 0.404725 , 0.312173 , 0.362965 , 0.417492 , 0.288019 , 0.335164 , 0.190916 , 0.357907 , 0.402459 , 0.416538 , 0.281213 , 0.275559 , 0.375911 , 0.37914 , 0.426385 , 0.327573 , 0.444905 , 0.266846 , 0.252846 , 0.453221 , 0.402588 , 0.341036 , 0.417651 , 0.415843 , 0.391232 , 0.416846 , 0.362448 , 0.287403 , 0.357748 , 0.276275 , 0.269141 , 0.364713 , 0.38842 , 0.401108 , 0.230272 , 0.254704 , 0.385539 , 0.205432 , 0.26778 , 0.338085 , 0.379408 , 0.41009 , 0.332879 , 0.377242 , 0.390695 , 0.477206 , 0.314965 , 0.347713 , 0.256622 , 0.378136 , 0.26309 , 0.356139 , 0.339605 , 0.262812 , 0.274188 , 0.294606 , 0.411461 , 0.276742 , 0.2368 , 0.253919 , 0.276086 , 0.349174 , 0.399876 , 0.333684 , 0.307245 , 0.289002 , 0.370824 , 0.293235 , 0.338075 , 0.369174 , 0.361752 , 0.319734 , 0.414323 , 0.402608 , 0.220306 , 0.364197 , 0.403751 , 0.318035 , 0.303231 , 0.325238 , 0.260258 , 0.343788 , 0.33587 , 0.305506 , 0.394382 , 0.31422 , 0.365588 , 0.324642 , 0.31104 , 0.357848 , 0.197901 , 0.379945 , 0.377034 , 0.320499 , 0.31257 , 0.357887 , 0.41944 , 0.307155 , 0.443027 , 0.320559 , 0.293891 
 836 , 0.397829 , 0.493185 , 0.404612 , 0.322345 , 0.361624 , 0.389182 , 0.292784 , 0.40718 , 0.347959 , 0.407596 , 0.447659 , 0.448284 , 0.353492 , 0.534954 , 0.20418 , 0.296036 , 0.350914 , 0.321006 , 0.371332 , 0.415986 , 0.412505 , 0.379394 , 0.392315 , 0.439389 , 0.27427 , 0.372046 , 0.329802 , 0.434599 , 0.44635 , 0.342733 , 0.407081 , 0.296909 , 0.307906 , 0.378511 , 0.389023 , 0.435987 , 0.390431 , 0.315274 , 0.410155 , 0.473065 , 0.416462 , 0.366423 , 0.27304 , 0.465786 , 0.401736 , 0.386286 , 0.375318 , 0.328285 , 0.473809 , 0.311833 , 0.364351 , 0.369725 , 0.473581 , 0.465548 , 0.230796 , 0.369071 , 0.432992 , 0.432229 , 0.343566 , 0.405226 , 0.312666 , 0.36327 , 0.4179 , 0.288282 , 0.335424 , 0.191249 , 0.358282 , 0.402817 , 0.417235 , 0.281727 , 0.275995 , 0.376389 , 0.379701 , 0.426815 , 0.327937 , 0.445398 , 0.267189 , 0.253157 , 0.453698 , 0.403174 , 0.341533 , 0.418038 , 0.416273 , 0.39172 , 0.417295 , 0.362893 , 0.287815 , 0.358331 , 0.27664 , 0.26949 , 0.365263 , 0.388834 , 0.401607 , 0.230657 , 0.255051 , 0.386078 , 0.205628 , 0.268111 , 0.338578 , 0.379979 , 0.41071 , 0.333282 , 0.377797 , 0.391304 , 0.477686 , 0.315582 , 0.348504 , 0.257005 , 0.378858 , 0.26353 , 0.356794 , 0.340204 , 0.263163 , 0.274567 , 0.295015 , 0.412247 , 0.277145 , 0.237152 , 0.254367 , 0.27654 , 0.349655 , 0.400397 , 0.334224 , 0.307648 , 0.289303 , 0.371372 , 0.293646 , 0.338479 , 0.369716 , 0.362268 , 0.320203 , 0.414925 , 0.403362 , 0.220701 , 0.364718 , 0.404383 , 0.318556 , 0.303652 , 0.325805 , 0.260664 , 0.344478 , 0.336287 , 0.305873 , 0.395131 , 0.314868 , 0.366126 , 0.325101 , 0.311407 , 0.358411 , 0.198131 , 0.380505 , 0.377698 , 0.321026 , 0.313102 , 0.35845 , 0.420161 , 0.307638 , 0.443702 , 0.321036 , 0.294311 
