  time  ,43:06 PM,43:13 PM,43:20 PM,43:27 PM,43:35 PM,43:52 PM,43:59 PM,44:06 PM,44:13 PM,44:21 PM,44:39 PM,44:46 PM,44:56 PM,45:04 PM,45:13 PM,46:10 PM,46:24 PM,46:31 PM,46:41 PM,46:48 PM,47:16 PM,47:22 PM,47:29 PM,47:36 PM,47:45 PM,48:16 PM,48:24 PM,48:30 PM,48:37 PM,48:45 PM,49:11 PM,49:18 PM,49:25 PM,49:31 PM,49:38 PM,50:44 PM,50:56 PM,51:03 PM,51:11 PM,51:19 PM,51:46 PM,51:51 PM,51:59 PM,52:06 PM,52:13 PM,53:19 PM,53:26 PM,53:33 PM,53:40 PM,53:50 PM,54:27 PM,54:34 PM,54:43 PM,54:51 PM,54:57 PM,55:32 PM,55:41 PM,55:49 PM,55:55 PM,56:07 PM,56:42 PM,56:52 PM,56:58 PM,57:06 PM,57:13 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000454 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003579 , 0.008509 , 0 , 0 , 0.00157 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000712 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005632 , 0.009973 , 0 , 0 , 0.002459 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007309 , 0.011138 , 0 , 0 , 0.003178 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001173 , 0 , 0 , 0 , 0.001396 , 0.003984 , 0.002325 , 0.002175 , 0.000726 , 0.001281 , 0.002115 , 0.00235 , 0.002907 , 0.001585 , 0 , 0 , 0 , 0 , 0 , 0.001895 , 0 , 0.009597 , 0.013905 , 0 , 0.000842 , 0.005772 , 0.003357 , 0.002199 , 0 , 0 , 0.001118 , 0.001673 , 0.002793 , 0.001395 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001454 , 0.002842 , 0.000853 , 0.001369 , 0.001694 , 0.003645 , 0.002524 , 0.002569 , 0.001665 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002231 , 0 , 0 , 0 , 0.002656 , 0.006718 , 0.004437 , 0.00408 , 0.001381 , 0.002414 , 0.004028 , 0.004525 , 0.005516 , 0.00303 , 0 , 0 , 0 , 0 , 0 , 0.003608 , 0 , 0.011573 , 0.016365 , 0 , 0.001614 , 0.00809 , 0.006387 , 0.004185 , 0 , 0 , 0.002135 , 0.003159 , 0.005313 , 0.002644 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002753 , 0.005427 , 0.001635 , 0.002616 , 0.003234 , 0.006907 , 0.004765 , 0.004867 , 0.003167 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003154 , 0 , 0 , 0 , 0.003756 , 0.009085 , 0.006296 , 0.005694 , 0.001953 , 0.003384 , 0.005702 , 0.006477 , 0.007783 , 0.004305 , 0 , 0 , 0 , 0 , 0 , 0.005106 , 0 , 0.013268 , 0.018523 , 0 , 0.0023 , 0.010116 , 0.009033 , 0.00592 , 0 , 0 , 0.003032 , 0.004434 , 0.007515 , 0.003725 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003875 , 0.007703 , 0.002331 , 0.003714 , 0.004591 , 0.009731 , 0.006689 , 0.006854 , 0.004479 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0.000564 , 0.000115 , 0 , 0.000338 , 0.004624 , 0.001041 , 0.000796 , 0 , 0.005038 , 0.011298 , 0.007512 , 0.007649 , 0.002757 , 0.00446 , 0.007351 , 0.008346 , 0.008992 , 0.00629 , 0 , 0 , 0 , 0 , 0 , 0.006613 , 0.001083 , 0.015272 , 0.020446 , 0 , 0.00324 , 0.012409 , 0.010656 , 0.007506 , 0.000409 , 0.00097 , 0.0043 , 0.005806 , 0.008933 , 0.005024 , 0.000137 , 0 , 0 , 0 , 0 , 0.000675 , 0.005636 , 0.009284 , 0.003596 , 0.005036 , 0.006571 , 0.011999 , 0.0083 , 0.00905 , 0.005977 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000285 , 0.000139 , 0.000836 
 333 , 0 , 0 , 0.001432 , 0.00029 , 0 , 0.000855 , 0.006315 , 0.002616 , 0.002027 , 0 , 0.006353 , 0.013291 , 0.008279 , 0.009708 , 0.003641 , 0.005539 , 0.008873 , 0.010025 , 0.009506 , 0.008551 , 0 , 0 , 0 , 0 , 0 , 0.008024 , 0.002701 , 0.01734 , 0.022081 , 0 , 0.004239 , 0.014702 , 0.011575 , 0.008904 , 0.001031 , 0.002418 , 0.005694 , 0.007173 , 0.009806 , 0.006357 , 0.000346 , 0 , 0 , 0 , 0 , 0.001695 , 0.007622 , 0.010348 , 0.005108 , 0.006394 , 0.008784 , 0.013821 , 0.009639 , 0.011221 , 0.00748 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000706 , 0.000348 , 0.002105 
 334 , 0 , 0 , 0.002189 , 0.00044 , 0 , 0.001304 , 0.007755 , 0.003963 , 0.003106 , 0 , 0.00749 , 0.014996 , 0.008941 , 0.011488 , 0.004386 , 0.006468 , 0.010167 , 0.011451 , 0.009932 , 0.010475 , 0 , 0 , 0 , 0 , 0 , 0.009222 , 0.00406 , 0.019107 , 0.023425 , 0 , 0.005065 , 0.016642 , 0.012345 , 0.010099 , 0.001566 , 0.003631 , 0.006877 , 0.008363 , 0.010548 , 0.007477 , 0.000526 , 0 , 0 , 0 , 0 , 0.002564 , 0.009276 , 0.011241 , 0.006402 , 0.007546 , 0.010677 , 0.015392 , 0.010783 , 0.013061 , 0.008755 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001055 , 0.000525 , 0.003193 
 335 , 0.000163 , 0.000228 , 0.002903 , 0.000632 , 0.000065 , 0.001659 , 0.008742 , 0.004987 , 0.00394 , 0.000098 , 0.008376 , 0.016219 , 0.009422 , 0.012719 , 0.005112 , 0.007261 , 0.011221 , 0.012672 , 0.010268 , 0.011851 , 0.000036 , 0 , 0 , 0 , 0.000075 , 0.010168 , 0.005168 , 0.020642 , 0.024464 , 0.000315 , 0.005775 , 0.018079 , 0.013095 , 0.011104 , 0.002132 , 0.004689 , 0.007875 , 0.009494 , 0.011272 , 0.008437 , 0.001021 , 0 , 0 , 0 , 0.000116 , 0.003339 , 0.010571 , 0.012075 , 0.007473 , 0.008459 , 0.012178 , 0.016641 , 0.011786 , 0.01438 , 0.009956 , 0.000193 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001535 , 0.00086 , 0.004114 
