SHB2_00004_SHB2_REF.spu,SHB2_00003_SHB2_REF.spu,SHB2_00002_SHB2_REF.spu,
Wavelength,SHB2_00005_B2_NP.spu,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_CT1.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_N.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_P.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu
  (nm),6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 
  time  ,52:04 PM,52:45 PM,53:04 PM,53:28 PM,53:43 PM,54:25 PM,54:41 PM,54:56 PM,55:11 PM,55:31 PM,56:42 PM,56:56 PM,57:10 PM,57:26 PM,57:42 PM,58:29 PM,58:41 PM,58:52 PM,59:02 PM,59:15 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 322 , 0.025999 , 0.032714 , 0.034216 , 0.028937 , 0.05599 , 0.024743 , 0.032321 , 0.030056 , 0.026153 , 0.027711 , 0.026222 , 0.017429 , 0.028512 , 0.017336 , 0.022462 , 0.041857 , 0.059309 , 0.063588 , 0.060156 , 0.053312 
 323 , 0.02864 , 0.034413 , 0.035073 , 0.031666 , 0.057327 , 0.025022 , 0.033102 , 0.027456 , 0.028361 , 0.02934 , 0.028533 , 0.018956 , 0.028023 , 0.018727 , 0.022665 , 0.045283 , 0.059 , 0.062013 , 0.060851 , 0.053176 
 324 , 0.030772 , 0.035882 , 0.035859 , 0.033965 , 0.058601 , 0.025246 , 0.033752 , 0.025408 , 0.030174 , 0.030741 , 0.030457 , 0.020289 , 0.027683 , 0.019906 , 0.022874 , 0.04828 , 0.058801 , 0.06086 , 0.061529 , 0.05323 
 325 , 0.031312 , 0.036118 , 0.035902 , 0.034302 , 0.057951 , 0.025215 , 0.032744 , 0.02425 , 0.030229 , 0.030352 , 0.030491 , 0.020242 , 0.026676 , 0.019963 , 0.02244 , 0.049203 , 0.058317 , 0.059658 , 0.061024 , 0.05294 
 326 , 0.029649 , 0.034572 , 0.034816 , 0.031809 , 0.054411 , 0.024821 , 0.029282 , 0.024198 , 0.027763 , 0.027306 , 0.027818 , 0.018159 , 0.024561 , 0.018394 , 0.021036 , 0.047099 , 0.057339 , 0.058196 , 0.058705 , 0.052049 
 327 , 0.028306 , 0.033299 , 0.033965 , 0.029782 , 0.051507 , 0.024483 , 0.02647 , 0.024174 , 0.025759 , 0.02483 , 0.025644 , 0.016467 , 0.022843 , 0.017119 , 0.019888 , 0.045394 , 0.056579 , 0.056991 , 0.056825 , 0.051285 
 328 , 0.027193 , 0.032235 , 0.033279 , 0.028101 , 0.049083 , 0.024195 , 0.024145 , 0.02417 , 0.024099 , 0.022775 , 0.02384 , 0.015062 , 0.021419 , 0.01606 , 0.01893 , 0.043983 , 0.055981 , 0.055979 , 0.055273 , 0.050626 
 329 , 0.026705 , 0.031777 , 0.032886 , 0.028081 , 0.049707 , 0.025293 , 0.025371 , 0.024994 , 0.024839 , 0.024387 , 0.024997 , 0.016147 , 0.021688 , 0.016484 , 0.020214 , 0.043995 , 0.055079 , 0.055073 , 0.055319 , 0.051346 
 330 , 0.026264 , 0.031433 , 0.03255 , 0.028101 , 0.050352 , 0.026334 , 0.026579 , 0.025772 , 0.025542 , 0.025888 , 0.026084 , 0.017118 , 0.021968 , 0.016896 , 0.021384 , 0.044055 , 0.054335 , 0.0543 , 0.055435 , 0.052067 
 331 , 0.025825 , 0.031187 , 0.032239 , 0.028097 , 0.050933 , 0.027298 , 0.027675 , 0.026488 , 0.026134 , 0.02718 , 0.027021 , 0.017917 , 0.0222 , 0.017249 , 0.02239 , 0.044108 , 0.053738 , 0.053638 , 0.055563 , 0.05277 
 332 , 0.02574 , 0.0307 , 0.031519 , 0.027418 , 0.049862 , 0.027165 , 0.027514 , 0.025423 , 0.026398 , 0.027385 , 0.026683 , 0.017885 , 0.021975 , 0.017547 , 0.022059 , 0.043579 , 0.052835 , 0.05237 , 0.054766 , 0.051673 
 333 , 0.025858 , 0.030112 , 0.030594 , 0.026391 , 0.047902 , 0.0264 , 0.026638 , 0.02344 , 0.026459 , 0.026952 , 0.025638 , 0.01738 , 0.021496 , 0.017792 , 0.020974 , 0.042743 , 0.051821 , 0.050839 , 0.053488 , 0.049639 
 334 , 0.026001 , 0.02959 , 0.029792 , 0.025501 , 0.046202 , 0.025734 , 0.025875 , 0.021754 , 0.026515 , 0.026573 , 0.024732 , 0.016942 , 0.021082 , 0.017996 , 0.020035 , 0.042012 , 0.050922 , 0.049503 , 0.052368 , 0.047873 
 335 , 0.025971 , 0.029087 , 0.029338 , 0.024863 , 0.045084 , 0.025102 , 0.025364 , 0.020586 , 0.026218 , 0.026127 , 0.024064 , 0.016653 , 0.020734 , 0.018076 , 0.019378 , 0.04139 , 0.050357 , 0.048811 , 0.051607 , 0.046881 
 336 , 0.025338 , 0.028463 , 0.02985 , 0.024775 , 0.045449 , 0.024361 , 0.025469 , 0.020561 , 0.024683 , 0.025317 , 0.023895 , 0.016748 , 0.020493 , 0.017781 , 0.019408 , 0.040863 , 0.05063 , 0.049891 , 0.051729 , 0.047906 
 337 , 0.024793 , 0.027925 , 0.030305 , 0.024727 , 0.045756 , 0.023723 , 0.025571 , 0.020541 , 0.023359 , 0.024619 , 0.023763 , 0.016835 , 0.020285 , 0.017538 , 0.019429 , 0.040437 , 0.050899 , 0.050885 , 0.051835 , 0.048848 
 338 , 0.02432 , 0.027457 , 0.030712 , 0.02471 , 0.046017 , 0.023167 , 0.025668 , 0.020525 , 0.022207 , 0.024011 , 0.02366 , 0.016918 , 0.020105 , 0.017336 , 0.019443 , 0.04009 , 0.051163 , 0.051807 , 0.051929 , 0.049723 
 339 , 0.02472 , 0.027708 , 0.030545 , 0.024928 , 0.046452 , 0.023029 , 0.024825 , 0.020786 , 0.022587 , 0.024308 , 0.023764 , 0.017119 , 0.020331 , 0.017462 , 0.019536 , 0.040163 , 0.050973 , 0.051167 , 0.051872 , 0.049726 
 340 , 0.025215 , 0.028041 , 0.030291 , 0.025158 , 0.046892 , 0.022965 , 0.023917 , 0.021068 , 0.023176 , 0.024714 , 0.023888 , 0.017322 , 0.020598 , 0.017618 , 0.019635 , 0.040299 , 0.050722 , 0.050344 , 0.051806 , 0.049578 
 341 , 0.025636 , 0.028319 , 0.030052 , 0.025348 , 0.047311 , 0.022896 , 0.023118 , 0.021316 , 0.023686 , 0.025058 , 0.023986 , 0.017502 , 0.020828 , 0.017736 , 0.019729 , 0.040409 , 0.05048 , 0.049624 , 0.051762 , 0.049427 
 342 , 0.025552 , 0.028339 , 0.029834 , 0.025305 , 0.047287 , 0.022718 , 0.023166 , 0.021237 , 0.023754 , 0.025123 , 0.02409 , 0.017424 , 0.020916 , 0.017826 , 0.019821 , 0.040158 , 0.050118 , 0.049321 , 0.051542 , 0.048951 
 343 , 0.024962 , 0.028101 , 0.029638 , 0.025029 , 0.046798 , 0.022435 , 0.02407 , 0.020826 , 0.023377 , 0.024913 , 0.024202 , 0.017085 , 0.020861 , 0.017892 , 0.019908 , 0.039534 , 0.049627 , 0.049426 , 0.051122 , 0.048141 
 344 , 0.024431 , 0.027874 , 0.02946 , 0.024771 , 0.046348 , 0.02219 , 0.024869 , 0.020458 , 0.023035 , 0.024717 , 0.024289 , 0.01678 , 0.020803 , 0.017947 , 0.019979 , 0.038942 , 0.049155 , 0.049493 , 0.050708 , 0.047395 
 345 , 0.024027 , 0.027688 , 0.029316 , 0.024575 , 0.04599 , 0.022012 , 0.025544 , 0.020148 , 0.022768 , 0.024551 , 0.024336 , 0.016532 , 0.020772 , 0.018002 , 0.020034 , 0.038507 , 0.048758 , 0.049524 , 0.050355 , 0.0468 
 346 , 0.02455 , 0.027845 , 0.029427 , 0.0249 , 0.04629 , 0.022341 , 0.025681 , 0.020127 , 0.023056 , 0.024597 , 0.024077 , 0.016638 , 0.021076 , 0.01817 , 0.020038 , 0.039458 , 0.04889 , 0.049415 , 0.050523 , 0.047267 
 347 , 0.02502 , 0.027985 , 0.029522 , 0.025193 , 0.046565 , 0.022622 , 0.025799 , 0.020099 , 0.0233 , 0.024632 , 0.023851 , 0.016728 , 0.021344 , 0.018311 , 0.020037 , 0.040326 , 0.049034 , 0.049314 , 0.050682 , 0.047709 
 348 , 0.025444 , 0.028111 , 0.029604 , 0.025458 , 0.046818 , 0.022863 , 0.025902 , 0.020068 , 0.02351 , 0.024657 , 0.023654 , 0.016805 , 0.021582 , 0.018431 , 0.020035 , 0.041124 , 0.049187 , 0.049219 , 0.050831 , 0.048128 
 349 , 0.02543 , 0.02825 , 0.029863 , 0.025372 , 0.046829 , 0.022852 , 0.025816 , 0.019982 , 0.023378 , 0.024479 , 0.023612 , 0.016771 , 0.02148 , 0.018256 , 0.019936 , 0.040972 , 0.049207 , 0.049074 , 0.051049 , 0.048211 
 350 , 0.025262 , 0.028395 , 0.030181 , 0.025161 , 0.046751 , 0.022751 , 0.025668 , 0.019884 , 0.023137 , 0.02424 , 0.023625 , 0.016707 , 0.021267 , 0.017991 , 0.019809 , 0.040476 , 0.049169 , 0.048904 , 0.051272 , 0.048165 
 351 , 0.025115 , 0.028538 , 0.030481 , 0.024966 , 0.046679 , 0.022657 , 0.025536 , 0.019799 , 0.022927 , 0.024028 , 0.023633 , 0.016657 , 0.021081 , 0.01776 , 0.019695 , 0.040019 , 0.049125 , 0.048731 , 0.051467 , 0.048121 
 352 , 0.025036 , 0.028598 , 0.03057 , 0.024874 , 0.046586 , 0.022602 , 0.025436 , 0.019784 , 0.022834 , 0.023921 , 0.023728 , 0.01661 , 0.020967 , 0.01762 , 0.019677 , 0.039779 , 0.049072 , 0.048706 , 0.051581 , 0.048126 
 353 , 0.025068 , 0.0285 , 0.030267 , 0.024967 , 0.046448 , 0.022615 , 0.025382 , 0.019895 , 0.022937 , 0.023994 , 0.024002 , 0.016549 , 0.020963 , 0.017624 , 0.019836 , 0.039922 , 0.049011 , 0.048979 , 0.051561 , 0.048226 
 354 , 0.025094 , 0.028405 , 0.029982 , 0.025052 , 0.046313 , 0.022623 , 0.025328 , 0.020001 , 0.02303 , 0.024063 , 0.024262 , 0.016489 , 0.020958 , 0.017627 , 0.019986 , 0.040057 , 0.04895 , 0.049248 , 0.051544 , 0.04832 
