TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB1_00001.spu,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5
  time  ,4:17 PM",4:44 PM",5:12 PM",5:33 PM",6:06 PM",7:23 PM",7:45 PM",8:31 PM",8:58 PM",9:19 PM",0:41 PM",1:02 PM",1:30 PM",3:47 PM",4:21 PM",5:28 PM",5:40 PM",5:55 PM",6:15 PM",6:31 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 345 , 0.012067 , 0.013326 , 0.01022 , 0.013214 , 0.008041 , 0.012848 , 0.007588 , 0.009077 , 0.015784 , 0.012802 , 0.011275 , 0.008502 , 0.013557 , 0.004761 , 0.013613 , 0.008108 , 0.013884 , 0.016556 , 0.01634 , 0.017027 
 346 , 0.012705 , 0.015155 , 0.011134 , 0.01416 , 0.008937 , 0.013494 , 0.009683 , 0.009466 , 0.016063 , 0.01344 , 0.011622 , 0.008993 , 0.013805 , 0.00551 , 0.013625 , 0.009057 , 0.014505 , 0.016337 , 0.01651 , 0.016677 
 347 , 0.013217 , 0.016716 , 0.01191 , 0.014948 , 0.009668 , 0.014006 , 0.011422 , 0.009798 , 0.01629 , 0.013968 , 0.011896 , 0.009404 , 0.014023 , 0.006141 , 0.013619 , 0.009864 , 0.015004 , 0.016132 , 0.016651 , 0.016348 
 348 , 0.01363 , 0.018058 , 0.012574 , 0.015611 , 0.01027 , 0.014413 , 0.012879 , 0.010084 , 0.016475 , 0.014406 , 0.012112 , 0.00975 , 0.014214 , 0.006675 , 0.0136 , 0.010555 , 0.015408 , 0.015941 , 0.016768 , 0.016039 
 349 , 0.013781 , 0.018347 , 0.012681 , 0.01609 , 0.010812 , 0.014736 , 0.013443 , 0.010241 , 0.01629 , 0.014456 , 0.012267 , 0.009955 , 0.014347 , 0.006783 , 0.013806 , 0.010642 , 0.015733 , 0.015865 , 0.016974 , 0.015982 
 350 , 0.013837 , 0.018243 , 0.012584 , 0.016487 , 0.011307 , 0.015025 , 0.01367 , 0.010342 , 0.015987 , 0.014368 , 0.012398 , 0.010102 , 0.014451 , 0.006737 , 0.014091 , 0.010512 , 0.016028 , 0.015836 , 0.017211 , 0.016023 
 351 , 0.013888 , 0.018148 , 0.012495 , 0.016856 , 0.011752 , 0.015296 , 0.01388 , 0.010432 , 0.01572 , 0.014291 , 0.012522 , 0.010238 , 0.014548 , 0.006697 , 0.014359 , 0.010396 , 0.01631 , 0.01581 , 0.017437 , 0.016065 
 352 , 0.013829 , 0.018112 , 0.01238 , 0.017004 , 0.011911 , 0.015289 , 0.013649 , 0.010445 , 0.015685 , 0.014122 , 0.012542 , 0.010261 , 0.014634 , 0.006737 , 0.014281 , 0.010295 , 0.016368 , 0.015641 , 0.017405 , 0.015994 
 353 , 0.013555 , 0.018181 , 0.012205 , 0.016746 , 0.011556 , 0.014751 , 0.012576 , 0.010319 , 0.016075 , 0.013761 , 0.012364 , 0.010071 , 0.014705 , 0.006928 , 0.013537 , 0.010202 , 0.015994 , 0.015185 , 0.016884 , 0.015697 
 354 , 0.0133 , 0.018249 , 0.012042 , 0.016507 , 0.011227 , 0.01425 , 0.011589 , 0.010202 , 0.016447 , 0.013427 , 0.012198 , 0.009894 , 0.014774 , 0.00711 , 0.012849 , 0.010116 , 0.015644 , 0.014759 , 0.016407 , 0.015418 
