MAT_00004.spu,MAT_00003.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 
  time  ,:11:01 A,:11:18 A,:11:33 A,:11:40 A,:11:48 A,:12:10 A,:12:18 A,:12:26 A,:12:33 A,:12:40 A,:13:06 A,:13:14 A,:13:21 A,:13:28 A,:13:37 A,:14:15 A,:14:22 A,:14:31 A,:14:38 A,:14:46 A,:15:17 A,:15:26 A,:16:03 A,:16:14 A,:16:23 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 340 , 0.006214 , 0.008264 , 0.00744 , 0.010041 , 0.01224 , 0.011793 , 0.023998 , 0.013787 , 0.01885 , 0.021802 , 0.015333 , 0.002993 , 0.004833 , 0.012415 , 0.009828 , 0.016632 , 0.01955 , 0.0147 , 0.01038 , 0.009699 , 0.020497 , 0.008638 , 0.016182 , 0.019917 , 0.026135 
 341 , 0.006525 , 0.008893 , 0.008037 , 0.011113 , 0.013 , 0.011835 , 0.024089 , 0.013485 , 0.019654 , 0.022052 , 0.01547 , 0.003749 , 0.005827 , 0.01258 , 0.00981 , 0.016961 , 0.019983 , 0.01558 , 0.010725 , 0.009912 , 0.020591 , 0.009287 , 0.016448 , 0.020299 , 0.027022 
 342 , 0.006911 , 0.009026 , 0.008577 , 0.011453 , 0.01333 , 0.012048 , 0.02445 , 0.013771 , 0.020236 , 0.022467 , 0.015769 , 0.00413 , 0.006188 , 0.012859 , 0.009958 , 0.017325 , 0.020446 , 0.016423 , 0.011113 , 0.010329 , 0.020862 , 0.009782 , 0.016602 , 0.020606 , 0.027494 
 343 , 0.007383 , 0.00867 , 0.009061 , 0.01108 , 0.01323 , 0.012439 , 0.025095 , 0.014657 , 0.020602 , 0.023057 , 0.016234 , 0.004137 , 0.00591 , 0.013255 , 0.010276 , 0.01774 , 0.020943 , 0.017225 , 0.011553 , 0.010963 , 0.021315 , 0.010136 , 0.016654 , 0.020845 , 0.027575 
 344 , 0.0078 , 0.008356 , 0.00948 , 0.010749 , 0.013135 , 0.012777 , 0.025657 , 0.015442 , 0.020928 , 0.023576 , 0.016631 , 0.004141 , 0.005666 , 0.013594 , 0.010551 , 0.018114 , 0.021368 , 0.017909 , 0.011939 , 0.011522 , 0.021712 , 0.010447 , 0.016698 , 0.02105 , 0.027644 
 345 , 0.008206 , 0.008207 , 0.009884 , 0.01056 , 0.013116 , 0.013105 , 0.026196 , 0.016167 , 0.021249 , 0.024065 , 0.016984 , 0.004218 , 0.005539 , 0.01393 , 0.010865 , 0.0185 , 0.021779 , 0.018483 , 0.012322 , 0.012044 , 0.022103 , 0.010745 , 0.016814 , 0.021268 , 0.027762 
 346 , 0.008999 , 0.009699 , 0.01068 , 0.011719 , 0.01396 , 0.013815 , 0.027227 , 0.017109 , 0.021901 , 0.024871 , 0.017414 , 0.005182 , 0.006543 , 0.01475 , 0.012046 , 0.019449 , 0.022635 , 0.018727 , 0.013199 , 0.012813 , 0.022976 , 0.011299 , 0.017879 , 0.021957 , 0.028569 
 347 , 0.009683 , 0.011015 , 0.011366 , 0.012719 , 0.014695 , 0.014428 , 0.028124 , 0.017917 , 0.022467 , 0.025558 , 0.017785 , 0.00602 , 0.007416 , 0.015471 , 0.013071 , 0.020265 , 0.023387 , 0.018949 , 0.01397 , 0.01348 , 0.023721 , 0.011787 , 0.018824 , 0.022561 , 0.029286 
 348 , 0.010278 , 0.012186 , 0.011961 , 0.013591 , 0.015341 , 0.014963 , 0.028913 , 0.018615 , 0.022963 , 0.026148 , 0.018107 , 0.006756 , 0.008181 , 0.01611 , 0.01397 , 0.020971 , 0.024051 , 0.019154 , 0.014653 , 0.014062 , 0.024359 , 0.012221 , 0.019669 , 0.023097 , 0.029925 
 349 , 0.010279 , 0.012611 , 0.012286 , 0.014035 , 0.015646 , 0.015047 , 0.029079 , 0.018774 , 0.023272 , 0.02627 , 0.018247 , 0.00697 , 0.008361 , 0.016325 , 0.014296 , 0.021321 , 0.024288 , 0.019314 , 0.01484 , 0.014273 , 0.024551 , 0.012501 , 0.020033 , 0.02343 , 0.030214 
