  time  ,15:08 AM,15:48 AM,16:08 AM,16:27 AM,16:50 AM,17:32 AM,17:50 AM,18:06 AM,18:20 AM,18:36 AM,19:53 AM,20:15 AM,20:32 AM,20:46 AM,21:03 AM,21:40 AM,22:06 AM,22:15 AM,22:29 AM,22:43 AM,24:50 AM,25:07 AM,25:19 AM,25:29 AM,25:41 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 0.022433 , 0.025022 , 0.031013 , 0.034784 , 0.017821 , 0.021884 , 0.021924 , 0.021393 , 0.015389 , 0.019337 , 0.030442 , 0.023511 , 0.024414 , 0.015752 , 0.021579 , 0.022072 , 0.017443 , 0.030522 , 0.024075 , 0.019016 , 0.020355 , 0.019027 , 0.021685 , 0.024487 , 0.018908 
 321 , 0.008545 , 0.012521 , 0.019931 , 0.021249 , 0.007297 , 0.011213 , 0.014117 , 0.011167 , 0.003404 , 0.007352 , 0.019645 , 0.015409 , 0.018228 , 0.005862 , 0.009825 , 0.01156 , 0.010254 , 0.023525 , 0.017247 , 0.013107 , 0.01448 , 0.01206 , 0.012531 , 0.017676 , 0.011074 
 322 , 0.012914 , 0.014056 , 0.02403 , 0.028303 , 0.009666 , 0.013747 , 0.01754 , 0.013747 , 0.00852 , 0.011188 , 0.020468 , 0.017018 , 0.020447 , 0.011226 , 0.013547 , 0.013782 , 0.012138 , 0.024597 , 0.019794 , 0.015664 , 0.015495 , 0.014031 , 0.014949 , 0.017586 , 0.01211 
 323 , 0.02126 , 0.019 , 0.031635 , 0.039611 , 0.014935 , 0.019285 , 0.023382 , 0.019285 , 0.017271 , 0.018591 , 0.024428 , 0.020999 , 0.024502 , 0.019688 , 0.020671 , 0.019052 , 0.01611 , 0.027642 , 0.024491 , 0.020123 , 0.0182 , 0.018107 , 0.020033 , 0.019271 , 0.015445 
 324 , 0.027522 , 0.0227 , 0.037672 , 0.048409 , 0.018903 , 0.02353 , 0.027945 , 0.02353 , 0.023991 , 0.024279 , 0.027716 , 0.024182 , 0.027643 , 0.026253 , 0.026066 , 0.023207 , 0.019169 , 0.030027 , 0.028259 , 0.023696 , 0.020343 , 0.021332 , 0.024053 , 0.020523 , 0.018179 
 325 , 0.029871 , 0.024773 , 0.040224 , 0.051995 , 0.020694 , 0.024875 , 0.029718 , 0.025965 , 0.027392 , 0.027337 , 0.028998 , 0.025426 , 0.027951 , 0.028988 , 0.028303 , 0.025033 , 0.020452 , 0.030592 , 0.030087 , 0.025259 , 0.020562 , 0.02227 , 0.025539 , 0.020892 , 0.01886 
 326 , 0.027399 , 0.025039 , 0.038256 , 0.048952 , 0.019872 , 0.022538 , 0.027884 , 0.026314 , 0.026798 , 0.027278 , 0.027555 , 0.024116 , 0.024515 , 0.026817 , 0.026707 , 0.023854 , 0.019507 , 0.028786 , 0.029416 , 0.024193 , 0.018123 , 0.020167 , 0.023687 , 0.020132 , 0.016708 
 327 , 0.025389 , 0.025255 , 0.036603 , 0.046442 , 0.019192 , 0.020639 , 0.026387 , 0.026546 , 0.026263 , 0.027167 , 0.026324 , 0.023024 , 0.021759 , 0.025059 , 0.025366 , 0.022889 , 0.018721 , 0.027269 , 0.028795 , 0.023288 , 0.016144 , 0.018458 , 0.022177 , 0.019525 , 0.014969 
 328 , 0.02372 , 0.025436 , 0.035204 , 0.044337 , 0.018625 , 0.019078 , 0.025145 , 0.026698 , 0.025783 , 0.027028 , 0.025269 , 0.022103 , 0.019513 , 0.023608 , 0.024229 , 0.022084 , 0.018057 , 0.025981 , 0.028227 , 0.022512 , 0.014508 , 0.017045 , 0.020924 , 0.019029 , 0.013539 
 329 , 0.019406 , 0.01978 , 0.030818 , 0.039083 , 0.014616 , 0.015539 , 0.020475 , 0.022051 , 0.020692 , 0.021134 , 0.022318 , 0.017916 , 0.01778 , 0.019671 , 0.021023 , 0.018626 , 0.015325 , 0.022563 , 0.023715 , 0.019594 , 0.012519 , 0.01414 , 0.016808 , 0.016732 , 0.01149 
 330 , 0.015572 , 0.014585 , 0.026711 , 0.034331 , 0.010923 , 0.012199 , 0.016161 , 0.017852 , 0.015994 , 0.015633 , 0.019608 , 0.013997 , 0.016235 , 0.01615 , 0.018052 , 0.01549 , 0.012849 , 0.019405 , 0.019534 , 0.016924 , 0.010777 , 0.011527 , 0.013085 , 0.014675 , 0.009672 
 331 , 0.012237 , 0.009983 , 0.022991 , 0.030138 , 0.007622 , 0.009119 , 0.012282 , 0.014195 , 0.011804 , 0.010682 , 0.017199 , 0.010435 , 0.014865 , 0.013061 , 0.015386 , 0.012726 , 0.010665 , 0.016579 , 0.015796 , 0.014558 , 0.009257 , 0.009224 , 0.009802 , 0.012877 , 0.008076 
 332 , 0.014292 , 0.011535 , 0.024436 , 0.031523 , 0.009034 , 0.010545 , 0.014374 , 0.015542 , 0.01323 , 0.012247 , 0.018468 , 0.011445 , 0.016828 , 0.014654 , 0.016859 , 0.013926 , 0.011622 , 0.017425 , 0.016162 , 0.015307 , 0.010352 , 0.010167 , 0.010206 , 0.013252 , 0.009098 
 333 , 0.019464 , 0.016712 , 0.028796 , 0.036118 , 0.013162 , 0.014659 , 0.019868 , 0.019824 , 0.01797 , 0.017597 , 0.021896 , 0.015118 , 0.020692 , 0.018973 , 0.020823 , 0.017449 , 0.014398 , 0.020495 , 0.018976 , 0.017901 , 0.012981 , 0.013062 , 0.012819 , 0.014901 , 0.011656 
 334 , 0.024037 , 0.021277 , 0.032401 , 0.040076 , 0.016731 , 0.018255 , 0.024572 , 0.023637 , 0.022138 , 0.022205 , 0.024911 , 0.018256 , 0.024073 , 0.02279 , 0.024375 , 0.02056 , 0.016829 , 0.023249 , 0.021425 , 0.020198 , 0.015343 , 0.01568 , 0.015145 , 0.016359 , 0.013935 
