  time  ,:46:36 A,:47:21 A,:47:42 A,:48:05 A,:48:23 A,:48:59 A,:49:19 A,:49:38 A,:50:01 A,:50:27 A,:52:51 A,:53:12 A,:53:30 A,:53:47 A,:54:07 A,:55:48 A,:56:06 A,:56:18 A,:56:32 A,:56:48 A,:02:00 P,:02:33 P,:03:00 P,:03:40 P,:03:56 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 321 , 0.04234 , 0.055133 , 0.050315 , 0.060881 , 0.0574 , 0.044333 , 0.047111 , 0.045911 , 0.04678 , 0.052732 , 0.061382 , 0.057656 , 0.056662 , 0.060363 , 0.06427 , 0.06264 , 0.064287 , 0.058341 , 0.045324 , 0.060823 , 0.065113 , 0.059958 , 0.059262 , 0.053975 , 0.056937 
 322 , 0.041523 , 0.053102 , 0.04745 , 0.058715 , 0.055201 , 0.042197 , 0.044515 , 0.044415 , 0.044501 , 0.051029 , 0.058196 , 0.055573 , 0.054278 , 0.057357 , 0.060457 , 0.060112 , 0.060809 , 0.054723 , 0.043048 , 0.05841 , 0.061672 , 0.056317 , 0.056502 , 0.052055 , 0.054887 
 323 , 0.042135 , 0.052709 , 0.045979 , 0.057728 , 0.054295 , 0.041464 , 0.043296 , 0.044072 , 0.043766 , 0.05121 , 0.056585 , 0.054972 , 0.053616 , 0.056129 , 0.058705 , 0.059378 , 0.058909 , 0.052327 , 0.042128 , 0.057677 , 0.05946 , 0.053939 , 0.055582 , 0.052023 , 0.054528 
 324 , 0.042571 , 0.052349 , 0.044779 , 0.056923 , 0.053507 , 0.040793 , 0.042301 , 0.043763 , 0.043146 , 0.051333 , 0.055202 , 0.054502 , 0.053121 , 0.055231 , 0.057273 , 0.058833 , 0.057427 , 0.050464 , 0.041335 , 0.05708 , 0.057712 , 0.052006 , 0.054835 , 0.052036 , 0.054255 
 325 , 0.041138 , 0.051072 , 0.0432 , 0.055042 , 0.051678 , 0.039295 , 0.040538 , 0.0421 , 0.041523 , 0.049948 , 0.053045 , 0.052247 , 0.05142 , 0.052909 , 0.054808 , 0.057075 , 0.055042 , 0.04841 , 0.039646 , 0.055298 , 0.055298 , 0.049774 , 0.053102 , 0.050287 , 0.052739 
 326 , 0.036776 , 0.048212 , 0.040775 , 0.051292 , 0.048076 , 0.036374 , 0.037378 , 0.038216 , 0.038205 , 0.046131 , 0.049405 , 0.047051 , 0.047668 , 0.048137 , 0.050446 , 0.053253 , 0.051005 , 0.045688 , 0.036389 , 0.051504 , 0.051504 , 0.046707 , 0.04963 , 0.045796 , 0.049151 
 327 , 0.03319 , 0.045954 , 0.038852 , 0.048266 , 0.045166 , 0.034009 , 0.034813 , 0.035044 , 0.03551 , 0.043035 , 0.046472 , 0.042801 , 0.04463 , 0.044248 , 0.046902 , 0.05017 , 0.047733 , 0.043527 , 0.033737 , 0.048443 , 0.048443 , 0.044253 , 0.046839 , 0.042146 , 0.046256 
 328 , 0.030173 , 0.044122 , 0.037292 , 0.045768 , 0.042761 , 0.032046 , 0.032682 , 0.032391 , 0.033269 , 0.040464 , 0.044054 , 0.039249 , 0.042113 , 0.04101 , 0.043954 , 0.047627 , 0.045021 , 0.041767 , 0.031529 , 0.045915 , 0.045917 , 0.042244 , 0.044542 , 0.039125 , 0.043865 
 329 , 0.02944 , 0.04227 , 0.035839 , 0.044651 , 0.041818 , 0.029907 , 0.031154 , 0.030954 , 0.031542 , 0.039178 , 0.041511 , 0.03816 , 0.040223 , 0.039938 , 0.041913 , 0.046168 , 0.043431 , 0.040171 , 0.030685 , 0.044249 , 0.044827 , 0.039864 , 0.042305 , 0.037868 , 0.041664 
 330 , 0.028894 , 0.040712 , 0.034626 , 0.043761 , 0.041087 , 0.028098 , 0.029883 , 0.029778 , 0.030096 , 0.038131 , 0.039364 , 0.037338 , 0.038645 , 0.039115 , 0.040213 , 0.044979 , 0.042112 , 0.03883 , 0.030023 , 0.042874 , 0.043969 , 0.037845 , 0.040419 , 0.036866 , 0.039809 
 331 , 0.028404 , 0.03934 , 0.03357 , 0.042986 , 0.040469 , 0.026535 , 0.028785 , 0.028754 , 0.028841 , 0.037202 , 0.037509 , 0.036648 , 0.037275 , 0.038416 , 0.038729 , 0.043958 , 0.040972 , 0.037652 , 0.029443 , 0.041684 , 0.043234 , 0.036101 , 0.038791 , 0.036034 , 0.0382 
 332 , 0.027978 , 0.038379 , 0.032859 , 0.0421 , 0.03981 , 0.026143 , 0.028045 , 0.027958 , 0.028267 , 0.036939 , 0.036464 , 0.035738 , 0.036432 , 0.038262 , 0.038056 , 0.043008 , 0.040171 , 0.036608 , 0.02848 , 0.040503 , 0.042103 , 0.035381 , 0.037825 , 0.035353 , 0.037436 
 333 , 0.027604 , 0.037684 , 0.032374 , 0.041189 , 0.039156 , 0.026442 , 0.027544 , 0.027325 , 0.028108 , 0.03707 , 0.035934 , 0.03475 , 0.035926 , 0.03843 , 0.037874 , 0.042145 , 0.0396 , 0.035678 , 0.027337 , 0.039383 , 0.040796 , 0.035285 , 0.037285 , 0.0348 , 0.037187 
 334 , 0.027276 , 0.037074 , 0.031924 , 0.04037 , 0.038569 , 0.026713 , 0.027102 , 0.026759 , 0.027964 , 0.037196 , 0.035463 , 0.033861 , 0.035461 , 0.038555 , 0.037714 , 0.041368 , 0.039086 , 0.03486 , 0.026334 , 0.038383 , 0.039639 , 0.035193 , 0.036798 , 0.034311 , 0.036955 
 335 , 0.026669 , 0.036247 , 0.031203 , 0.039472 , 0.037837 , 0.026541 , 0.026666 , 0.026145 , 0.027506 , 0.036848 , 0.034798 , 0.032967 , 0.034686 , 0.038154 , 0.037192 , 0.040425 , 0.038309 , 0.033902 , 0.025213 , 0.037373 , 0.038521 , 0.034718 , 0.03604 , 0.033689 , 0.036418 
 336 , 0.025007 , 0.034542 , 0.029397 , 0.038031 , 0.036422 , 0.024892 , 0.026089 , 0.025179 , 0.025907 , 0.034844 , 0.033305 , 0.031754 , 0.03274 , 0.035981 , 0.035358 , 0.038654 , 0.036464 , 0.032235 , 0.023394 , 0.035989 , 0.037185 , 0.032873 , 0.034176 , 0.032448 , 0.034764 
 337 , 0.023573 , 0.033061 , 0.027838 , 0.036791 , 0.035201 , 0.023471 , 0.025605 , 0.024348 , 0.024526 , 0.033112 , 0.032015 , 0.030712 , 0.031059 , 0.034104 , 0.033771 , 0.037125 , 0.034869 , 0.030793 , 0.021826 , 0.034801 , 0.036031 , 0.031279 , 0.032567 , 0.031375 , 0.033333 
 338 , 0.022323 , 0.031761 , 0.026476 , 0.035711 , 0.034136 , 0.022231 , 0.025194 , 0.023626 , 0.023321 , 0.031601 , 0.03089 , 0.029809 , 0.029592 , 0.032466 , 0.032384 , 0.035792 , 0.033476 , 0.029531 , 0.020462 , 0.033772 , 0.035025 , 0.029887 , 0.031162 , 0.030439 , 0.032082 
 339 , 0.022279 , 0.031398 , 0.026252 , 0.035665 , 0.033732 , 0.022115 , 0.025101 , 0.023541 , 0.023226 , 0.031054 , 0.030515 , 0.029472 , 0.02963 , 0.032112 , 0.03186 , 0.035532 , 0.033522 , 0.02928 , 0.020635 , 0.033463 , 0.034393 , 0.029382 , 0.031008 , 0.030075 , 0.031542 
 340 , 0.02243 , 0.031216 , 0.026235 , 0.035806 , 0.033481 , 0.022194 , 0.025071 , 0.023579 , 0.023329 , 0.030723 , 0.030306 , 0.029269 , 0.029931 , 0.032008 , 0.031529 , 0.035478 , 0.033813 , 0.029228 , 0.021057 , 0.033313 , 0.033888 , 0.029073 , 0.031084 , 0.029841 , 0.031174 
 341 , 0.022553 , 0.031051 , 0.026211 , 0.035941 , 0.033259 , 0.022258 , 0.025035 , 0.02362 , 0.023424 , 0.030432 , 0.030127 , 0.02909 , 0.030228 , 0.031921 , 0.031233 , 0.035426 , 0.034084 , 0.029198 , 0.021445 , 0.03318 , 0.03344 , 0.028789 , 0.031155 , 0.029631 , 0.030847 
