MAT_00009.ref_MAT_DARK.spu,MAT_00008.ref_MAT_DARK.spu,MAT_00007.ref_MAT_DARK.spu,MAT_00006.ref_MAT_DARK.spu,MAT_00005.ref_MAT_DARK.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00040_B4_CT2.spu,MAT_00041_B4_CT2.spu,MAT_00042_B4_CT2.spu,MAT_00043_B4_CT2.spu,MAT_00044_B4_CT2.spu,MAT_00045_B4_CT1.spu,MAT_00046_B4_CT1.spu,MAT_00047_B4_CT1.spu,MAT_00048_B4_CT1.spu,MAT_00049_B4_CT1.spu,MAT_00050_B4_N.spu,MAT_00051_B4_N.spu,MAT_00052_B4_N.spu,MAT_00053_B4_N.spu,MAT_00054_B4_N.spu,MAT_00055_B4_P.spu,MAT_00056_B4_P.spu,MAT_00057_B4_P.spu,MAT_00058_B4_P.spu,MAT_00059_B4_P.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00095_B1_NP.spu,MAT_00096_B1_NP.spu,MAT_00097_B1_NP.spu,MAT_00098_B1_NP.spu,MAT_00099_B1_NP.spu,MAT_00100_B1_N.spu,MAT_00101_B1_N.spu,MAT_00102_B1_N.spu,MAT_00103_B1_N.spu,MAT_00104_B1_N.spu,MAT_00105_B1_P.spu,MAT_00106_B1_P.spu,MAT_00107_B1_P.spu,MAT_00108_B1_P.spu,MAT_00109_B1_P.spu,MAT_00110_B1_CT1.spu,MAT_00111_B1_CT1.spu,MAT_00112_B1_CT1.spu,MAT_00113_B1_CT1.spu,MAT_00114_B1_CT1.spu
 661 , 0.045029 , 0.056984 , 0.062586 , 0.07299 , 0.038539 , 0.041578 , 0.072452 , 0.080242 , 0.046205 , 0.078592 , 0.106427 , 0.090834 , 0.050744 , 0.055533 , 0.056909 , 0.046242 , 0.064861 , 0.063874 , 0.043354 , 0.057084 , 0.053245 , 0.040027 , 0.065612 , 0.077454 , 0.071814 , 0.044454 , 0.038727 , 0.051644 , 0.070876 , 0.073202 , 0.065612 , 0.052745 , 0.047155 , 0.059922 , 0.081443 , 0.069476 , 0.055571 , 0.056646 , 0.066575 , 0.066337 , 0.065449 , 0.052932 , 0.085157 , 0.062573 , 0.065637 , 0.032362 , 0.036363 , 0.02786 , 0.031724 , 0.04184 , 0.041991 , 0.045217 , 0.04189 , 0.058959 , 0.047943 , 0.068738 , 0.058272 , 0.072714 , 0.068475 , 0.093647 , 0.062811 , 0.06116 , 0.08138 , 0.083468 , 0.046967 , 0.027623 , 0.04029 , 0.050069 , 0.037689 , 0.051794 , 0.08792 , 0.075866 , 0.060722 , 0.042416 , 0.08767 , 0.070826 , 0.105289 , 0.086895 , 0.062986 , 0.091621 , 0.07374 , 0.048868 , 0.059309 , 0.056583 , 0.029673 , 0.037789 , 0.025209 , 0.036438 , 0.034138 , 0.031612 , 0.072927 , 0.099424 , 0.106452 , 0.074002 , 0.097486 , 0.089871 , 0.059322 , 0.075153 , 0.063549 , 0.055358 
 662 , 0.044656 , 0.056744 , 0.062314 , 0.072704 , 0.03835 , 0.041297 , 0.072167 , 0.079897 , 0.046017 , 0.078373 , 0.106371 , 0.090586 , 0.050625 , 0.055258 , 0.056582 , 0.045955 , 0.064637 , 0.063513 , 0.042958 , 0.056832 , 0.053235 , 0.040011 , 0.065299 , 0.077499 , 0.071655 , 0.044207 , 0.038375 , 0.051187 , 0.070568 , 0.073028 , 0.065511 , 0.052723 , 0.046917 , 0.059667 , 0.081121 , 0.069282 , 0.055421 , 0.056382 , 0.06631 , 0.06606 , 0.065174 , 0.052686 , 0.084929 , 0.062376 , 0.065286 , 0.032119 , 0.036065 , 0.027798 , 0.031731 , 0.041647 , 0.041672 , 0.045031 , 0.041722 , 0.05873 , 0.047703 , 0.068533 , 0.057793 , 0.072479 , 0.068046 , 0.093221 , 0.062539 , 0.06084 , 0.08117 , 0.083343 , 0.046667 , 0.027461 , 0.039973 , 0.049876 , 0.037538 , 0.051574 , 0.087639 , 0.075626 , 0.060553 , 0.042196 , 0.087489 , 0.070556 , 0.105247 , 0.086728 , 0.062576 , 0.091548 , 0.073678 , 0.048552 , 0.059242 , 0.056545 , 0.029359 , 0.037476 , 0.02515 , 0.036215 , 0.033892 , 0.031369 , 0.072766 , 0.09929 , 0.106221 , 0.073765 , 0.097142 , 0.089824 , 0.058942 , 0.074727 , 0.063088 , 0.055046 
 663 , 0.044297 , 0.056506 , 0.062056 , 0.072432 , 0.038161 , 0.041017 , 0.071883 , 0.079553 , 0.045831 , 0.078156 , 0.106316 , 0.09034 , 0.05052 , 0.054985 , 0.056257 , 0.045682 , 0.064413 , 0.063141 , 0.042576 , 0.056594 , 0.053214 , 0.039995 , 0.064987 , 0.077545 , 0.071497 , 0.043948 , 0.038037 , 0.050745 , 0.070274 , 0.072868 , 0.065411 , 0.052715 , 0.046667 , 0.0594 , 0.0808 , 0.06909 , 0.055272 , 0.056132 , 0.066034 , 0.065785 , 0.064912 , 0.052453 , 0.084703 , 0.062168 , 0.064937 , 0.031889 , 0.035755 , 0.027723 , 0.031726 , 0.041466 , 0.041354 , 0.044833 , 0.041554 , 0.058502 , 0.047452 , 0.068317 , 0.057317 , 0.072232 , 0.067631 , 0.092797 , 0.062268 , 0.06051 , 0.080975 , 0.083207 , 0.046367 , 0.027287 , 0.03967 , 0.049672 , 0.037401 , 0.051368 , 0.08736 , 0.075388 , 0.060397 , 0.041978 , 0.08731 , 0.070299 , 0.105193 , 0.086549 , 0.062181 , 0.091463 , 0.073617 , 0.048251 , 0.059175 , 0.056506 , 0.029045 , 0.037176 , 0.025092 , 0.035979 , 0.033647 , 0.031128 , 0.072619 , 0.099145 , 0.105992 , 0.073529 , 0.0968 , 0.089792 , 0.058564 , 0.074303 , 0.06263 , 0.054723 
 664 , 0.043976 , 0.056278 , 0.061813 , 0.072171 , 0.037993 , 0.04076 , 0.071635 , 0.079251 , 0.045646 , 0.077942 , 0.106275 , 0.090108 , 0.05042 , 0.05472 , 0.055954 , 0.045422 , 0.064218 , 0.062797 , 0.042231 , 0.056366 , 0.053212 , 0.039987 , 0.064692 , 0.077568 , 0.071348 , 0.043701 , 0.037706 , 0.050295 , 0.06999 , 0.072694 , 0.065315 , 0.052676 , 0.046431 , 0.059145 , 0.080497 , 0.068918 , 0.055119 , 0.055892 , 0.065789 , 0.065527 , 0.064655 , 0.052227 , 0.084474 , 0.062012 , 0.064605 , 0.031648 , 0.035487 , 0.027659 , 0.03171 , 0.041283 , 0.041071 , 0.044636 , 0.041358 , 0.05826 , 0.047229 , 0.068095 , 0.056902 , 0.071984 , 0.067197 , 0.092376 , 0.062025 , 0.060192 , 0.080772 , 0.083078 , 0.046082 , 0.027086 , 0.039389 , 0.049485 , 0.037257 , 0.05118 , 0.087129 , 0.075162 , 0.06018 , 0.041769 , 0.087166 , 0.070052 , 0.105165 , 0.086381 , 0.061813 , 0.091429 , 0.073555 , 0.047964 , 0.059108 , 0.056465 , 0.028756 , 0.036883 , 0.024992 , 0.035749 , 0.033393 , 0.030888 , 0.072458 , 0.099008 , 0.105776 , 0.07328 , 0.09649 , 0.089746 , 0.058198 , 0.073879 , 0.062187 , 0.054421 
 665 , 0.043721 , 0.056087 , 0.061623 , 0.071945 , 0.037836 , 0.040529 , 0.071434 , 0.079026 , 0.045466 , 0.07773 , 0.106291 , 0.089897 , 0.05034 , 0.054479 , 0.055689 , 0.045229 , 0.064091 , 0.06247 , 0.041963 , 0.056162 , 0.053208 , 0.040005 , 0.064465 , 0.077555 , 0.071247 , 0.043421 , 0.037387 , 0.049867 , 0.069726 , 0.072556 , 0.065226 , 0.052609 , 0.046176 , 0.058905 , 0.080223 , 0.068754 , 0.054965 , 0.055701 , 0.06555 , 0.065325 , 0.064428 , 0.052023 , 0.084262 , 0.061922 , 0.064303 , 0.031403 , 0.035281 , 0.027576 , 0.031665 , 0.041115 , 0.040878 , 0.044444 , 0.041127 , 0.057982 , 0.047074 , 0.067819 , 0.056648 , 0.071646 , 0.066771 , 0.091979 , 0.061822 , 0.05989 , 0.080572 , 0.082953 , 0.045852 , 0.026791 , 0.03917 , 0.049268 , 0.037113 , 0.051063 , 0.087017 , 0.075012 , 0.059827 , 0.041589 , 0.087067 , 0.069826 , 0.105156 , 0.086207 , 0.061498 , 0.091455 , 0.073478 , 0.047735 , 0.05903 , 0.056437 , 0.028524 , 0.036602 , 0.024809 , 0.035505 , 0.033111 , 0.030631 , 0.072257 , 0.098848 , 0.105617 , 0.073005 , 0.096243 , 0.08971 , 0.057833 , 0.073454 , 0.061772 , 0.054143 
 666 , 0.043473 , 0.055886 , 0.06142 , 0.071727 , 0.03769 , 0.040294 , 0.071254 , 0.078794 , 0.04528 , 0.077523 , 0.106289 , 0.089687 , 0.050253 , 0.054229 , 0.055425 , 0.045031 , 0.063963 , 0.06213 , 0.04169 , 0.055973 , 0.053207 , 0.04002 , 0.064224 , 0.077535 , 0.071129 , 0.043136 , 0.037054 , 0.04943 , 0.069471 , 0.072413 , 0.065134 , 0.052534 , 0.04594 , 0.058678 , 0.079953 , 0.068587 , 0.054814 , 0.0555 , 0.065321 , 0.065122 , 0.064199 , 0.051811 , 0.084054 , 0.061844 , 0.064012 , 0.031159 , 0.035072 , 0.027494 , 0.031632 , 0.040943 , 0.040681 , 0.044258 , 0.040893 , 0.057693 , 0.046913 , 0.06754 , 0.056397 , 0.071316 , 0.066331 , 0.091582 , 0.061619 , 0.059588 , 0.080365 , 0.08282 , 0.045629 , 0.026497 , 0.038948 , 0.049056 , 0.036967 , 0.050951 , 0.086895 , 0.074868 , 0.059476 , 0.041416 , 0.08697 , 0.069609 , 0.105142 , 0.086035 , 0.061183 , 0.091494 , 0.07341 , 0.047511 , 0.058965 , 0.05641 , 0.028292 , 0.036331 , 0.024628 , 0.035272 , 0.032829 , 0.030361 , 0.072051 , 0.098686 , 0.105441 , 0.072737 , 0.096006 , 0.089675 , 0.057457 , 0.073024 , 0.061358 , 0.053867 
 667 , 0.043225 , 0.055698 , 0.06123 , 0.07151 , 0.037531 , 0.04006 , 0.071061 , 0.078575 , 0.045094 , 0.077316 , 0.106299 , 0.089478 , 0.050178 , 0.053991 , 0.055162 , 0.044832 , 0.063847 , 0.061816 , 0.041431 , 0.055785 , 0.053206 , 0.040035 , 0.063996 , 0.077528 , 0.071024 , 0.042864 , 0.036733 , 0.049007 , 0.069217 , 0.07227 , 0.065043 , 0.052458 , 0.045692 , 0.058439 , 0.079684 , 0.06842 , 0.054664 , 0.055299 , 0.065093 , 0.064918 , 0.063971 , 0.051598 , 0.083833 , 0.061753 , 0.063722 , 0.030927 , 0.034864 , 0.027425 , 0.031587 , 0.04077 , 0.040471 , 0.04406 , 0.040658 , 0.057417 , 0.046764 , 0.067261 , 0.056146 , 0.070987 , 0.06589 , 0.091172 , 0.06143 , 0.059286 , 0.080157 , 0.082687 , 0.045405 , 0.026204 , 0.038727 , 0.048845 , 0.03682 , 0.050826 , 0.086786 , 0.074712 , 0.059124 , 0.041244 , 0.086886 , 0.069379 , 0.105128 , 0.085864 , 0.060881 , 0.091521 , 0.073342 , 0.047287 , 0.058888 , 0.056383 , 0.028061 , 0.036048 , 0.024447 , 0.035026 , 0.032546 , 0.030104 , 0.071846 , 0.098536 , 0.105277 , 0.072469 , 0.09577 , 0.089627 , 0.057081 , 0.072606 , 0.060944 , 0.053579 
 668 , 0.043122 , 0.055655 , 0.061192 , 0.07143 , 0.037498 , 0.039967 , 0.070968 , 0.078488 , 0.045005 , 0.077241 , 0.106397 , 0.089424 , 0.050168 , 0.053884 , 0.055031 , 0.044756 , 0.063798 , 0.061666 , 0.041277 , 0.055705 , 0.053248 , 0.040067 , 0.063935 , 0.077652 , 0.071018 , 0.042748 , 0.036588 , 0.048784 , 0.069123 , 0.072315 , 0.065045 , 0.052463 , 0.045566 , 0.058311 , 0.07956 , 0.068375 , 0.05467 , 0.055206 , 0.065045 , 0.064821 , 0.063898 , 0.051577 , 0.083788 , 0.061728 , 0.063586 , 0.030851 , 0.034767 , 0.027447 , 0.03165 , 0.040691 , 0.040304 , 0.044033 , 0.040603 , 0.057351 , 0.046776 , 0.067177 , 0.055967 , 0.071006 , 0.065693 , 0.090971 , 0.061329 , 0.059172 , 0.080009 , 0.08269 , 0.045317 , 0.026138 , 0.038583 , 0.048784 , 0.036787 , 0.050791 , 0.086743 , 0.074697 , 0.059221 , 0.041164 , 0.086881 , 0.069272 , 0.105187 , 0.085845 , 0.060705 , 0.091632 , 0.073363 , 0.0472 , 0.05891 , 0.056503 , 0.027933 , 0.035964 , 0.024404 , 0.034992 , 0.032423 , 0.029979 , 0.071916 , 0.098515 , 0.105237 , 0.072427 , 0.09566 , 0.089724 , 0.056927 , 0.07234 , 0.06073 , 0.053473 
 669 , 0.043025 , 0.055616 , 0.061156 , 0.071351 , 0.03746 , 0.039868 , 0.070876 , 0.078413 , 0.044922 , 0.077178 , 0.106489 , 0.089369 , 0.050175 , 0.053781 , 0.054904 , 0.044685 , 0.063764 , 0.061518 , 0.041128 , 0.055653 , 0.053295 , 0.040093 , 0.063876 , 0.077789 , 0.071026 , 0.042626 , 0.036449 , 0.048565 , 0.06903 , 0.072361 , 0.065062 , 0.052471 , 0.045433 , 0.058199 , 0.079437 , 0.068331 , 0.05468 , 0.055129 , 0.064999 , 0.064737 , 0.063814 , 0.051548 , 0.083742 , 0.061705 , 0.063452 , 0.030796 , 0.034665 , 0.027477 , 0.03172 , 0.040617 , 0.040143 , 0.044011 , 0.040554 , 0.057288 , 0.046781 , 0.067096 , 0.055803 , 0.071039 , 0.065498 , 0.090792 , 0.061243 , 0.059072 , 0.079861 , 0.082693 , 0.045234 , 0.026067 , 0.038433 , 0.048715 , 0.036773 , 0.050749 , 0.086711 , 0.07467 , 0.059334 , 0.041103 , 0.086874 , 0.069154 , 0.105242 , 0.085825 , 0.060545 , 0.09174 , 0.073385 , 0.04713 , 0.058935 , 0.056614 , 0.027814 , 0.035887 , 0.024345 , 0.034964 , 0.032294 , 0.029848 , 0.071975 , 0.098503 , 0.105204 , 0.072399 , 0.095558 , 0.089831 , 0.056776 , 0.072087 , 0.060532 , 0.05337 
 670 , 0.042915 , 0.055576 , 0.061132 , 0.071271 , 0.037421 , 0.039768 , 0.070797 , 0.078338 , 0.044838 , 0.077115 , 0.106582 , 0.089314 , 0.050169 , 0.053678 , 0.054777 , 0.044626 , 0.063717 , 0.061382 , 0.04098 , 0.055588 , 0.053341 , 0.040131 , 0.063817 , 0.077926 , 0.071034 , 0.042515 , 0.03631 , 0.048346 , 0.068949 , 0.072407 , 0.065065 , 0.052479 , 0.0453 , 0.058073 , 0.079312 , 0.068287 , 0.054677 , 0.055052 , 0.064953 , 0.064641 , 0.063742 , 0.05153 , 0.083682 , 0.061669 , 0.06333 , 0.030728 , 0.034549 , 0.027507 , 0.03179 , 0.040555 , 0.039981 , 0.044001 , 0.040505 , 0.057237 , 0.046786 , 0.067026 , 0.055638 , 0.071059 , 0.065303 , 0.0906 , 0.061145 , 0.05896 , 0.079712 , 0.082696 , 0.04515 , 0.025996 , 0.038295 , 0.048659 , 0.036759 , 0.050719 , 0.086667 , 0.074642 , 0.059447 , 0.04103 , 0.086866 , 0.069036 , 0.105296 , 0.085805 , 0.060383 , 0.091836 , 0.073406 , 0.047048 , 0.058972 , 0.056737 , 0.027694 , 0.03581 , 0.024298 , 0.034936 , 0.032177 , 0.02973 , 0.072033 , 0.098491 , 0.105171 , 0.072357 , 0.095444 , 0.089938 , 0.056637 , 0.07182 , 0.060321 , 0.053266 
 671 , 0.04287 , 0.055606 , 0.06118 , 0.071292 , 0.037446 , 0.039758 , 0.070779 , 0.078353 , 0.044845 , 0.077141 , 0.106763 , 0.089352 , 0.050219 , 0.053694 , 0.054744 , 0.044645 , 0.063793 , 0.061343 , 0.04092 , 0.055619 , 0.053419 , 0.040208 , 0.06388 , 0.078154 , 0.071129 , 0.042508 , 0.036283 , 0.048269 , 0.06898 , 0.072542 , 0.065168 , 0.052594 , 0.045282 , 0.058131 , 0.079341 , 0.068367 , 0.054756 , 0.055081 , 0.065018 , 0.064705 , 0.063755 , 0.051557 , 0.08374 , 0.06173 , 0.063318 , 0.030746 , 0.034546 , 0.027547 , 0.031896 , 0.04062 , 0.03992 , 0.04407 , 0.040533 , 0.057281 , 0.04682 , 0.06703 , 0.055619 , 0.071217 , 0.065267 , 0.090602 , 0.061155 , 0.058956 , 0.079741 , 0.082778 , 0.045182 , 0.02606 , 0.038283 , 0.048657 , 0.036833 , 0.050732 , 0.086778 , 0.074754 , 0.059543 , 0.041058 , 0.086977 , 0.069067 , 0.105475 , 0.08589 , 0.060318 , 0.092039 , 0.073529 , 0.047082 , 0.059068 , 0.056868 , 0.027672 , 0.035796 , 0.02436 , 0.034958 , 0.032146 , 0.029709 , 0.072117 , 0.098564 , 0.105213 , 0.072429 , 0.095477 , 0.090102 , 0.056568 , 0.071717 , 0.060206 , 0.053269 
 672 , 0.042854 , 0.055666 , 0.061271 , 0.071356 , 0.037511 , 0.039813 , 0.07083 , 0.078438 , 0.044893 , 0.077236 , 0.107002 , 0.089448 , 0.050273 , 0.053789 , 0.054765 , 0.04473 , 0.063936 , 0.061359 , 0.040927 , 0.055703 , 0.053514 , 0.040326 , 0.063999 , 0.078425 , 0.071293 , 0.042566 , 0.036297 , 0.048271 , 0.069079 , 0.072745 , 0.065338 , 0.052788 , 0.045318 , 0.058268 , 0.079451 , 0.068516 , 0.054865 , 0.055165 , 0.065137 , 0.06485 , 0.063824 , 0.051612 , 0.08383 , 0.061847 , 0.063373 , 0.030804 , 0.034608 , 0.027576 , 0.032018 , 0.040777 , 0.039938 , 0.044192 , 0.040614 , 0.05738 , 0.04687 , 0.067089 , 0.055678 , 0.071418 , 0.065325 , 0.090724 , 0.061221 , 0.059019 , 0.079889 , 0.082917 , 0.045293 , 0.0262 , 0.038349 , 0.048684 , 0.03696 , 0.050761 , 0.086946 , 0.074934 , 0.059632 , 0.041139 , 0.087158 , 0.069166 , 0.105726 , 0.086057 , 0.06032 , 0.092301 , 0.073696 , 0.04717 , 0.059194 , 0.057017 , 0.027714 , 0.035834 , 0.024486 , 0.035009 , 0.032156 , 0.029753 , 0.072219 , 0.098657 , 0.105313 , 0.072544 , 0.095604 , 0.090299 , 0.056554 , 0.071706 , 0.06017 , 0.053326 
 673 , 0.042824 , 0.055738 , 0.061362 , 0.071419 , 0.037589 , 0.039856 , 0.070868 , 0.078521 , 0.044953 , 0.077331 , 0.107229 , 0.089544 , 0.050339 , 0.053871 , 0.054786 , 0.044816 , 0.06408 , 0.061374 , 0.040933 , 0.0558 , 0.053608 , 0.040444 , 0.06413 , 0.078697 , 0.071444 , 0.042611 , 0.036323 , 0.048273 , 0.069177 , 0.072948 , 0.065507 , 0.05297 , 0.045367 , 0.058406 , 0.079561 , 0.068664 , 0.054974 , 0.055249 , 0.06527 , 0.065006 , 0.063904 , 0.051667 , 0.083932 , 0.061963 , 0.063428 , 0.030862 , 0.034658 , 0.027618 , 0.03214 , 0.040933 , 0.039956 , 0.044327 , 0.040682 , 0.057491 , 0.046907 , 0.067148 , 0.055738 , 0.071632 , 0.06537 , 0.090834 , 0.061274 , 0.059082 , 0.080037 , 0.083068 , 0.045392 , 0.026341 , 0.038428 , 0.048724 , 0.037088 , 0.050803 , 0.087114 , 0.075127 , 0.059708 , 0.041221 , 0.087327 , 0.069265 , 0.105977 , 0.086212 , 0.060322 , 0.092562 , 0.073874 , 0.047271 , 0.059332 , 0.057166 , 0.027756 , 0.035873 , 0.0246 , 0.035071 , 0.032165 , 0.029798 , 0.072321 , 0.098762 , 0.105401 , 0.072659 , 0.095731 , 0.090483 , 0.056527 , 0.071682 , 0.060122 , 0.053383 
 674 , 0.04286 , 0.055842 , 0.061499 , 0.071533 , 0.037679 , 0.039925 , 0.070944 , 0.078657 , 0.04503 , 0.077466 , 0.107494 , 0.089695 , 0.050436 , 0.053973 , 0.054863 , 0.044929 , 0.064258 , 0.061448 , 0.040991 , 0.055917 , 0.053722 , 0.040577 , 0.064308 , 0.078946 , 0.071633 , 0.042697 , 0.0364 , 0.048341 , 0.069313 , 0.073164 , 0.065701 , 0.053157 , 0.045443 , 0.058576 , 0.079711 , 0.068836 , 0.055089 , 0.055378 , 0.065425 , 0.065174 , 0.06402 , 0.051765 , 0.084089 , 0.062113 , 0.063543 , 0.030944 , 0.034744 , 0.02767 , 0.032261 , 0.041091 , 0.040012 , 0.04444 , 0.040815 , 0.057635 , 0.046986 , 0.067268 , 0.055854 , 0.071847 , 0.065462 , 0.090975 , 0.061386 , 0.059191 , 0.080225 , 0.083236 , 0.045531 , 0.026428 , 0.03852 , 0.048805 , 0.037203 , 0.0509 , 0.087325 , 0.075346 , 0.059805 , 0.041329 , 0.087538 , 0.069426 , 0.106265 , 0.086409 , 0.060382 , 0.092856 , 0.074042 , 0.047413 , 0.059504 , 0.057334 , 0.027833 , 0.035961 , 0.024722 , 0.035146 , 0.032198 , 0.029865 , 0.072474 , 0.098915 , 0.10555 , 0.072825 , 0.095904 , 0.090699 , 0.056557 , 0.071734 , 0.060144 , 0.053496 
 675 , 0.043037 , 0.056018 , 0.061747 , 0.071787 , 0.037797 , 0.040059 , 0.071084 , 0.078912 , 0.045161 , 0.077731 , 0.107826 , 0.089982 , 0.050602 , 0.05412 , 0.055063 , 0.045123 , 0.064512 , 0.061672 , 0.041165 , 0.056131 , 0.053881 , 0.04075 , 0.064638 , 0.079138 , 0.071863 , 0.042861 , 0.036579 , 0.048528 , 0.069538 , 0.073396 , 0.065957 , 0.053341 , 0.045576 , 0.05882 , 0.079955 , 0.069086 , 0.055264 , 0.055578 , 0.065668 , 0.065379 , 0.064248 , 0.051959 , 0.084378 , 0.062325 , 0.063796 , 0.031087 , 0.034907 , 0.027783 , 0.032356 , 0.041253 , 0.040147 , 0.044533 , 0.041052 , 0.057877 , 0.047146 , 0.067528 , 0.056131 , 0.072076 , 0.065655 , 0.091176 , 0.061572 , 0.059398 , 0.080508 , 0.083448 , 0.045714 , 0.026413 , 0.038702 , 0.049031 , 0.037345 , 0.051142 , 0.087658 , 0.075645 , 0.059938 , 0.041492 , 0.087834 , 0.069689 , 0.106632 , 0.08669 , 0.060579 , 0.093212 , 0.074238 , 0.047674 , 0.0598 , 0.057538 , 0.028009 , 0.036126 , 0.024817 , 0.035297 , 0.032294 , 0.029994 , 0.07278 , 0.099168 , 0.105815 , 0.073082 , 0.09619 , 0.090963 , 0.056684 , 0.071926 , 0.060353 , 0.053705 
 676 , 0.043221 , 0.056185 , 0.061987 , 0.072044 , 0.037935 , 0.040175 , 0.071238 , 0.07918 , 0.045298 , 0.077997 , 0.108154 , 0.090281 , 0.050786 , 0.054272 , 0.055266 , 0.045323 , 0.064769 , 0.061899 , 0.041346 , 0.056323 , 0.054033 , 0.04093 , 0.064958 , 0.079319 , 0.072107 , 0.04302 , 0.036764 , 0.048721 , 0.069753 , 0.073642 , 0.066204 , 0.053529 , 0.045713 , 0.059055 , 0.080187 , 0.069325 , 0.05543 , 0.05577 , 0.065914 , 0.065587 , 0.064467 , 0.052145 , 0.084655 , 0.062554 , 0.064039 , 0.031226 , 0.035065 , 0.027891 , 0.03246 , 0.041421 , 0.040289 , 0.044606 , 0.041295 , 0.058111 , 0.047299 , 0.067777 , 0.056412 , 0.072308 , 0.065851 , 0.091389 , 0.061773 , 0.059621 , 0.080791 , 0.083673 , 0.045902 , 0.026381 , 0.038892 , 0.04925 , 0.037482 , 0.05139 , 0.08799 , 0.075933 , 0.060074 , 0.041673 , 0.088129 , 0.069954 , 0.106996 , 0.086958 , 0.060766 , 0.093591 , 0.074422 , 0.047941 , 0.060074 , 0.057733 , 0.028181 , 0.036299 , 0.024921 , 0.03543 , 0.032384 , 0.030106 , 0.073076 , 0.099419 , 0.106077 , 0.073327 , 0.096486 , 0.091225 , 0.056827 , 0.072119 , 0.060552 , 0.053919 
 677 , 0.043405 , 0.056365 , 0.06224 , 0.072288 , 0.03806 , 0.040304 , 0.071393 , 0.079436 , 0.045435 , 0.078263 , 0.108495 , 0.09058 , 0.050957 , 0.054424 , 0.05547 , 0.045511 , 0.065026 , 0.062114 , 0.041514 , 0.056529 , 0.054184 , 0.041124 , 0.065291 , 0.079512 , 0.072338 , 0.043179 , 0.036951 , 0.048902 , 0.069981 , 0.073876 , 0.066451 , 0.053705 , 0.045851 , 0.05929 , 0.080407 , 0.069577 , 0.055596 , 0.055975 , 0.066161 , 0.065795 , 0.064698 , 0.052344 , 0.084945 , 0.06277 , 0.064295 , 0.031366 , 0.035211 , 0.028 , 0.032551 , 0.041577 , 0.04043 , 0.044691 , 0.04154 , 0.058357 , 0.047465 , 0.068039 , 0.056693 , 0.07254 , 0.066035 , 0.091589 , 0.061975 , 0.059832 , 0.081075 , 0.083899 , 0.046078 , 0.026361 , 0.039069 , 0.049482 , 0.037619 , 0.051625 , 0.088336 , 0.076234 , 0.06021 , 0.041842 , 0.088425 , 0.07022 , 0.10736 , 0.087227 , 0.060954 , 0.093959 , 0.07462 , 0.048196 , 0.060362 , 0.057941 , 0.028365 , 0.036472 , 0.025025 , 0.035577 , 0.032488 , 0.030231 , 0.073372 , 0.099683 , 0.106326 , 0.073574 , 0.09677 , 0.091501 , 0.056958 , 0.0723 , 0.060753 , 0.054121 
