spu_filename,DateTime,Site,FileNum,Date,Integration_ms,Temp,Remarks,Type
2019-06-02_MAT_00015.spu,2019-06-02T19:27:05Z,MAT,15,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00016.spu,2019-06-02T19:27:42Z,MAT,16,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00017.spu,2019-06-02T19:27:53Z,MAT,17,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00018.spu,2019-06-02T19:28:03Z,MAT,18,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00019.spu,2019-06-02T19:28:14Z,MAT,19,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00020.spu,2019-06-02T19:28:27Z,MAT,20,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00021.spu,2019-06-02T19:29:07Z,MAT,21,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00022.spu,2019-06-02T19:29:18Z,MAT,22,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00023.spu,2019-06-02T19:29:28Z,MAT,23,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00024.spu,2019-06-02T19:29:37Z,MAT,24,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00025.spu,2019-06-02T19:29:47Z,MAT,25,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00026.spu,2019-06-02T19:30:20Z,MAT,26,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00027.spu,2019-06-02T19:30:31Z,MAT,27,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00028.spu,2019-06-02T19:30:41Z,MAT,28,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00029.spu,2019-06-02T19:30:57Z,MAT,29,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00030.spu,2019-06-02T19:31:09Z,MAT,30,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00031.spu,2019-06-02T19:32:36Z,MAT,31,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00032.spu,2019-06-02T19:32:48Z,MAT,32,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00033.spu,2019-06-02T19:33:01Z,MAT,33,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00034.spu,2019-06-02T19:33:14Z,MAT,34,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00035.spu,2019-06-02T19:33:27Z,MAT,35,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00036.spu,2019-06-02T19:34:03Z,MAT,36,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00037.spu,2019-06-02T19:34:12Z,MAT,37,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00038.spu,2019-06-02T19:34:22Z,MAT,38,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00039.spu,2019-06-02T19:34:32Z,MAT,39,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00040.spu,2019-06-02T19:34:42Z,MAT,40,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00041.spu,2019-06-02T19:35:17Z,MAT,41,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00042.spu,2019-06-02T19:35:32Z,MAT,42,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00043.spu,2019-06-02T19:35:43Z,MAT,43,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00044.spu,2019-06-02T19:35:56Z,MAT,44,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00045.spu,2019-06-02T19:36:05Z,MAT,45,2019-06-02,50,22.936,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00046.spu,2019-06-02T19:36:38Z,MAT,46,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00047.spu,2019-06-02T19:36:52Z,MAT,47,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00048.spu,2019-06-02T19:37:02Z,MAT,48,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00049.spu,2019-06-02T19:37:13Z,MAT,49,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00050.spu,2019-06-02T19:37:25Z,MAT,50,2019-06-02,50,24.156,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00051.spu,2019-06-02T19:38:39Z,MAT,51,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00052.spu,2019-06-02T19:38:52Z,MAT,52,2019-06-02,50,23.912,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00053.spu,2019-06-02T19:39:02Z,MAT,53,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00054.spu,2019-06-02T19:39:30Z,MAT,54,2019-06-02,50,22.692,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00055.spu,2019-06-02T19:39:41Z,MAT,55,2019-06-02,50,23.424,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00056.spu,2019-06-02T19:41:03Z,MAT,56,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00057.spu,2019-06-02T19:41:12Z,MAT,57,2019-06-02,50,23.18,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
2019-06-02_MAT_00058.spu,2019-06-02T19:41:23Z,MAT,58,2019-06-02,50,22.448,"""Remarks:    SW=UnispecDCcf Version=1.5 Comment=Datascan Dark=\Storage Card\2018\2019-06-02\MAT_00000.spu""",NA
