  time  ,27:02 PM,27:17 PM,27:27 PM,27:46 PM,28:00 PM,28:46 PM,29:15 PM,29:26 PM,29:37 PM,29:49 PM,30:53 PM,31:06 PM,31:19 PM,31:33 PM,31:48 PM,32:14 PM,32:26 PM,32:37 PM,32:53 PM,33:05 PM,33:58 PM,34:09 PM,34:20 PM,34:29 PM,34:41 PM,35:13 PM,35:23 PM,35:51 PM,36:03 PM,36:13 PM,37:14 PM,37:25 PM,37:35 PM,37:45 PM,37:54 PM,38:14 PM,38:22 PM,38:33 PM,38:41 PM,38:51 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0.016451 , 0.013178 , 0.024788 , 0 , 0 , 0.013241 , 0.029035 , 0.024697 , 0.019447 , 0.017762 , 0.024765 , 0.021485 , 0.022493 , 0.034301 , 0.027468 , 0.027546 , 0.027235 , 0.024106 , 0.028537 , 0.023637 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.033704 , 0.02532 , 0.022882 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.0187 , 0.012356 , 0.025173 , 0 , 0 , 0.017906 , 0.029116 , 0.022436 , 0.018649 , 0.01911 , 0.025995 , 0.02146 , 0.021542 , 0.034134 , 0.02773 , 0.027947 , 0.02819 , 0.02278 , 0.028361 , 0.026484 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.030248 , 0.029251 , 0.021678 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.020369 , 0.012101 , 0.025312 , 0 , 0 , 0.021127 , 0.028972 , 0.020925 , 0.017885 , 0.020186 , 0.026661 , 0.021578 , 0.020952 , 0.03414 , 0.027874 , 0.028129 , 0.028963 , 0.021723 , 0.028105 , 0.028237 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.027412 , 0.031743 , 0.020935 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.020241 , 0.01511 , 0.0239 , 0 , 0 , 0.019832 , 0.027076 , 0.021978 , 0.016294 , 0.020791 , 0.024644 , 0.022664 , 0.021817 , 0.035284 , 0.027159 , 0.027008 , 0.028971 , 0.021003 , 0.027009 , 0.025359 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.024892 , 0.028402 , 0.022164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.020211 , 0.017495 , 0.022822 , 0 , 0 , 0.018837 , 0.025631 , 0.0229 , 0.01507 , 0.021275 , 0.023099 , 0.023496 , 0.022588 , 0.036191 , 0.026613 , 0.026191 , 0.028971 , 0.020456 , 0.026143 , 0.02312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.022938 , 0.025815 , 0.02314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.020249 , 0.019442 , 0.021977 , 0 , 0 , 0.018053 , 0.024501 , 0.023731 , 0.014101 , 0.021672 , 0.021882 , 0.02415 , 0.023296 , 0.036932 , 0.026184 , 0.025584 , 0.028965 , 0.020026 , 0.025437 , 0.021325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02138 , 0.023753 , 0.023938 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.019392 , 0.018688 , 0.021513 , 0 , 0 , 0.017731 , 0.024081 , 0.02264 , 0.014721 , 0.020541 , 0.022668 , 0.023187 , 0.021919 , 0.034702 , 0.024715 , 0.024582 , 0.026082 , 0.019378 , 0.024233 , 0.019381 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021044 , 0.021856 , 0.022623 , 0 , 0.000564 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0.018425 , 0.017325 , 0.021213 , 0 , 0 , 0.017601 , 0.023875 , 0.021213 , 0.015622 , 0.019179 , 0.02385 , 0.021938 , 0.020211 , 0.032037 , 0.0232 , 0.023626 , 0.022935 , 0.018788 , 0.023083 , 0.017702 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021087 , 0.020321 , 0.020953 , 0 , 0.001177 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0.017627 , 0.016242 , 0.020946 , 0 , 0 , 0.017513 , 0.02363 , 0.020086 , 0.016271 , 0.01809 , 0.02475 , 0.020935 , 0.018853 , 0.029919 , 0.021982 , 0.022827 , 0.020465 , 0.018339 , 0.022156 , 0.016377 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02111 , 0.019101 , 0.019641 , 0 , 0.00165 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0.017616 , 0.016027 , 0.02107 , 0.001036 , 0.000798 , 0.017217 , 0.023276 , 0.019747 , 0.016471 , 0.017908 , 0.025357 , 0.020191 , 0.018437 , 0.029172 , 0.021212 , 0.022515 , 0.0196 , 0.018017 , 0.021692 , 0.016256 , 0 , 0.000832 , 0 , 0 , 0 , 0 , 0 , 0.020365 , 0.019102 , 0.019026 , 0 , 0.002928 , 0.001315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
