  time  ,:31:08 A,:31:21 A,:31:30 A,:31:38 A,:31:48 A,:32:14 A,:32:23 A,:32:32 A,:32:40 A,:32:48 A,:33:15 A,:33:25 A,:33:33 A,:33:43 A,:33:54 A,:34:21 A,:34:30 A,:34:39 A,:34:46 A,:34:56 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 367 , 0.014092 , 0.012732 , 0.01148 , 0.014271 , 0.017675 , 0.016659 , 0.022861 , 0.010864 , 0.014611 , 0.012561 , 0.021759 , 0.025707 , 0.022983 , 0.016205 , 0.016086 , 0.020084 , 0.017293 , 0.01455 , 0.016437 , 0.021798 
 368 , 0.014136 , 0.01276 , 0.011562 , 0.014375 , 0.017791 , 0.016791 , 0.022988 , 0.010833 , 0.014717 , 0.012599 , 0.02188 , 0.025868 , 0.0231 , 0.016382 , 0.016372 , 0.02029 , 0.017411 , 0.0147 , 0.016563 , 0.021919 
 369 , 0.01416 , 0.012781 , 0.0116 , 0.014394 , 0.017881 , 0.016868 , 0.023097 , 0.010866 , 0.014788 , 0.012623 , 0.021953 , 0.026025 , 0.02324 , 0.016495 , 0.016507 , 0.020369 , 0.017483 , 0.014799 , 0.016621 , 0.022009 
 370 , 0.014159 , 0.012793 , 0.011585 , 0.014313 , 0.017942 , 0.016884 , 0.023186 , 0.010977 , 0.014818 , 0.012627 , 0.021966 , 0.026185 , 0.023415 , 0.016532 , 0.016462 , 0.020294 , 0.017501 , 0.014837 , 0.016598 , 0.022063 
 371 , 0.014151 , 0.012802 , 0.011569 , 0.014237 , 0.018 , 0.016899 , 0.023272 , 0.011088 , 0.014846 , 0.01263 , 0.021978 , 0.026349 , 0.02359 , 0.016568 , 0.016413 , 0.020227 , 0.017516 , 0.01488 , 0.016577 , 0.022115 
 372 , 0.014146 , 0.012822 , 0.011561 , 0.014186 , 0.018062 , 0.016928 , 0.023364 , 0.0112 , 0.014883 , 0.01264 , 0.022009 , 0.026533 , 0.023773 , 0.016624 , 0.016383 , 0.020185 , 0.017537 , 0.014929 , 0.01657 , 0.02218 
 373 , 0.014237 , 0.012968 , 0.011668 , 0.014393 , 0.018202 , 0.017157 , 0.02353 , 0.011314 , 0.015053 , 0.012739 , 0.022296 , 0.026958 , 0.024034 , 0.01692 , 0.016604 , 0.020435 , 0.01767 , 0.015024 , 0.016726 , 0.022446 
 374 , 0.01433 , 0.013115 , 0.011772 , 0.014597 , 0.018339 , 0.017378 , 0.023699 , 0.011429 , 0.015219 , 0.012835 , 0.022579 , 0.027365 , 0.024291 , 0.017208 , 0.016822 , 0.020675 , 0.017794 , 0.015114 , 0.016869 , 0.022707 
 375 , 0.014426 , 0.013264 , 0.011872 , 0.014799 , 0.018475 , 0.017592 , 0.02387 , 0.011547 , 0.015381 , 0.01293 , 0.022859 , 0.027759 , 0.024546 , 0.017491 , 0.017036 , 0.020908 , 0.017912 , 0.0152 , 0.017003 , 0.022964 
 376 , 0.014489 , 0.013376 , 0.011975 , 0.014862 , 0.018578 , 0.017748 , 0.024065 , 0.011666 , 0.015503 , 0.013039 , 0.023088 , 0.028095 , 0.024727 , 0.01766 , 0.017205 , 0.021039 , 0.018026 , 0.015287 , 0.017115 , 0.023075 
 377 , 0.014529 , 0.013462 , 0.012076 , 0.014861 , 0.018666 , 0.017878 , 0.024262 , 0.011771 , 0.015604 , 0.01315 , 0.023283 , 0.028389 , 0.024865 , 0.017778 , 0.017351 , 0.021112 , 0.018136 , 0.01537 , 0.017215 , 0.023122 
 378 , 0.014559 , 0.01354 , 0.012175 , 0.014854 , 0.018751 , 0.018007 , 0.02445 , 0.011862 , 0.015698 , 0.013256 , 0.023463 , 0.028664 , 0.024993 , 0.017892 , 0.017493 , 0.02117 , 0.018245 , 0.015451 , 0.017316 , 0.023167 
 379 , 0.014606 , 0.013604 , 0.012258 , 0.014894 , 0.018846 , 0.018143 , 0.024635 , 0.011929 , 0.015793 , 0.013343 , 0.023614 , 0.028932 , 0.025172 , 0.018042 , 0.017622 , 0.021224 , 0.018337 , 0.015534 , 0.017401 , 0.023257 
 380 , 0.014697 , 0.013653 , 0.012307 , 0.015032 , 0.018958 , 0.018289 , 0.024821 , 0.011968 , 0.015896 , 0.013395 , 0.023731 , 0.029203 , 0.025463 , 0.018268 , 0.017732 , 0.021296 , 0.0184 , 0.015622 , 0.01745 , 0.023425 
 381 , 0.014789 , 0.013705 , 0.012352 , 0.015166 , 0.019068 , 0.018427 , 0.025004 , 0.012014 , 0.016002 , 0.013446 , 0.023865 , 0.029481 , 0.025747 , 0.018493 , 0.017843 , 0.02138 , 0.018465 , 0.015709 , 0.017494 , 0.023576 
