NANT_00005.spu,NANT_00004.spu,NANT_00003.spu,NANT_00002.spu,NANT_00001.spu,
Wavelength,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:41:31 A,:41:39 A,:41:48 A,:41:57 A,:42:05 A,:42:49 A,:42:58 A,:43:09 A,:43:25 A,:43:42 A,:44:21 A,:44:31 A,:44:41 A,:44:50 A,:45:02 A,:45:38 A,:45:47 A,:45:57 A,:46:08 A,:46:19 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 337 , 0.025909 , 0.023668 , 0.023557 , 0.023623 , 0.020542 , 0.028187 , 0.032931 , 0.029303 , 0.033606 , 0.032634 , 0.029476 , 0.034839 , 0.035884 , 0.030589 , 0.028315 , 0.035069 , 0.020683 , 0.0248 , 0.03185 , 0.024731 
 338 , 0.026488 , 0.023942 , 0.024056 , 0.023873 , 0.02084 , 0.028578 , 0.032617 , 0.029748 , 0.033662 , 0.033162 , 0.02985 , 0.0351 , 0.036455 , 0.030642 , 0.028505 , 0.035447 , 0.020858 , 0.025056 , 0.032354 , 0.025168 
 339 , 0.026507 , 0.024315 , 0.024047 , 0.02411 , 0.020943 , 0.028458 , 0.03291 , 0.029861 , 0.034038 , 0.033407 , 0.029742 , 0.035347 , 0.036533 , 0.030598 , 0.028801 , 0.035531 , 0.021176 , 0.025248 , 0.032982 , 0.025254 
 340 , 0.026433 , 0.024668 , 0.023953 , 0.024325 , 0.020999 , 0.028264 , 0.033283 , 0.029904 , 0.034441 , 0.033581 , 0.029565 , 0.035576 , 0.036518 , 0.030549 , 0.029104 , 0.035555 , 0.021493 , 0.025403 , 0.033581 , 0.025276 
 341 , 0.026375 , 0.024987 , 0.023874 , 0.024529 , 0.021045 , 0.028097 , 0.033632 , 0.029937 , 0.034817 , 0.033737 , 0.029417 , 0.035788 , 0.0365 , 0.030521 , 0.029403 , 0.035572 , 0.021784 , 0.025536 , 0.03413 , 0.025296 
 342 , 0.026443 , 0.025358 , 0.023886 , 0.024725 , 0.021114 , 0.028359 , 0.033782 , 0.030038 , 0.035051 , 0.033814 , 0.029299 , 0.035859 , 0.03652 , 0.030434 , 0.029449 , 0.035666 , 0.022016 , 0.025787 , 0.034365 , 0.025516 
 343 , 0.026631 , 0.025791 , 0.023993 , 0.024906 , 0.021206 , 0.02906 , 0.033721 , 0.030208 , 0.03513 , 0.033803 , 0.029206 , 0.035778 , 0.036576 , 0.03028 , 0.029223 , 0.035838 , 0.022174 , 0.026168 , 0.034269 , 0.025939 
 344 , 0.026779 , 0.026189 , 0.024095 , 0.025062 , 0.021284 , 0.029682 , 0.033655 , 0.030354 , 0.035177 , 0.033775 , 0.029113 , 0.035679 , 0.036611 , 0.030127 , 0.028997 , 0.035984 , 0.022287 , 0.026521 , 0.034157 , 0.026315 
 345 , 0.02692 , 0.026513 , 0.024203 , 0.025193 , 0.021363 , 0.030181 , 0.033627 , 0.030486 , 0.035216 , 0.033771 , 0.029029 , 0.035611 , 0.036653 , 0.029992 , 0.02882 , 0.036142 , 0.022387 , 0.026814 , 0.034082 , 0.026646 
 346 , 0.027298 , 0.026311 , 0.024473 , 0.025223 , 0.021565 , 0.029949 , 0.034027 , 0.030653 , 0.035349 , 0.034124 , 0.029017 , 0.035924 , 0.036888 , 0.030039 , 0.02914 , 0.036611 , 0.022635 , 0.026711 , 0.034491 , 0.026855 
 347 , 0.027632 , 0.026119 , 0.024693 , 0.025255 , 0.021748 , 0.029732 , 0.034402 , 0.030807 , 0.035473 , 0.034452 , 0.029001 , 0.036225 , 0.037103 , 0.030063 , 0.029415 , 0.037041 , 0.022865 , 0.026602 , 0.03486 , 0.027039 
 348 , 0.027928 , 0.025937 , 0.024874 , 0.025288 , 0.021915 , 0.029528 , 0.034757 , 0.030949 , 0.03559 , 0.034758 , 0.028982 , 0.036515 , 0.037301 , 0.03007 , 0.029654 , 0.037439 , 0.023078 , 0.02649 , 0.035193 , 0.027203 
 349 , 0.028075 , 0.02597 , 0.024994 , 0.025333 , 0.02188 , 0.029608 , 0.034856 , 0.030941 , 0.035807 , 0.034931 , 0.029109 , 0.03668 , 0.037273 , 0.030282 , 0.029692 , 0.037497 , 0.023152 , 0.026768 , 0.035304 , 0.027343 
 350 , 0.02816 , 0.026074 , 0.025082 , 0.025379 , 0.021769 , 0.029787 , 0.034836 , 0.030869 , 0.036036 , 0.035031 , 0.029279 , 0.036775 , 0.037152 , 0.030567 , 0.029652 , 0.037413 , 0.023164 , 0.027167 , 0.035319 , 0.027459 
 351 , 0.028239 , 0.026159 , 0.025154 , 0.025421 , 0.021659 , 0.029949 , 0.034794 , 0.030789 , 0.03623 , 0.035107 , 0.029428 , 0.036845 , 0.037026 , 0.030834 , 0.02961 , 0.03732 , 0.02317 , 0.027519 , 0.035324 , 0.027556 
 352 , 0.028316 , 0.026319 , 0.025293 , 0.025494 , 0.021692 , 0.030142 , 0.034839 , 0.030883 , 0.036355 , 0.035253 , 0.029572 , 0.036904 , 0.037114 , 0.031035 , 0.029662 , 0.03735 , 0.023229 , 0.027749 , 0.035305 , 0.027672 
 353 , 0.0284 , 0.026644 , 0.025578 , 0.025631 , 0.022004 , 0.03041 , 0.035075 , 0.031328 , 0.036378 , 0.035561 , 0.02973 , 0.036966 , 0.037626 , 0.031124 , 0.0299 , 0.03763 , 0.023404 , 0.027781 , 0.035251 , 0.027843 
 354 , 0.028478 , 0.026953 , 0.025847 , 0.025757 , 0.022297 , 0.030662 , 0.035297 , 0.03175 , 0.036398 , 0.03585 , 0.029875 , 0.037021 , 0.038114 , 0.031203 , 0.030125 , 0.037892 , 0.023566 , 0.027812 , 0.035199 , 0.028005 
 355 , 0.02855 , 0.027249 , 0.026101 , 0.025873 , 0.022574 , 0.030901 , 0.035504 , 0.032149 , 0.036416 , 0.036122 , 0.030009 , 0.037072 , 0.03858 , 0.031274 , 0.030337 , 0.038138 , 0.023716 , 0.027842 , 0.035149 , 0.028158 
 356 , 0.028776 , 0.027336 , 0.026194 , 0.02592 , 0.022707 , 0.030979 , 0.035704 , 0.032276 , 0.036478 , 0.036472 , 0.030409 , 0.037371 , 0.038818 , 0.031403 , 0.030469 , 0.038177 , 0.023738 , 0.027905 , 0.035392 , 0.028326 
 357 , 0.029 , 0.027406 , 0.026275 , 0.025962 , 0.022827 , 0.031043 , 0.035892 , 0.032383 , 0.036537 , 0.03681 , 0.030807 , 0.037671 , 0.039032 , 0.031528 , 0.030588 , 0.038204 , 0.023753 , 0.027965 , 0.035637 , 0.028485 
 358 , 0.029215 , 0.027472 , 0.026353 , 0.026002 , 0.022942 , 0.031102 , 0.036068 , 0.032483 , 0.03659 , 0.037131 , 0.031189 , 0.037958 , 0.039233 , 0.031645 , 0.030698 , 0.038228 , 0.023767 , 0.028023 , 0.03587 , 0.028634 
 359 , 0.029413 , 0.027483 , 0.026462 , 0.026131 , 0.023095 , 0.031261 , 0.03626 , 0.032759 , 0.036781 , 0.037368 , 0.031459 , 0.038197 , 0.039458 , 0.031947 , 0.030889 , 0.038326 , 0.023861 , 0.028128 , 0.035991 , 0.028799 
 360 , 0.029593 , 0.027453 , 0.026587 , 0.026317 , 0.023267 , 0.031485 , 0.036454 , 0.033148 , 0.037064 , 0.037534 , 0.031637 , 0.038393 , 0.039688 , 0.032369 , 0.031128 , 0.03847 , 0.024004 , 0.028261 , 0.036029 , 0.028967 
 361 , 0.029759 , 0.027423 , 0.0267 , 0.026488 , 0.023424 , 0.031696 , 0.036632 , 0.033508 , 0.037333 , 0.037683 , 0.031798 , 0.038572 , 0.039899 , 0.032764 , 0.031347 , 0.038604 , 0.024133 , 0.028383 , 0.03606 , 0.029119 
 362 , 0.029937 , 0.027446 , 0.026801 , 0.026648 , 0.02357 , 0.03189 , 0.036872 , 0.033815 , 0.037571 , 0.037854 , 0.031941 , 0.038751 , 0.040084 , 0.0331 , 0.03155 , 0.038711 , 0.024255 , 0.028531 , 0.036084 , 0.029265 
 363 , 0.030199 , 0.027686 , 0.026885 , 0.026804 , 0.023728 , 0.032061 , 0.03741 , 0.033995 , 0.037723 , 0.038174 , 0.032062 , 0.038986 , 0.040219 , 0.033278 , 0.031745 , 0.038753 , 0.024399 , 0.028823 , 0.036115 , 0.02944 
 364 , 0.030445 , 0.027912 , 0.026964 , 0.026949 , 0.023876 , 0.032221 , 0.037922 , 0.034162 , 0.037864 , 0.038477 , 0.032174 , 0.039206 , 0.040342 , 0.033444 , 0.031929 , 0.038792 , 0.024535 , 0.029101 , 0.036145 , 0.029605 
 365 , 0.030677 , 0.028125 , 0.027038 , 0.027086 , 0.024015 , 0.032372 , 0.038409 , 0.034319 , 0.037995 , 0.038765 , 0.032279 , 0.039412 , 0.040453 , 0.033598 , 0.032104 , 0.038829 , 0.024665 , 0.029366 , 0.036174 , 0.029762 
 366 , 0.030704 , 0.028247 , 0.027025 , 0.027098 , 0.024106 , 0.032633 , 0.038714 , 0.03455 , 0.038386 , 0.038956 , 0.032406 , 0.03944 , 0.040693 , 0.033834 , 0.032358 , 0.038998 , 0.024654 , 0.02931 , 0.036298 , 0.029779 
 367 , 0.030685 , 0.028348 , 0.026993 , 0.027085 , 0.024184 , 0.032913 , 0.038972 , 0.03479 , 0.038824 , 0.039122 , 0.032535 , 0.039429 , 0.040956 , 0.034083 , 0.032623 , 0.03919 , 0.024613 , 0.029186 , 0.036438 , 0.029766 
 368 , 0.030668 , 0.028445 , 0.026963 , 0.02707 , 0.02426 , 0.033186 , 0.039222 , 0.035024 , 0.039249 , 0.039282 , 0.03266 , 0.039419 , 0.041211 , 0.034326 , 0.032881 , 0.039377 , 0.024571 , 0.029069 , 0.036574 , 0.029754 
 369 , 0.030698 , 0.028595 , 0.027035 , 0.027064 , 0.024401 , 0.033408 , 0.039441 , 0.035245 , 0.039502 , 0.039478 , 0.032903 , 0.039635 , 0.041623 , 0.034645 , 0.033206 , 0.039505 , 0.024613 , 0.029052 , 0.03673 , 0.029806 
 370 , 0.030789 , 0.028816 , 0.027234 , 0.02707 , 0.024625 , 0.033574 , 0.039632 , 0.03546 , 0.039555 , 0.039726 , 0.033299 , 0.040135 , 0.042237 , 0.035069 , 0.033621 , 0.039571 , 0.024759 , 0.029158 , 0.036917 , 0.02994 
