NANT_00015.spu,NANT_00014.spu,NANT_00013.spu,NANT_00012.spu,NANT_00011.spu,
Wavelength,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu,MNAT_00060.spu,MNAT_00061.spu,MNAT_00062.spu,MNAT_00063.spu,MNAT_00064.spu,MNAT_00065.spu,MNAT_00066.spu,MNAT_00067.spu,MNAT_00068.spu,MNAT_00069.spu,MNAT_00070.spu,MNAT_00071.spu,MNAT_00072.spu,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000089 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00031 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000484 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000624 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002405 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002423 , 0.003154 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004019 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004564 , 0.005993 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005439 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006395 , 0.008465 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0.000118 , 0.000233 , 0.006805 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008103 , 0.01063 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0.000292 , 0.000576 , 0.008069 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00964 , 0.012487 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0.000437 , 0.000861 , 0.009175 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010948 , 0.014082 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0.000963 , 0.001467 , 0.010283 , 0 , 0.00014 , 0.000045 , 0.000081 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000265 , 0 , 0 , 0.0001 , 0 , 0 , 0.000303 , 0 , 0 , 0 , 0.000327 , 0 , 0 , 0.012407 , 0.015621 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 , 0.00293 , 0.003328 , 0.011731 , 0 , 0.000775 , 0.000254 , 0.000454 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001486 , 0 , 0 , 0.000557 , 0 , 0 , 0.001683 , 0 , 0 , 0 , 0.001831 , 0 , 0 , 0.014877 , 0.017507 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 , 0.004651 , 0.004922 , 0.012995 , 0 , 0.001325 , 0.000438 , 0.000779 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002552 , 0 , 0 , 0.000954 , 0 , 0 , 0.002875 , 0 , 0 , 0 , 0.00315 , 0 , 0 , 0.016987 , 0.019171 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0.006173 , 0.006301 , 0.014108 , 0 , 0.001805 , 0.0006 , 0.001065 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003492 , 0 , 0 , 0.001301 , 0 , 0 , 0.003915 , 0 , 0 , 0 , 0.004318 , 0 , 0 , 0.01881 , 0.020652 , 0 , 0 , 0 , 0 , 0 
 339 , 0.000233 , 0 , 0 , 0 , 0.000676 , 0.007517 , 0.007457 , 0.015037 , 0.000804 , 0.003134 , 0.001705 , 0.002379 , 0.000982 , 0.000724 , 0.001293 , 0 , 0.000673 , 0.000391 , 0.000131 , 0 , 0.004144 , 0.000626 , 0.000564 , 0.002613 , 0.00117 , 0.000772 , 0.004736 , 0.001385 , 0.000839 , 0.000082 , 0.006357 , 0.000086 , 0 , 0.020345 , 0.022482 , 0 , 0 , 0 , 0.000491 , 0.000492 
 340 , 0.000479 , 0 , 0 , 0 , 0.001386 , 0.008681 , 0.008415 , 0.015802 , 0.001611 , 0.004426 , 0.002796 , 0.003687 , 0.001987 , 0.001466 , 0.00261 , 0 , 0.001361 , 0.000796 , 0.000266 , 0 , 0.004653 , 0.001266 , 0.001143 , 0.003911 , 0.002363 , 0.001635 , 0.005409 , 0.002805 , 0.001691 , 0.000167 , 0.008216 , 0.000175 , 0 , 0.021666 , 0.024127 , 0 , 0 , 0 , 0.001007 , 0.001001 
 341 , 0.000693 , 0 , 0 , 0 , 0.002 , 0.009696 , 0.009217 , 0.016433 , 0.002276 , 0.005522 , 0.003703 , 0.004798 , 0.002833 , 0.002093 , 0.003713 , 0 , 0.001937 , 0.001142 , 0.000381 , 0 , 0.005074 , 0.001805 , 0.001633 , 0.005014 , 0.003365 , 0.00244 , 0.005976 , 0.004004 , 0.002401 , 0.000239 , 0.009742 , 0.000249 , 0 , 0.022821 , 0.025512 , 0 , 0 , 0 , 0.001456 , 0.001434 
 342 , 0.001189 , 0 , 0 , 0 , 0.002697 , 0.010622 , 0.009957 , 0.017075 , 0.003067 , 0.006389 , 0.00455 , 0.005736 , 0.003895 , 0.002942 , 0.004777 , 0.000396 , 0.002711 , 0.001509 , 0.000655 , 0 , 0.005771 , 0.002431 , 0.002218 , 0.00596 , 0.004279 , 0.00326 , 0.007004 , 0.00525 , 0.003211 , 0.000974 , 0.010744 , 0.000792 , 0.000112 , 0.02393 , 0.026694 , 0.000251 , 0.00035 , 0.00061 , 0.00217 , 0.002347 
 343 , 0.001987 , 0 , 0 , 0 , 0.00349 , 0.01146 , 0.010677 , 0.017765 , 0.004045 , 0.007072 , 0.005398 , 0.006538 , 0.005228 , 0.004043 , 0.005864 , 0.001215 , 0.003725 , 0.001915 , 0.001103 , 0 , 0.006792 , 0.003185 , 0.002936 , 0.006795 , 0.00515 , 0.004028 , 0.008535 , 0.006607 , 0.00417 , 0.002402 , 0.011304 , 0.001829 , 0.000337 , 0.025012 , 0.027719 , 0.000764 , 0.001073 , 0.001838 , 0.003168 , 0.003785 
 344 , 0.002701 , 0 , 0 , 0 , 0.004189 , 0.012177 , 0.011323 , 0.018383 , 0.004936 , 0.007692 , 0.006166 , 0.007249 , 0.006427 , 0.005018 , 0.006841 , 0.001962 , 0.004636 , 0.002285 , 0.00151 , 0 , 0.007728 , 0.003876 , 0.003597 , 0.00755 , 0.005924 , 0.00466 , 0.0099 , 0.007823 , 0.005033 , 0.00368 , 0.01181 , 0.002758 , 0.000536 , 0.025979 , 0.028628 , 0.001221 , 0.00173 , 0.002917 , 0.004054 , 0.005078 
 345 , 0.003342 , 0 , 0.000009 , 0 , 0.004804 , 0.012782 , 0.011934 , 0.018928 , 0.005763 , 0.008268 , 0.006861 , 0.007904 , 0.007486 , 0.005914 , 0.00773 , 0.002608 , 0.005437 , 0.002638 , 0.001881 , 0.000041 , 0.008558 , 0.004515 , 0.004202 , 0.008222 , 0.006635 , 0.005235 , 0.011089 , 0.00888 , 0.005785 , 0.0048 , 0.012298 , 0.003601 , 0.000734 , 0.026825 , 0.0294 , 0.001656 , 0.002353 , 0.003892 , 0.004841 , 0.006199 
 346 , 0.003879 , 0 , 0.000125 , 0 , 0.00528 , 0.0131 , 0.012843 , 0.019302 , 0.006646 , 0.008929 , 0.007451 , 0.008736 , 0.008132 , 0.007065 , 0.008616 , 0.00272 , 0.005863 , 0.003141 , 0.002198 , 0.000588 , 0.008966 , 0.005164 , 0.004709 , 0.008654 , 0.007501 , 0.006284 , 0.011726 , 0.009356 , 0.006128 , 0.005453 , 0.013157 , 0.004417 , 0.001185 , 0.027385 , 0.029715 , 0.002326 , 0.003185 , 0.004993 , 0.005492 , 0.00662 
 347 , 0.004336 , 0 , 0.000224 , 0 , 0.005692 , 0.013376 , 0.013621 , 0.019609 , 0.007406 , 0.009473 , 0.007947 , 0.009436 , 0.008675 , 0.008047 , 0.00936 , 0.002814 , 0.006228 , 0.003569 , 0.002469 , 0.001056 , 0.0093 , 0.005719 , 0.005133 , 0.009017 , 0.008237 , 0.007191 , 0.01226 , 0.00975 , 0.006419 , 0.006034 , 0.013846 , 0.005108 , 0.001568 , 0.027809 , 0.029935 , 0.002893 , 0.003896 , 0.005984 , 0.006049 , 0.006964 
 348 , 0.00473 , 0 , 0.00031 , 0 , 0.006052 , 0.013619 , 0.014292 , 0.019862 , 0.008065 , 0.009922 , 0.008367 , 0.010028 , 0.009135 , 0.008889 , 0.009989 , 0.002892 , 0.006541 , 0.003936 , 0.002703 , 0.00146 , 0.009575 , 0.006197 , 0.005491 , 0.009324 , 0.008868 , 0.007979 , 0.01271 , 0.010076 , 0.006668 , 0.006557 , 0.0144 , 0.005696 , 0.001896 , 0.028123 , 0.03008 , 0.003375 , 0.004509 , 0.006884 , 0.00653 , 0.007247 
 349 , 0.005189 , 0 , 0.000487 , 0.000033 , 0.006679 , 0.014226 , 0.014746 , 0.02003 , 0.008569 , 0.010446 , 0.008779 , 0.010521 , 0.009635 , 0.009624 , 0.010475 , 0.003272 , 0.006958 , 0.004338 , 0.00314 , 0.001851 , 0.009952 , 0.006696 , 0.006017 , 0.009845 , 0.009463 , 0.008507 , 0.013313 , 0.010711 , 0.007429 , 0.007079 , 0.015138 , 0.006167 , 0.002621 , 0.028619 , 0.030656 , 0.004109 , 0.005231 , 0.007296 , 0.007199 , 0.007725 
 350 , 0.005644 , 0 , 0.000688 , 0.000076 , 0.007357 , 0.01492 , 0.015095 , 0.020159 , 0.008974 , 0.010968 , 0.009167 , 0.010955 , 0.010112 , 0.010261 , 0.01087 , 0.003744 , 0.007389 , 0.00473 , 0.00362 , 0.002218 , 0.010349 , 0.007175 , 0.006578 , 0.010418 , 0.010013 , 0.008905 , 0.013944 , 0.011415 , 0.008324 , 0.007555 , 0.015917 , 0.006563 , 0.003442 , 0.029151 , 0.031346 , 0.004893 , 0.005945 , 0.007492 , 0.007892 , 0.008246 
 351 , 0.00605 , 0 , 0.000869 , 0.000115 , 0.00796 , 0.015535 , 0.015405 , 0.020272 , 0.009325 , 0.011437 , 0.009518 , 0.01135 , 0.010532 , 0.010816 , 0.011211 , 0.004172 , 0.007778 , 0.005082 , 0.004047 , 0.002548 , 0.01071 , 0.007606 , 0.007086 , 0.010939 , 0.01051 , 0.009259 , 0.014519 , 0.01204 , 0.009126 , 0.00797 , 0.01663 , 0.006911 , 0.004178 , 0.029622 , 0.03195 , 0.0056 , 0.006582 , 0.007657 , 0.008509 , 0.008715 
 352 , 0.006405 , 0 , 0.001192 , 0.000203 , 0.00854 , 0.016019 , 0.015689 , 0.020465 , 0.009713 , 0.011829 , 0.009877 , 0.011731 , 0.010935 , 0.011374 , 0.011593 , 0.004528 , 0.008114 , 0.00536 , 0.004399 , 0.002835 , 0.011075 , 0.007945 , 0.007473 , 0.011358 , 0.010923 , 0.00962 , 0.015051 , 0.01261 , 0.009693 , 0.008399 , 0.017134 , 0.00727 , 0.00473 , 0.030238 , 0.032461 , 0.006155 , 0.00713 , 0.007885 , 0.008962 , 0.009168 
 353 , 0.006707 , 0 , 0.00181 , 0.00039 , 0.009159 , 0.016332 , 0.015958 , 0.020835 , 0.01023 , 0.012128 , 0.010299 , 0.012128 , 0.011368 , 0.012027 , 0.012115 , 0.004782 , 0.008391 , 0.005534 , 0.004657 , 0.003073 , 0.011484 , 0.008148 , 0.007676 , 0.01163 , 0.011228 , 0.010042 , 0.01555 , 0.013151 , 0.009898 , 0.00892 , 0.017298 , 0.007698 , 0.005013 , 0.031209 , 0.032879 , 0.00649 , 0.007586 , 0.008273 , 0.009173 , 0.009644 
 354 , 0.006984 , 0 , 0.002379 , 0.000561 , 0.009741 , 0.016622 , 0.016208 , 0.021183 , 0.010709 , 0.012406 , 0.010696 , 0.012496 , 0.011773 , 0.012631 , 0.012605 , 0.005017 , 0.00865 , 0.005696 , 0.004898 , 0.003295 , 0.011864 , 0.008336 , 0.007863 , 0.011882 , 0.011513 , 0.010429 , 0.016001 , 0.013652 , 0.010086 , 0.009403 , 0.017445 , 0.008089 , 0.005274 , 0.032127 , 0.033268 , 0.0068 , 0.00801 , 0.008631 , 0.009366 , 0.010086 
 355 , 0.00724 , 0 , 0.002903 , 0.00072 , 0.01029 , 0.016892 , 0.016439 , 0.021512 , 0.011155 , 0.012666 , 0.011071 , 0.012836 , 0.012154 , 0.013192 , 0.013065 , 0.005237 , 0.008893 , 0.005846 , 0.005125 , 0.003502 , 0.012215 , 0.008508 , 0.008036 , 0.012114 , 0.011779 , 0.010787 , 0.01641 , 0.014116 , 0.010259 , 0.00985 , 0.017579 , 0.008447 , 0.005517 , 0.032996 , 0.033631 , 0.007086 , 0.008405 , 0.008962 , 0.009543 , 0.010497 
 356 , 0.007273 , 0.000137 , 0.002926 , 0.000681 , 0.010408 , 0.016818 , 0.016483 , 0.021512 , 0.011384 , 0.012835 , 0.011211 , 0.013032 , 0.01226 , 0.013066 , 0.013334 , 0.005242 , 0.009084 , 0.006155 , 0.005336 , 0.003733 , 0.012532 , 0.00876 , 0.008304 , 0.012379 , 0.012048 , 0.011109 , 0.016545 , 0.014258 , 0.010601 , 0.010053 , 0.017987 , 0.008852 , 0.005717 , 0.033121 , 0.034058 , 0.007475 , 0.008554 , 0.009301 , 0.009896 , 0.010891 
 357 , 0.007294 , 0.000273 , 0.002923 , 0.000633 , 0.010498 , 0.01673 , 0.016515 , 0.021496 , 0.01159 , 0.012989 , 0.011331 , 0.013209 , 0.012346 , 0.012917 , 0.013579 , 0.005236 , 0.009263 , 0.006457 , 0.005535 , 0.003956 , 0.012833 , 0.009005 , 0.008564 , 0.012632 , 0.012302 , 0.011412 , 0.016661 , 0.014376 , 0.010935 , 0.010234 , 0.018388 , 0.009239 , 0.005903 , 0.033203 , 0.034464 , 0.007848 , 0.008683 , 0.009622 , 0.010243 , 0.011268 
 358 , 0.007313 , 0.000399 , 0.002921 , 0.000587 , 0.010583 , 0.016648 , 0.016545 , 0.02148 , 0.011783 , 0.013134 , 0.011442 , 0.013374 , 0.012425 , 0.012779 , 0.013812 , 0.00523 , 0.009432 , 0.006745 , 0.005722 , 0.00417 , 0.013121 , 0.00924 , 0.008812 , 0.012871 , 0.012542 , 0.0117 , 0.01677 , 0.014487 , 0.011253 , 0.010407 , 0.01877 , 0.009606 , 0.006078 , 0.033278 , 0.034847 , 0.008201 , 0.008805 , 0.009926 , 0.010576 , 0.011627 
 359 , 0.007437 , 0.000609 , 0.002975 , 0.000835 , 0.01066 , 0.016735 , 0.016548 , 0.021507 , 0.011866 , 0.013285 , 0.011554 , 0.013483 , 0.012595 , 0.012874 , 0.014006 , 0.005391 , 0.009499 , 0.00689 , 0.005945 , 0.004299 , 0.013266 , 0.009396 , 0.008973 , 0.012973 , 0.012682 , 0.011803 , 0.016958 , 0.014588 , 0.011547 , 0.010631 , 0.018938 , 0.009822 , 0.006364 , 0.033198 , 0.035058 , 0.008455 , 0.008996 , 0.010052 , 0.010757 , 0.011841 
 360 , 0.007624 , 0.000867 , 0.003065 , 0.001272 , 0.010725 , 0.016933 , 0.016533 , 0.021565 , 0.01187 , 0.013433 , 0.011663 , 0.013547 , 0.012818 , 0.013126 , 0.014165 , 0.005657 , 0.009491 , 0.006927 , 0.006182 , 0.004363 , 0.013301 , 0.00949 , 0.009068 , 0.012975 , 0.012749 , 0.011772 , 0.017192 , 0.014671 , 0.011813 , 0.010877 , 0.018948 , 0.009926 , 0.006716 , 0.033006 , 0.035134 , 0.008631 , 0.009223 , 0.010051 , 0.010821 , 0.011942 
 361 , 0.007793 , 0.001105 , 0.003145 , 0.001674 , 0.01078 , 0.017115 , 0.01652 , 0.021618 , 0.011871 , 0.013565 , 0.011764 , 0.013604 , 0.013019 , 0.01336 , 0.014307 , 0.005899 , 0.009481 , 0.006959 , 0.0064 , 0.004418 , 0.013329 , 0.009574 , 0.009153 , 0.012974 , 0.012808 , 0.011737 , 0.017406 , 0.014742 , 0.012058 , 0.011099 , 0.018952 , 0.01002 , 0.007042 , 0.032819 , 0.035195 , 0.00879 , 0.009426 , 0.010048 , 0.010876 , 0.01203 
 362 , 0.00793 , 0.00128 , 0.003249 , 0.00201 , 0.01088 , 0.017293 , 0.016574 , 0.021697 , 0.011905 , 0.013714 , 0.011889 , 0.013712 , 0.013207 , 0.013605 , 0.014461 , 0.006117 , 0.009528 , 0.007003 , 0.006562 , 0.0045 , 0.013426 , 0.009678 , 0.009245 , 0.013029 , 0.012903 , 0.011782 , 0.017631 , 0.014834 , 0.012251 , 0.011286 , 0.019038 , 0.010147 , 0.007311 , 0.032755 , 0.03525 , 0.008964 , 0.009617 , 0.010111 , 0.010956 , 0.012184 
 363 , 0.007994 , 0.001267 , 0.003465 , 0.00219 , 0.011179 , 0.017495 , 0.016886 , 0.021879 , 0.012075 , 0.01398 , 0.012127 , 0.014033 , 0.013412 , 0.013935 , 0.014697 , 0.006308 , 0.0098 , 0.007111 , 0.006573 , 0.004707 , 0.013816 , 0.009884 , 0.009396 , 0.013321 , 0.013155 , 0.012147 , 0.017948 , 0.015052 , 0.012306 , 0.011406 , 0.019468 , 0.01043 , 0.007434 , 0.033158 , 0.03534 , 0.00924 , 0.00983 , 0.010436 , 0.011169 , 0.012629 
