MNAT_00215.spu,MNAT_00214.spu,MNAT_00213.spu,MNAT_00212.spu,MNAT_00211.spu,
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 351 , 0.011569 , 0.010767 , 0.013458 , 0.01227 , 0.007203 , 0.009124 , 0.021546 , 0.017546 , 0.009021 , 0.008073 , 0.011654 , 0.014506 , 0.016816 , 0.019645 , 0.014694 , 0.011713 
 352 , 0.011379 , 0.010573 , 0.0132 , 0.012295 , 0.006911 , 0.008784 , 0.021317 , 0.017298 , 0.008708 , 0.007738 , 0.011326 , 0.014411 , 0.016551 , 0.019434 , 0.014489 , 0.01139 
 353 , 0.010985 , 0.010068 , 0.012821 , 0.012258 , 0.006917 , 0.008758 , 0.021035 , 0.017407 , 0.008835 , 0.007835 , 0.01131 , 0.014275 , 0.016573 , 0.019222 , 0.014311 , 0.011352 
 354 , 0.010617 , 0.0096 , 0.012468 , 0.012224 , 0.006922 , 0.008733 , 0.020771 , 0.017511 , 0.008951 , 0.007924 , 0.011295 , 0.014146 , 0.016594 , 0.019022 , 0.014144 , 0.011316 
 355 , 0.010272 , 0.009167 , 0.012139 , 0.012192 , 0.006927 , 0.008709 , 0.020523 , 0.017609 , 0.009059 , 0.008006 , 0.011281 , 0.014024 , 0.016613 , 0.018833 , 0.013988 , 0.011282 
 356 , 0.010503 , 0.009646 , 0.012284 , 0.012015 , 0.006633 , 0.0088 , 0.020372 , 0.017446 , 0.008906 , 0.007864 , 0.011309 , 0.014073 , 0.016525 , 0.018907 , 0.014126 , 0.011235 
 357 , 0.010749 , 0.010149 , 0.012444 , 0.01184 , 0.00634 , 0.008891 , 0.020232 , 0.017279 , 0.008747 , 0.007718 , 0.011338 , 0.014129 , 0.016436 , 0.018991 , 0.014272 , 0.01119 
 358 , 0.010981 , 0.010631 , 0.012596 , 0.011673 , 0.006062 , 0.008978 , 0.020099 , 0.017121 , 0.008595 , 0.00758 , 0.011365 , 0.014182 , 0.016352 , 0.019071 , 0.014411 , 0.011147 
 359 , 0.011158 , 0.010733 , 0.012553 , 0.011919 , 0.006119 , 0.008973 , 0.020036 , 0.01708 , 0.008571 , 0.007465 , 0.011407 , 0.014191 , 0.016411 , 0.019183 , 0.014445 , 0.011206 
 360 , 0.011292 , 0.010569 , 0.012377 , 0.012444 , 0.006405 , 0.008904 , 0.020022 , 0.017123 , 0.008634 , 0.007371 , 0.011456 , 0.014168 , 0.016566 , 0.019312 , 0.014405 , 0.011332 
 361 , 0.011415 , 0.010417 , 0.012213 , 0.012939 , 0.006673 , 0.00884 , 0.02001 , 0.017163 , 0.008693 , 0.007283 , 0.0115 , 0.014147 , 0.016709 , 0.01943 , 0.014369 , 0.01145 
