WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 599 , 0.074292 , 0.060828 , 0.058255 , 0.068799 , 0.061097 
 600 , 0.074437 , 0.061012 , 0.058423 , 0.068932 , 0.061237 
 601 , 0.074529 , 0.061136 , 0.058552 , 0.069011 , 0.061332 
 602 , 0.074595 , 0.061218 , 0.058668 , 0.069072 , 0.0614 
 603 , 0.074655 , 0.061308 , 0.058784 , 0.069134 , 0.061468 
 604 , 0.074713 , 0.061403 , 0.058884 , 0.069207 , 0.061534 
 605 , 0.074785 , 0.061499 , 0.05895 , 0.0693 , 0.061609 
 606 , 0.07485 , 0.061595 , 0.059016 , 0.069399 , 0.061676 
 607 , 0.074915 , 0.061692 , 0.059082 , 0.069491 , 0.061743 
 608 , 0.074954 , 0.061767 , 0.059143 , 0.069567 , 0.061811 
 609 , 0.074989 , 0.061841 , 0.059203 , 0.069639 , 0.061885 
 610 , 0.075023 , 0.061915 , 0.059263 , 0.069711 , 0.061952 
 611 , 0.075038 , 0.061963 , 0.059277 , 0.069782 , 0.062007 
 612 , 0.075044 , 0.061999 , 0.059272 , 0.069838 , 0.06205 
 613 , 0.075049 , 0.062027 , 0.059267 , 0.0699 , 0.062085 
 614 , 0.075064 , 0.062066 , 0.059268 , 0.069983 , 0.062132 
 615 , 0.075107 , 0.062097 , 0.059282 , 0.070086 , 0.062184 
 616 , 0.075147 , 0.062131 , 0.059292 , 0.070193 , 0.062233 
 617 , 0.075191 , 0.06217 , 0.059307 , 0.070304 , 0.062286 
 618 , 0.075209 , 0.062205 , 0.059335 , 0.070405 , 0.062328 
 619 , 0.075218 , 0.062242 , 0.059356 , 0.070497 , 0.062364 
 620 , 0.075233 , 0.062277 , 0.059382 , 0.070594 , 0.062406 
 621 , 0.075292 , 0.062332 , 0.059429 , 0.070712 , 0.062476 
 622 , 0.075365 , 0.062403 , 0.059484 , 0.070837 , 0.06256 
 623 , 0.075444 , 0.062464 , 0.059537 , 0.070968 , 0.06265 
 624 , 0.075535 , 0.062558 , 0.059607 , 0.07111 , 0.062757 
 625 , 0.075663 , 0.062686 , 0.059718 , 0.071271 , 0.062914 
 626 , 0.075793 , 0.062816 , 0.059829 , 0.071441 , 0.063065 
 627 , 0.075922 , 0.062945 , 0.059933 , 0.071603 , 0.063215 
 628 , 0.076037 , 0.063054 , 0.060041 , 0.071761 , 0.063317 
 629 , 0.07615 , 0.063167 , 0.060143 , 0.071915 , 0.063408 
 630 , 0.076263 , 0.063279 , 0.060244 , 0.072068 , 0.063506 
 631 , 0.076384 , 0.063403 , 0.060331 , 0.072203 , 0.063622 
 632 , 0.076497 , 0.063527 , 0.060408 , 0.07232 , 0.063738 
 633 , 0.076611 , 0.06365 , 0.060484 , 0.072444 , 0.063854 
 634 , 0.076706 , 0.063758 , 0.060545 , 0.072564 , 0.063976 
 635 , 0.076774 , 0.063813 , 0.060575 , 0.072684 , 0.064088 
 636 , 0.076839 , 0.063864 , 0.060606 , 0.072807 , 0.064202 
 637 , 0.076904 , 0.063922 , 0.060637 , 0.072924 , 0.064315 
 638 , 0.076904 , 0.063912 , 0.06059 , 0.072977 , 0.064369 
 639 , 0.0769 , 0.063893 , 0.060541 , 0.073034 , 0.064414 
 640 , 0.076896 , 0.063874 , 0.060492 , 0.073091 , 0.064466 
 641 , 0.076824 , 0.063794 , 0.060399 , 0.073097 , 0.064479 
 642 , 0.076721 , 0.063686 , 0.060287 , 0.073082 , 0.064477 
 643 , 0.076618 , 0.063578 , 0.060169 , 0.073061 , 0.064469 
 644 , 0.076502 , 0.06347 , 0.060049 , 0.073046 , 0.064462 
 645 , 0.076353 , 0.063362 , 0.059913 , 0.073026 , 0.064454 
 646 , 0.076215 , 0.063253 , 0.059771 , 0.07301 , 0.06444 
 647 , 0.076064 , 0.063145 , 0.059629 , 0.072996 , 0.064434 
 648 , 0.075955 , 0.06302 , 0.059505 , 0.072982 , 0.064432 
 649 , 0.075834 , 0.062884 , 0.059386 , 0.072971 , 0.064426 
 650 , 0.075713 , 0.062748 , 0.059261 , 0.072961 , 0.064421 
 651 , 0.075638 , 0.062663 , 0.059173 , 0.072984 , 0.064444 
 652 , 0.075592 , 0.062616 , 0.059108 , 0.073016 , 0.064484 
 653 , 0.075547 , 0.062561 , 0.05903 , 0.073055 , 0.064524 
 654 , 0.075497 , 0.062492 , 0.058949 , 0.073085 , 0.064553 
 655 , 0.075417 , 0.062385 , 0.05883 , 0.073121 , 0.064581 
 656 , 0.075338 , 0.062288 , 0.058718 , 0.073156 , 0.064599 
 657 , 0.075265 , 0.062183 , 0.058605 , 0.07319 , 0.064624 
 658 , 0.075211 , 0.062091 , 0.058494 , 0.073255 , 0.064675 
 659 , 0.075159 , 0.061999 , 0.058376 , 0.073312 , 0.064724 
