  time  ,:43:31 A,:43:16 A,:43:02 A,:42:45 A,:42:31 A,:41:06 A,:40:54 A,:40:39 A,:40:24 A,:40:08 A,:39:34 A,:39:21 A,:39:07 A,:38:54 A,:38:42 A,:38:13 A,:37:54 A,:37:34 A,:37:23 A,:37:12 A,:36:37 A,:36:24 A,:36:09 A,:35:51 A,:35:32 A,:35:01 A,:34:50 A,:34:31 A,:34:16 A,:33:59 A,:33:23 A,:33:13 A,:32:57 A,:32:42 A,:32:25 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 337 , 0.024987 , 0.020937 , 0.019363 , 0.021616 , 0.025041 , 0.016297 , 0.021123 , 0.019361 , 0.020115 , 0.020373 , 0.019611 , 0.017 , 0.022159 , 0.019559 , 0.016858 , 0.018007 , 0.018535 , 0.021095 , 0.016088 , 0.022144 , 0.016197 , 0.017764 , 0.017684 , 0.015892 , 0.020844 , 0.01549 , 0.019703 , 0.014461 , 0.020809 , 0.019377 , 0.021952 , 0.020544 , 0.016529 , 0.019924 , 0.019942 
 338 , 0.025284 , 0.020547 , 0.01924 , 0.021377 , 0.025272 , 0.016274 , 0.021143 , 0.0194 , 0.020314 , 0.020351 , 0.019477 , 0.016986 , 0.021966 , 0.019741 , 0.016797 , 0.017923 , 0.018799 , 0.021018 , 0.015878 , 0.021962 , 0.015983 , 0.017688 , 0.017678 , 0.015857 , 0.020982 , 0.015264 , 0.019676 , 0.014211 , 0.021049 , 0.019516 , 0.021867 , 0.020301 , 0.0164 , 0.019543 , 0.019781 
 339 , 0.025338 , 0.020613 , 0.018953 , 0.021384 , 0.025255 , 0.016055 , 0.020896 , 0.019227 , 0.020152 , 0.020079 , 0.019338 , 0.01672 , 0.021812 , 0.01963 , 0.016427 , 0.017779 , 0.018438 , 0.020976 , 0.015852 , 0.021848 , 0.015839 , 0.017749 , 0.017565 , 0.015872 , 0.020618 , 0.015192 , 0.019427 , 0.013987 , 0.02079 , 0.019389 , 0.021866 , 0.020279 , 0.016319 , 0.019606 , 0.019541 
 340 , 0.025347 , 0.020746 , 0.018664 , 0.021438 , 0.0252 , 0.015825 , 0.02063 , 0.019034 , 0.01994 , 0.019791 , 0.019208 , 0.016437 , 0.021676 , 0.01948 , 0.01604 , 0.017635 , 0.018008 , 0.020938 , 0.015856 , 0.021753 , 0.015721 , 0.017825 , 0.017448 , 0.015893 , 0.020203 , 0.015156 , 0.019159 , 0.013784 , 0.02047 , 0.01923 , 0.021874 , 0.020292 , 0.016257 , 0.019738 , 0.019312 
 341 , 0.025359 , 0.020858 , 0.018403 , 0.021497 , 0.025152 , 0.015618 , 0.020394 , 0.01886 , 0.019747 , 0.019531 , 0.019089 , 0.016185 , 0.021545 , 0.019344 , 0.015691 , 0.017501 , 0.017625 , 0.020897 , 0.015858 , 0.02166 , 0.015616 , 0.017891 , 0.017347 , 0.015907 , 0.019832 , 0.015125 , 0.018909 , 0.013595 , 0.020175 , 0.019089 , 0.021876 , 0.020297 , 0.016206 , 0.019856 , 0.019109 
 342 , 0.025253 , 0.020827 , 0.01831 , 0.021451 , 0.024991 , 0.015468 , 0.02024 , 0.018715 , 0.019631 , 0.019354 , 0.01909 , 0.016101 , 0.021486 , 0.019169 , 0.015502 , 0.01736 , 0.017534 , 0.02092 , 0.015791 , 0.021684 , 0.015495 , 0.017822 , 0.017357 , 0.0159 , 0.019641 , 0.015109 , 0.018754 , 0.013563 , 0.020032 , 0.019007 , 0.021838 , 0.020255 , 0.016071 , 0.019937 , 0.019039 
 343 , 0.025025 , 0.020655 , 0.018389 , 0.021294 , 0.024717 , 0.015373 , 0.020167 , 0.018597 , 0.019596 , 0.019264 , 0.019216 , 0.016188 , 0.021506 , 0.018952 , 0.015476 , 0.017214 , 0.017742 , 0.021016 , 0.015658 , 0.021833 , 0.015355 , 0.017615 , 0.017482 , 0.015875 , 0.019634 , 0.015107 , 0.018699 , 0.013698 , 0.020047 , 0.018984 , 0.021762 , 0.020167 , 0.015843 , 0.019981 , 0.019106 
 344 , 0.024829 , 0.020501 , 0.018465 , 0.021149 , 0.024471 , 0.015291 , 0.020102 , 0.018488 , 0.019569 , 0.019182 , 0.019333 , 0.016274 , 0.021532 , 0.018759 , 0.01546 , 0.017086 , 0.017937 , 0.021111 , 0.015544 , 0.021973 , 0.015233 , 0.017433 , 0.017595 , 0.015855 , 0.019634 , 0.015106 , 0.018659 , 0.01383 , 0.020063 , 0.018965 , 0.021693 , 0.020089 , 0.015643 , 0.020022 , 0.019171 
 345 , 0.024691 , 0.020368 , 0.018547 , 0.021039 , 0.024269 , 0.015232 , 0.020055 , 0.018416 , 0.019561 , 0.01912 , 0.019443 , 0.016347 , 0.021565 , 0.018618 , 0.01547 , 0.016995 , 0.01811 , 0.021206 , 0.015468 , 0.022079 , 0.015145 , 0.017285 , 0.017687 , 0.015829 , 0.019637 , 0.015118 , 0.018647 , 0.013941 , 0.020095 , 0.018959 , 0.021637 , 0.020025 , 0.015504 , 0.020061 , 0.019238 
 346 , 0.02505 , 0.020327 , 0.018753 , 0.021218 , 0.024333 , 0.015357 , 0.020178 , 0.018671 , 0.019733 , 0.019208 , 0.019582 , 0.01635 , 0.021698 , 0.018901 , 0.015742 , 0.017217 , 0.018188 , 0.021357 , 0.015711 , 0.021921 , 0.015332 , 0.017325 , 0.017671 , 0.015691 , 0.019663 , 0.015286 , 0.018897 , 0.013877 , 0.020298 , 0.019089 , 0.021693 , 0.020017 , 0.015872 , 0.020108 , 0.019387 
