JUL2MAT00005.spu,JUL2MAT00004.spu,
Wavelength,JUL2MAT00006.spu,JUL2MAT00007.spu,JUL2MAT00008.spu,JUL2MAT00009.spu,JUL2MAT00010.spu,JUL2MAT00011.spu,JUL2MAT00012.spu,JUL2MAT00013.spu,JUL2MAT00014.spu,JUL2MAT00015.spu,JUL2MAT00016.spu,JUL2MAT00017.spu,JUL2MAT00018.spu,JUL2MAT00019.spu,JUL2MAT00020.spu,JUL2MAT00021.spu,JUL2MAT00022.spu,JUL2MAT00023.spu,JUL2MAT00024.spu,JUL2MAT00025.spu,JUL2MAT00026.spu,JUL2MAT00027.spu,JUL2MAT00028.spu,JUL2MAT00029.spu,JUL2MAT00030.spu,JUL2MAT00031.spu,JUL2MAT00032.spu,JUL2MAT00033.spu,JUL2MAT00034.spu,JUL2MAT00035.spu,JUL2MAT00036.spu,JUL2MAT00037.spu,JUL2MAT00038.spu,JUL2MAT00039.spu,JUL2MAT00040.spu,JUL2MAT00041.spu,JUL2MAT00042.spu,JUL2MAT00043.spu,JUL2MAT00044.spu,JUL2MAT00045.spu,JUL2MAT00046.spu,JUL2MAT00047.spu,JUL2MAT00048.spu,JUL2MAT00049.spu,JUL2MAT00050.spu,JUL2MAT00051.spu,JUL2MAT00052.spu,JUL2MAT00053.spu,JUL2MAT00054.spu,JUL2MAT00055.spu,JUL2MAT00056.spu,JUL2MAT00057.spu,JUL2MAT00058.spu,JUL2MAT00059.spu,JUL2MAT00060.spu,JUL2MAT00061.spu,JUL2MAT00062.spu,JUL2MAT00063.spu,JUL2MAT00064.spu,JUL2MAT00065.spu,JUL2MAT00066.spu,JUL2MAT00067.spu,JUL2MAT00068.spu,JUL2MAT00069.spu,JUL2MAT00070.spu,JUL2MAT00071.spu,JUL2MAT00072.spu,JUL2MAT00073.spu,JUL2MAT00074.spu,JUL2MAT00075.spu,JUL2MAT00076.spu,JUL2MAT00077.spu,JUL2MAT00078.spu,JUL2MAT00079.spu,JUL2MAT00080.spu,JUL2MAT00081.spu,JUL2MAT00082.spu,JUL2MAT00083.spu,JUL2MAT00084.spu,JUL2MAT00085.spu
 326 , 0 , 0.375687 , 0 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0 , 0.375687 , 0.375687 , 0.375687 , 0.375687 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.375687 , 0 , 0 , 0.375687 , 0 , 0 , 0.375687 , 0 , 0.375687 , 0.375687 , 0 , 0.375687 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0.583283 , 0 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0 , 0.583283 , 0.583283 , 0.583283 , 0.583283 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.583283 , 0 , 0 , 0.583283 , 0 , 0 , 0.583283 , 0 , 0.583283 , 0.583283 , 0 , 0.583283 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0.764119 , 0 , 0.764119 , 0.764119 , 0.764119 , 0 , 0.764119 , 0.764119 , 0.764119 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.764119 , 0.764119 , 0.764119 , 0 , 0.764119 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 1.759588 , 0 , 1.759588 , 1.759588 , 1.759588 , 0 , 1.759588 , 1.759588 , 1.759588 , 0 , 0 , 0.018218 , 0 , 0.006985 , 0 , 0 , 0 , 1.759588 , 1.759588 , 1.759588 , 0 , 1.759588 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000037 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000563 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 2.561092 , 0 , 2.561092 , 2.561092 , 2.561092 , 0 , 2.561092 , 2.561092 , 2.561092 , 0 , 0 , 0.027204 , 0 , 0.01043 , 0 , 0 , 0 , 2.561092 , 2.561092 , 2.561092 , 0 , 2.561092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000099 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001253 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 3.233596 , 0 , 3.233596 , 3.233596 , 3.233596 , 0 , 3.233596 , 3.233596 , 3.233596 , 0 , 0 , 0.034638 , 0 , 0.013281 , 0 , 0 , 0 , 3.233596 , 3.233596 , 3.233596 , 0 , 3.233596 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000172 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001911 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.552161 , 0 , 3.552161 , 3.552161 , 0 , 0 , 0.002512 , 0.029818 , 0.00116 , 0.011789 , 0 , 0 , 0 , 3.552161 , 0 , 3.552161 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00004 , 0.000886 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000153 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000901 , 0 , 0 , 0.000756 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003218 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.594769 , 0 , 3.594769 , 3.594769 , 0 , 0 , 0.006925 , 0.023921 , 0.002651 , 0.008998 , 0 , 0 , 0 , 3.594769 , 0 , 3.594769 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0001 , 0.001808 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0004 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001876 , 0 , 0 , 0.001957 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00491 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.533496 , 0 , 3.533496 , 3.533496 , 0 , 0 , 0.011114 , 0.020461 , 0.003633 , 0.007108 , 0 , 0 , 0 , 3.533496 , 0 , 3.533496 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000145 , 0.002444 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000611 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002418 , 0 , 0 , 0.00296 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006357 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000112 , 0 , 0.002195 , 0.001017 , 0.002316 , 0.30431 , 0.002469 , 0.000768 , 0.000065 , 0.013924 , 0.021009 , 0.004733 , 0.007023 , 0 , 0.00031 , 0 , 0.021209 , 0 , 3.647483 , 0.000198 , 0 , 0 , 0 , 0 , 0 , 0.000092 , 0 , 0 , 0 , 0 , 0.000203 , 0.000437 , 0.003166 , 0.000213 , 0 , 0 , 0 , 0 , 0 , 0.000059 , 0.000126 , 0 , 0.000056 , 0.000051 , 0.000944 , 0.000015 , 0 , 0.000034 , 0 , 0 , 0 , 0.000052 , 0.000117 , 0.00002 , 0.00315 , 0.000214 , 0.000471 , 0.004295 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000077 , 0 , 0 , 0 , 0 , 0.007985 , 0 , 0 , 0 , 0 
