JUL8MAT00090.spu,JUL8MAT00089.spu,JUL8MAT00088.spu,JUL8MAT00087.spu,JUL8MAT00086.spu,
Wavelength,JUL8MAT00091.spu,JUL8MAT00092.spu,JUL8MAT00093.spu,JUL8MAT00094.spu,JUL8MAT00095.spu,JUL8MAT00096.spu,JUL8MAT00097.spu,JUL8MAT00098.spu,JUL8MAT00099.spu,JUL8MAT00100.spu
  (nm),7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3,7/8/2016 3
  time  ,8:32 PM",8:41 PM",8:48 PM",8:54 PM",9:01 PM",0:08 PM",0:16 PM",0:22 PM",0:28 PM",0:35 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 373 , 0.011848 , 0.010429 , 0.010173 , 0.010133 , 0.008339 , 0.025211 , 0.009023 , 0.012717 , 0.012557 , 0.013883 
 374 , 0.011794 , 0.010465 , 0.010455 , 0.010034 , 0.008583 , 0.02602 , 0.008983 , 0.012678 , 0.012912 , 0.013974 
 375 , 0.011762 , 0.01053 , 0.010692 , 0.009921 , 0.008801 , 0.026774 , 0.00895 , 0.012618 , 0.013231 , 0.014037 
 376 , 0.011949 , 0.010602 , 0.010531 , 0.00984 , 0.008892 , 0.026959 , 0.009106 , 0.012725 , 0.013454 , 0.013845 
 377 , 0.012203 , 0.010659 , 0.010277 , 0.009777 , 0.008887 , 0.026939 , 0.009325 , 0.012869 , 0.013683 , 0.013634 
 378 , 0.01244 , 0.010703 , 0.010075 , 0.009718 , 0.008845 , 0.026941 , 0.009532 , 0.012987 , 0.013948 , 0.013487 
 379 , 0.012573 , 0.010655 , 0.010049 , 0.009729 , 0.008804 , 0.027027 , 0.009595 , 0.012998 , 0.014005 , 0.013473 
 380 , 0.012539 , 0.010426 , 0.010321 , 0.009858 , 0.008797 , 0.02731 , 0.009347 , 0.012826 , 0.013615 , 0.013649 
 381 , 0.012542 , 0.010191 , 0.010579 , 0.009958 , 0.00878 , 0.027652 , 0.009064 , 0.012668 , 0.013234 , 0.013802 
 382 , 0.012565 , 0.009949 , 0.010832 , 0.010043 , 0.00876 , 0.028031 , 0.008757 , 0.012516 , 0.012852 , 0.013944 
 383 , 0.012522 , 0.010319 , 0.011019 , 0.010093 , 0.008809 , 0.028131 , 0.008884 , 0.012585 , 0.013044 , 0.014127 
 384 , 0.012455 , 0.010705 , 0.011183 , 0.010124 , 0.008849 , 0.028151 , 0.009034 , 0.012644 , 0.013259 , 0.014315 
 385 , 0.012375 , 0.011085 , 0.011337 , 0.010146 , 0.008882 , 0.028129 , 0.009186 , 0.012689 , 0.013474 , 0.014504 
 386 , 0.01259 , 0.01136 , 0.011263 , 0.010445 , 0.009091 , 0.028418 , 0.009482 , 0.013015 , 0.013644 , 0.01443 
 387 , 0.012992 , 0.011553 , 0.011043 , 0.010917 , 0.009411 , 0.028906 , 0.00986 , 0.013521 , 0.013776 , 0.014184 
 388 , 0.013371 , 0.011735 , 0.010833 , 0.011368 , 0.009712 , 0.029361 , 0.010221 , 0.014003 , 0.013901 , 0.013951 
 389 , 0.013745 , 0.012012 , 0.010823 , 0.011711 , 0.010005 , 0.02986 , 0.010549 , 0.014391 , 0.014086 , 0.013878 
 390 , 0.014146 , 0.012644 , 0.011471 , 0.011745 , 0.01031 , 0.030572 , 0.01081 , 0.014494 , 0.014494 , 0.014323 
 391 , 0.014535 , 0.01325 , 0.012094 , 0.011778 , 0.010603 , 0.031257 , 0.011063 , 0.014598 , 0.014888 , 0.014751 
 392 , 0.014908 , 0.013832 , 0.012693 , 0.01181 , 0.010883 , 0.031913 , 0.011306 , 0.014696 , 0.015268 , 0.015161 
 393 , 0.015355 , 0.014005 , 0.013011 , 0.012055 , 0.011019 , 0.032408 , 0.011524 , 0.015072 , 0.015685 , 0.015497 
 394 , 0.015783 , 0.014102 , 0.013262 , 0.012317 , 0.011125 , 0.032844 , 0.011724 , 0.015465 , 0.01608 , 0.015799 
 395 , 0.016181 , 0.01419 , 0.013493 , 0.012558 , 0.011222 , 0.033245 , 0.011909 , 0.015829 , 0.016445 , 0.016077 
 396 , 0.016718 , 0.014607 , 0.013937 , 0.013043 , 0.011552 , 0.033896 , 0.012342 , 0.016291 , 0.016828 , 0.016419 
 397 , 0.017357 , 0.015308 , 0.014552 , 0.013727 , 0.012082 , 0.034744 , 0.012989 , 0.016824 , 0.017206 , 0.016806 
 398 , 0.017914 , 0.015919 , 0.015087 , 0.01432 , 0.012542 , 0.03548 , 0.013549 , 0.017289 , 0.017536 , 0.017143 
 399 , 0.0184 , 0.016459 , 0.015546 , 0.014818 , 0.012939 , 0.036116 , 0.014022 , 0.017681 , 0.017859 , 0.017456 
 400 , 0.018815 , 0.016981 , 0.015857 , 0.015091 , 0.013265 , 0.036622 , 0.014281 , 0.017926 , 0.018406 , 0.017882 
 401 , 0.019184 , 0.017446 , 0.01613 , 0.015334 , 0.013551 , 0.037068 , 0.014514 , 0.01814 , 0.018888 , 0.018258 
 402 , 0.019509 , 0.01786 , 0.016377 , 0.015549 , 0.013809 , 0.037469 , 0.014721 , 0.018333 , 0.019322 , 0.018593 
 403 , 0.019898 , 0.018207 , 0.016642 , 0.015807 , 0.014065 , 0.037958 , 0.015065 , 0.0187 , 0.019666 , 0.018772 
 404 , 0.020287 , 0.018514 , 0.016904 , 0.016073 , 0.014318 , 0.038462 , 0.01544 , 0.019109 , 0.019965 , 0.018895 
 405 , 0.020654 , 0.018804 , 0.01715 , 0.016321 , 0.014549 , 0.038932 , 0.015791 , 0.01949 , 0.02025 , 0.019012 
 406 , 0.021072 , 0.019093 , 0.017413 , 0.016556 , 0.014753 , 0.039421 , 0.016059 , 0.019744 , 0.020553 , 0.019203 
 407 , 0.021592 , 0.019388 , 0.017726 , 0.016779 , 0.014926 , 0.039967 , 0.016202 , 0.019819 , 0.020903 , 0.019517 
 408 , 0.022089 , 0.01967 , 0.018023 , 0.016995 , 0.015088 , 0.040484 , 0.016335 , 0.01989 , 0.021236 , 0.019813 
 409 , 0.022557 , 0.019934 , 0.018304 , 0.017199 , 0.015242 , 0.040974 , 0.016465 , 0.019957 , 0.021551 , 0.020097 
 410 , 0.022916 , 0.02027 , 0.018573 , 0.017533 , 0.015421 , 0.041344 , 0.016712 , 0.020211 , 0.021831 , 0.020316 
 411 , 0.023255 , 0.020586 , 0.018831 , 0.017852 , 0.015588 , 0.041691 , 0.016947 , 0.020448 , 0.022093 , 0.020522 
 412 , 0.023574 , 0.020887 , 0.019074 , 0.018154 , 0.015745 , 0.042024 , 0.017174 , 0.020674 , 0.022344 , 0.020716 
 413 , 0.023951 , 0.021242 , 0.019325 , 0.018488 , 0.015966 , 0.042503 , 0.017445 , 0.020987 , 0.022573 , 0.020847 
 414 , 0.024341 , 0.021617 , 0.019572 , 0.018828 , 0.016207 , 0.043052 , 0.017737 , 0.021332 , 0.022796 , 0.020943 
 415 , 0.024718 , 0.02197 , 0.019805 , 0.019151 , 0.016436 , 0.043573 , 0.018017 , 0.021669 , 0.023005 , 0.021034 
 416 , 0.025087 , 0.022314 , 0.020042 , 0.019422 , 0.016658 , 0.044083 , 0.018277 , 0.021964 , 0.023256 , 0.021202 
 417 , 0.025465 , 0.022643 , 0.020302 , 0.019564 , 0.016866 , 0.044596 , 0.018508 , 0.022205 , 0.023628 , 0.021587 
 418 , 0.025836 , 0.022956 , 0.020554 , 0.019703 , 0.017071 , 0.045089 , 0.018731 , 0.022435 , 0.02399 , 0.021956 
 419 , 0.026191 , 0.023262 , 0.020795 , 0.019838 , 0.017265 , 0.045567 , 0.018943 , 0.022656 , 0.024339 , 0.02231 
 420 , 0.026618 , 0.023433 , 0.021016 , 0.020078 , 0.017376 , 0.046078 , 0.019146 , 0.022867 , 0.024603 , 0.022481 
 421 , 0.027051 , 0.02358 , 0.02123 , 0.020322 , 0.017477 , 0.046582 , 0.019342 , 0.023065 , 0.024852 , 0.022624 
 422 , 0.027469 , 0.023725 , 0.021438 , 0.020561 , 0.017577 , 0.047075 , 0.019537 , 0.023262 , 0.02509 , 0.022764 
 423 , 0.027898 , 0.023972 , 0.021722 , 0.02084 , 0.017767 , 0.047523 , 0.019713 , 0.023507 , 0.025364 , 0.022987 
 424 , 0.028341 , 0.024299 , 0.022063 , 0.021157 , 0.018036 , 0.047943 , 0.019882 , 0.023801 , 0.025668 , 0.02328 
 425 , 0.028781 , 0.024621 , 0.022406 , 0.021471 , 0.0183 , 0.048363 , 0.020051 , 0.024092 , 0.025967 , 0.023568 
 426 , 0.029199 , 0.024931 , 0.02272 , 0.021771 , 0.018532 , 0.048774 , 0.020231 , 0.024384 , 0.026267 , 0.023838 
 427 , 0.029503 , 0.025176 , 0.022918 , 0.022001 , 0.018637 , 0.049197 , 0.020496 , 0.024708 , 0.026582 , 0.024035 
 428 , 0.029808 , 0.025412 , 0.023112 , 0.022227 , 0.018742 , 0.049615 , 0.020762 , 0.025027 , 0.026898 , 0.024227 
 429 , 0.030109 , 0.025654 , 0.023311 , 0.022453 , 0.018842 , 0.050029 , 0.021029 , 0.025348 , 0.027209 , 0.02442 
 430 , 0.030572 , 0.025996 , 0.02359 , 0.022769 , 0.019129 , 0.050602 , 0.021385 , 0.025754 , 0.027597 , 0.024702 
 431 , 0.031067 , 0.026357 , 0.023884 , 0.023099 , 0.019452 , 0.051202 , 0.021764 , 0.026175 , 0.027986 , 0.025002 
 432 , 0.031547 , 0.026708 , 0.024171 , 0.023419 , 0.019774 , 0.051789 , 0.022133 , 0.026586 , 0.028375 , 0.025295 
 433 , 0.032018 , 0.027066 , 0.024487 , 0.023706 , 0.020025 , 0.052416 , 0.022445 , 0.026959 , 0.028792 , 0.025636 
 434 , 0.032467 , 0.02742 , 0.024827 , 0.023943 , 0.020195 , 0.053099 , 0.022691 , 0.027291 , 0.029253 , 0.026038 
