JUL8MAT00005.spu,JUL8MAT00003.spu,JUL8MAT00004.spu,
Wavelength,JUL8MAT00006.spu,JUL8MAT00007.spu,JUL8MAT00008.spu,JUL8MAT00009.spu,JUL8MAT00010.spu,JUL8MAT00011.spu,JUL8MAT00012.spu,JUL8MAT00013.spu,JUL8MAT00014.spu,JUL8MAT00015.spu,JUL8MAT00016.spu,JUL8MAT00017.spu,JUL8MAT00018.spu,JUL8MAT00019.spu,JUL8MAT00020.spu,JUL8MAT00021.spu,JUL8MAT00022.spu,JUL8MAT00023.spu,JUL8MAT00024.spu,JUL8MAT00025.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,9:48 PM",9:57 PM",0:06 PM",0:49 PM",1:02 PM",2:28 PM",2:40 PM",2:49 PM",2:57 PM",3:08 PM",4:02 PM",4:09 PM",4:17 PM",4:25 PM",4:32 PM",5:02 PM",5:11 PM",5:24 PM",5:34 PM",6:02 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 343 , 0.002633 , 0.001494 , 0.000741 , 0.001137 , 0 , 0.001221 , 0 , 0.002259 , 0 , 0.000957 , 0.001654 , 0.012311 , 0.005612 , 0.008296 , 4.859065 , 0.027826 , 0.020471 , 4.859065 , 0.181769 , 4.859065 
 344 , 0.003224 , 0.002157 , 0.001124 , 0.001743 , 0 , 0.00199 , 0 , 0.00314 , 0 , 0.001562 , 0.001889 , 0.013101 , 0.006947 , 0.007449 , 4.943544 , 0.024119 , 0.021327 , 4.943544 , 0.157941 , 4.943544 
 345 , 0.003708 , 0.002663 , 0.001442 , 0.002301 , 0.000077 , 0.002712 , 0.000077 , 0.003959 , 0 , 0.002127 , 0.002134 , 0.01381 , 0.008105 , 0.007554 , 0.027699 , 0.022235 , 0.022275 , 4.999718 , 0.148494 , 4.999718 
 346 , 0.003765 , 0.003086 , 0.001733 , 0.003431 , 0.001154 , 0.003448 , 0.001058 , 0.004366 , 0 , 0.002666 , 0.003032 , 0.014539 , 0.008968 , 0.012744 , 0.014384 , 0.023964 , 0.025915 , 4.857685 , 0.141457 , 4.857685 
 347 , 0.003782 , 0.003447 , 0.001986 , 0.004417 , 0.002197 , 0.003965 , 0.001856 , 0.00461 , 0 , 0.003092 , 0.003766 , 0.015128 , 0.009686 , 0.017979 , 0.013432 , 0.025408 , 0.029057 , 4.713092 , 0.135512 , 4.713092 
 348 , 0.003768 , 0.003753 , 0.002204 , 0.00527 , 0.003203 , 0.004325 , 0.002504 , 0.004744 , 0 , 0.003426 , 0.00436 , 0.015588 , 0.010272 , 0.023256 , 0.012835 , 0.026586 , 0.031738 , 4.566239 , 0.130129 , 4.566239 
 349 , 0.004464 , 0.004129 , 0.003162 , 0.006008 , 0.003736 , 0.004392 , 0.002815 , 0.005334 , 0.000418 , 0.003936 , 0.004778 , 0.016918 , 0.011545 , 0.022156 , 0.013082 , 0.025666 , 0.030171 , 0.179067 , 0.094291 , 0.071496 
 350 , 0.005411 , 0.004498 , 0.004357 , 0.006664 , 0.004031 , 0.004374 , 0.002998 , 0.006061 , 0.00103 , 0.004498 , 0.005106 , 0.018486 , 0.013025 , 0.020356 , 0.01357 , 0.024472 , 0.0282 , 0.087398 , 0.075614 , 0.051048 
 351 , 0.006295 , 0.004818 , 0.005451 , 0.007255 , 0.004282 , 0.00436 , 0.003166 , 0.006713 , 0.001649 , 0.005016 , 0.005391 , 0.01989 , 0.014386 , 0.019453 , 0.013995 , 0.023644 , 0.026974 , 0.063523 , 0.067019 , 0.046493 
 352 , 0.007032 , 0.005205 , 0.006173 , 0.00775 , 0.004549 , 0.004534 , 0.003376 , 0.007207 , 0.001928 , 0.005533 , 0.005739 , 0.020521 , 0.0146 , 0.018436 , 0.014251 , 0.023441 , 0.025804 , 0.05403 , 0.061455 , 0.04553 
 353 , 0.007539 , 0.00577 , 0.006263 , 0.008126 , 0.00489 , 0.005085 , 0.003679 , 0.007468 , 0.001543 , 0.006108 , 0.006278 , 0.019852 , 0.013134 , 0.016788 , 0.014233 , 0.024048 , 0.024303 , 0.050195 , 0.05631 , 0.046115 
 354 , 0.008 , 0.006285 , 0.00634 , 0.008479 , 0.005197 , 0.005625 , 0.003941 , 0.007719 , 0.001217 , 0.006662 , 0.006817 , 0.019256 , 0.012114 , 0.015533 , 0.014208 , 0.024588 , 0.023125 , 0.047097 , 0.052452 , 0.046595 
 355 , 0.008418 , 0.006754 , 0.006406 , 0.008809 , 0.005473 , 0.006154 , 0.004169 , 0.007961 , 0.000939 , 0.007196 , 0.007357 , 0.01872 , 0.01136 , 0.014542 , 0.014176 , 0.025069 , 0.022171 , 0.044533 , 0.049437 , 0.046985 
 356 , 0.008418 , 0.006763 , 0.006264 , 0.008854 , 0.00554 , 0.006265 , 0.004569 , 0.008435 , 0.001085 , 0.007352 , 0.007484 , 0.018942 , 0.01126 , 0.014968 , 0.013641 , 0.024105 , 0.022206 , 0.045551 , 0.037608 , 0.032302 
 357 , 0.008396 , 0.006746 , 0.006123 , 0.00888 , 0.005592 , 0.006343 , 0.004934 , 0.008894 , 0.001246 , 0.007478 , 0.007577 , 0.019177 , 0.011191 , 0.015428 , 0.013188 , 0.023235 , 0.022273 , 0.046637 , 0.030756 , 0.025483 
 358 , 0.008372 , 0.006727 , 0.005995 , 0.008901 , 0.00564 , 0.006414 , 0.00526 , 0.009325 , 0.0014 , 0.007594 , 0.007658 , 0.01939 , 0.011125 , 0.015856 , 0.012814 , 0.022495 , 0.022328 , 0.047622 , 0.026439 , 0.021702 
 359 , 0.008448 , 0.00694 , 0.006288 , 0.008824 , 0.005874 , 0.006662 , 0.005457 , 0.009758 , 0.001771 , 0.007725 , 0.007888 , 0.019557 , 0.011596 , 0.016306 , 0.01238 , 0.022171 , 0.022693 , 0.044779 , 0.025708 , 0.020473 
 360 , 0.008585 , 0.007308 , 0.006896 , 0.008712 , 0.006239 , 0.007031 , 0.005564 , 0.010184 , 0.002286 , 0.007865 , 0.008219 , 0.019697 , 0.012451 , 0.016761 , 0.011992 , 0.022124 , 0.023256 , 0.040632 , 0.026829 , 0.020387 
 361 , 0.008707 , 0.007653 , 0.007509 , 0.008633 , 0.00659 , 0.007378 , 0.00566 , 0.010581 , 0.002771 , 0.007995 , 0.00853 , 0.019832 , 0.01328 , 0.017184 , 0.011713 , 0.022097 , 0.023769 , 0.037713 , 0.027881 , 0.020344 
