JUL8MAT00029.spu,JUL8MAT00028.spu,JUL8MAT00027.spu,JUL8MAT00026.spu,
Wavelength,JUL8MAT00031.spu,JUL8MAT00032.spu,JUL8MAT00033.spu,JUL8MAT00034.spu,JUL8MAT00035.spu,JUL8MAT00036.spu,JUL8MAT00037.spu,JUL8MAT00038.spu,JUL8MAT00039.spu,JUL8MAT00040.spu,JUL8MAT00041.spu,JUL8MAT00042.spu,JUL8MAT00043.spu,JUL8MAT00044.spu,JUL8MAT00045.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,3:09 PM",3:18 PM",3:27 PM",3:37 PM",3:44 PM",5:02 PM",5:14 PM",6:48 PM",6:56 PM",8:53 PM",9:33 PM",9:41 PM",9:50 PM",9:59 PM",0:07 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,
 384 , 0.012409 , 0.007729 , 0.014401 , 0.012545 , 0.009157 , 0.014711 , 0.009771 , 0.008154 , 0.011505 , 0.009136 , 0.008352 , 0.011703 , 0.007699 , 0.009107 , 0.012498 
 385 , 0.012378 , 0.007771 , 0.014457 , 0.012662 , 0.009395 , 0.014884 , 0.009944 , 0.008355 , 0.01155 , 0.008974 , 0.008369 , 0.011726 , 0.007979 , 0.009589 , 0.012728 
 386 , 0.012478 , 0.007921 , 0.014743 , 0.012882 , 0.00956 , 0.015233 , 0.009942 , 0.008554 , 0.011648 , 0.009057 , 0.008545 , 0.011977 , 0.008179 , 0.009644 , 0.01301 
 387 , 0.012666 , 0.008136 , 0.015167 , 0.013166 , 0.009673 , 0.015685 , 0.009823 , 0.008743 , 0.011775 , 0.009301 , 0.008826 , 0.012376 , 0.008316 , 0.009412 , 0.013317 
 388 , 0.012853 , 0.00834 , 0.01557 , 0.013441 , 0.009779 , 0.016107 , 0.009706 , 0.008922 , 0.011889 , 0.009536 , 0.009098 , 0.012758 , 0.008449 , 0.009191 , 0.013613 
 389 , 0.01309 , 0.008516 , 0.015902 , 0.013681 , 0.009884 , 0.016497 , 0.009686 , 0.009095 , 0.012032 , 0.009761 , 0.009398 , 0.013135 , 0.008534 , 0.009124 , 0.013812 
 390 , 0.013516 , 0.008623 , 0.016031 , 0.013823 , 0.009991 , 0.01682 , 0.009991 , 0.009275 , 0.012291 , 0.009987 , 0.009813 , 0.013518 , 0.008462 , 0.009551 , 0.013706 
 391 , 0.013928 , 0.008723 , 0.016153 , 0.013956 , 0.010093 , 0.017134 , 0.010281 , 0.009446 , 0.012542 , 0.010206 , 0.010215 , 0.013892 , 0.008392 , 0.009964 , 0.013606 
 392 , 0.014323 , 0.008821 , 0.016268 , 0.014084 , 0.010187 , 0.017434 , 0.010562 , 0.009612 , 0.01278 , 0.010415 , 0.010599 , 0.014251 , 0.008327 , 0.010362 , 0.013513 
 393 , 0.014481 , 0.009296 , 0.01671 , 0.014324 , 0.010605 , 0.017643 , 0.010849 , 0.009745 , 0.012886 , 0.010694 , 0.01072 , 0.014229 , 0.008804 , 0.010818 , 0.01395 
 394 , 0.014586 , 0.009798 , 0.017173 , 0.014563 , 0.011047 , 0.017824 , 0.011115 , 0.009863 , 0.012961 , 0.010965 , 0.010792 , 0.01415 , 0.009337 , 0.011256 , 0.014444 
 395 , 0.014684 , 0.010264 , 0.017603 , 0.014783 , 0.011454 , 0.017996 , 0.01136 , 0.009977 , 0.013033 , 0.011212 , 0.010859 , 0.014077 , 0.009829 , 0.011659 , 0.014901 
 396 , 0.014979 , 0.010763 , 0.018052 , 0.015218 , 0.011766 , 0.018456 , 0.011629 , 0.010285 , 0.013253 , 0.011473 , 0.011196 , 0.014396 , 0.010323 , 0.012008 , 0.015329 
 397 , 0.015443 , 0.011267 , 0.018501 , 0.015823 , 0.011974 , 0.019158 , 0.01191 , 0.010763 , 0.013595 , 0.011734 , 0.011767 , 0.015062 , 0.0108 , 0.012284 , 0.015703 
