
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 524 , 0.08238 , 0.06556 , 0.06281 , 0.07641 , 0.06673 
 525 , 0.08302 , 0.06608 , 0.06333 , 0.07679 , 0.0672 
 526 , 0.08365 , 0.06658 , 0.06384 , 0.07716 , 0.06765 
 527 , 0.08422 , 0.06706 , 0.06432 , 0.07749 , 0.06805 
 528 , 0.08473 , 0.06751 , 0.0648 , 0.07782 , 0.06838 
 529 , 0.08523 , 0.06796 , 0.06526 , 0.07814 , 0.0687 
 530 , 0.08572 , 0.06839 , 0.0657 , 0.07844 , 0.06902 
 531 , 0.08621 , 0.06879 , 0.0661 , 0.07874 , 0.06937 
 532 , 0.0867 , 0.0692 , 0.0665 , 0.07905 , 0.06973 
 533 , 0.08718 , 0.06959 , 0.06688 , 0.07936 , 0.07009 
 534 , 0.08748 , 0.06986 , 0.06716 , 0.07953 , 0.07032 
 535 , 0.08779 , 0.07014 , 0.06747 , 0.07974 , 0.07058 
 536 , 0.08809 , 0.07042 , 0.06777 , 0.07994 , 0.07083 
 537 , 0.08836 , 0.07067 , 0.06803 , 0.0801 , 0.07104 
 538 , 0.08861 , 0.07088 , 0.06825 , 0.08023 , 0.07124 
 539 , 0.08886 , 0.0711 , 0.06848 , 0.08036 , 0.07144 
 540 , 0.08911 , 0.07131 , 0.0687 , 0.08048 , 0.07163 
 541 , 0.08943 , 0.07158 , 0.06899 , 0.08069 , 0.07188 
 542 , 0.08975 , 0.07185 , 0.06928 , 0.0809 , 0.07213 
 543 , 0.09006 , 0.07211 , 0.06957 , 0.08111 , 0.07237 
 544 , 0.09039 , 0.0724 , 0.06984 , 0.08134 , 0.07262 
 545 , 0.0907 , 0.07268 , 0.07008 , 0.08156 , 0.07284 
 546 , 0.09101 , 0.07295 , 0.07031 , 0.08178 , 0.07306 
 547 , 0.09126 , 0.07317 , 0.07051 , 0.08194 , 0.07325 
 548 , 0.09145 , 0.07335 , 0.07069 , 0.08208 , 0.07342 
 549 , 0.09165 , 0.07354 , 0.07088 , 0.08222 , 0.07359 
