
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 343 , 0.25228 , 0.21753 , 0.28433 , 0.25608 , 0.1628 , 0.21604 , 0.43509 , 0.38074 , 0.21753 , 0.21145 , 0.26773 , 0.32556 , 0.35078 , 0.40407 , 0.32182 , 0.25645 
 344 , 0.25195 , 0.20245 , 0.27163 , 0.26903 , 0.16186 , 0.22206 , 0.45433 , 0.39474 , 0.22329 , 0.2121 , 0.27712 , 0.33084 , 0.36731 , 0.41528 , 0.32905 , 0.26327 
 345 , 0.25238 , 0.1904 , 0.26196 , 0.28097 , 0.16207 , 0.22819 , 0.47319 , 0.40845 , 0.22917 , 0.21325 , 0.28636 , 0.33605 , 0.3834 , 0.42685 , 0.33641 , 0.27052 
 346 , 0.26362 , 0.21389 , 0.28697 , 0.28478 , 0.17681 , 0.23822 , 0.49364 , 0.42431 , 0.23894 , 0.22122 , 0.29702 , 0.3429 , 0.40085 , 0.44762 , 0.34811 , 0.28613 
 347 , 0.27431 , 0.23626 , 0.3111 , 0.28842 , 0.19104 , 0.24774 , 0.51329 , 0.43955 , 0.24832 , 0.22887 , 0.30724 , 0.34945 , 0.4178 , 0.46763 , 0.35933 , 0.30118 
 348 , 0.28448 , 0.2576 , 0.3344 , 0.29191 , 0.20479 , 0.2568 , 0.53219 , 0.45422 , 0.25732 , 0.23622 , 0.31707 , 0.35571 , 0.43427 , 0.48692 , 0.37011 , 0.31569 
 349 , 0.29348 , 0.27043 , 0.34648 , 0.30264 , 0.20456 , 0.25547 , 0.54842 , 0.46166 , 0.25505 , 0.23243 , 0.31786 , 0.36589 , 0.44222 , 0.50167 , 0.37875 , 0.3183 
 350 , 0.30187 , 0.27961 , 0.35372 , 0.31601 , 0.19868 , 0.24991 , 0.56319 , 0.46601 , 0.24827 , 0.22424 , 0.31502 , 0.37748 , 0.44653 , 0.51427 , 0.38638 , 0.31605 
 351 , 0.31002 , 0.28852 , 0.36065 , 0.32881 , 0.19303 , 0.24451 , 0.57738 , 0.4702 , 0.24175 , 0.21634 , 0.31229 , 0.38872 , 0.45063 , 0.52645 , 0.39377 , 0.31387 
 352 , 0.31365 , 0.29145 , 0.36385 , 0.33889 , 0.1905 , 0.24212 , 0.5876 , 0.4768 , 0.24004 , 0.2133 , 0.3122 , 0.39724 , 0.45623 , 0.53569 , 0.39938 , 0.31395 
 353 , 0.30826 , 0.28253 , 0.35979 , 0.34398 , 0.1941 , 0.24577 , 0.59029 , 0.48849 , 0.24793 , 0.21987 , 0.3174 , 0.40058 , 0.46508 , 0.53941 , 0.40161 , 0.31857 
 354 , 0.30304 , 0.27403 , 0.35589 , 0.34891 , 0.19758 , 0.24928 , 0.59288 , 0.49983 , 0.25551 , 0.22618 , 0.32241 , 0.40378 , 0.47365 , 0.54296 , 0.40374 , 0.32301 
 355 , 0.298 , 0.26593 , 0.35214 , 0.3537 , 0.20095 , 0.25264 , 0.59538 , 0.51082 , 0.2628 , 0.23226 , 0.32725 , 0.40683 , 0.48194 , 0.54635 , 0.40578 , 0.32728 
 356 , 0.30676 , 0.28171 , 0.35876 , 0.35091 , 0.19372 , 0.25701 , 0.59498 , 0.50952 , 0.2601 , 0.22969 , 0.33028 , 0.41103 , 0.48264 , 0.5522 , 0.41258 , 0.32813 
