  time  ,:54:32 A,:54:39 A,:54:47 A,:54:55 A,:55:04 A,:55:21 A,:55:37 A,:55:44 A,:55:52 A,:56:00 A,:56:34 A,:56:43 A,:56:51 A,:57:00 A,:57:08 A,:57:33 A,:57:41 A,:57:50 A,:57:57 A,:58:04 A,:58:57 A,:59:10 A,:59:18 A,:59:26 A,:59:33 A,:00:17 A,:00:28 A,:00:35 A,:00:46 A,:00:54 A,:01:48 A,:02:00 A,:02:10 A,:02:18 A,:02:27 A,:02:48 A,:02:57 A,:03:06 A,:03:17 A,:03:27 A,:04:13 A,:04:23 A,:04:30 A,:04:38 A,:04:46 A,:05:06 A,:05:15 A,:05:25 A,:05:34 A,:05:44 A,:06:22 A,:06:32 A,:06:42 A,:06:53 A,:07:05 A,:07:32 A,:07:42 A,:07:54 A,:08:03 A,:08:13 A,:09:01 A,:09:09 A,:09:17 A,:09:25 A,:09:33 A,:09:58 A,:10:34 A,:10:41 A,:10:48 A,:10:56 A,:12:44 A,:12:51 A,:12:58 A,:13:13 A,:13:22 A,:13:41 A,:13:48 A,:13:54 A,:14:03 A,:14:16 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 795 , 0.11351 , 0.268978 , 0.307731 , 0.241328 , 0.28163 , 0.248269 , 0.350086 , 0.253156 , 0.282878 , 0.306816 , 0.146537 , 0.297471 , 0.314604 , 0.201779 , 0.081284 , 0.155473 , 0.145182 , 0.23019 , 0.306897 , 0.210908 , 0.313131 , 0.370841 , 0.239738 , 0.293318 , 0.35627 , 0.256502 , 0.307816 , 0.231924 , 0.414786 , 0.273027 , 0.23673 , 0.328048 , 0.293147 , 0.387947 , 0.329143 , 0.150334 , 0.234946 , 0.290782 , 0.171697 , 0.316811 , 0.27132 , 0.26892 , 0.294502 , 0.243355 , 0.340799 , 0.269158 , 0.363688 , 0.403922 , 0.307821 , 0.289683 , 0.25643 , 0.17634 , 0.298124 , 0.330048 , 0.404769 , 0.336619 , 0.216462 , 0.265082 , 0.183218 , 0.353108 , 0.272041 , 0.295286 , 0.255273 , 0.25929 , 0.349118 , 0.426591 , 0.284558 , 0.308893 , 0.344091 , 0.317275 , 0.335056 , 0.222691 , 0.240198 , 0.240513 , 0.2449 , 0.135683 , 0.170147 , 0.118018 , 0.149996 , 0.237986 
 796 , 0.113648 , 0.269332 , 0.308236 , 0.241598 , 0.281885 , 0.248339 , 0.350331 , 0.253389 , 0.283261 , 0.307144 , 0.146757 , 0.297933 , 0.315098 , 0.202068 , 0.081395 , 0.155635 , 0.145274 , 0.230456 , 0.307217 , 0.211145 , 0.313425 , 0.371352 , 0.240047 , 0.293649 , 0.356707 , 0.256667 , 0.308294 , 0.232111 , 0.4153 , 0.273197 , 0.237048 , 0.328481 , 0.293681 , 0.388513 , 0.329626 , 0.150522 , 0.235317 , 0.291088 , 0.171912 , 0.3171 , 0.271641 , 0.269328 , 0.294808 , 0.243609 , 0.341191 , 0.269319 , 0.364065 , 0.404348 , 0.3081 , 0.289997 , 0.256753 , 0.17662 , 0.298293 , 0.330402 , 0.405196 , 0.33698 , 0.216727 , 0.265265 , 0.183428 , 0.353478 , 0.272344 , 0.295475 , 0.255684 , 0.259593 , 0.349614 , 0.427109 , 0.284803 , 0.309259 , 0.344276 , 0.317551 , 0.335519 , 0.223089 , 0.240453 , 0.240827 , 0.245174 , 0.135886 , 0.170303 , 0.11817 , 0.150139 , 0.23823 
 797 , 0.113773 , 0.269656 , 0.308745 , 0.241902 , 0.282138 , 0.248461 , 0.35062 , 0.253617 , 0.283641 , 0.307472 , 0.146967 , 0.298412 , 0.315598 , 0.202348 , 0.081501 , 0.155788 , 0.14536 , 0.230729 , 0.307522 , 0.211386 , 0.31372 , 0.371882 , 0.24034 , 0.293979 , 0.357147 , 0.256849 , 0.308768 , 0.232305 , 0.415824 , 0.27338 , 0.237383 , 0.32891 , 0.2942 , 0.389068 , 0.330116 , 0.150714 , 0.235704 , 0.291406 , 0.17217 , 0.317394 , 0.271954 , 0.269733 , 0.29513 , 0.243906 , 0.341595 , 0.269484 , 0.364438 , 0.404791 , 0.308393 , 0.290309 , 0.257093 , 0.176915 , 0.29848 , 0.33077 , 0.405631 , 0.337325 , 0.216974 , 0.265431 , 0.183654 , 0.353856 , 0.272631 , 0.295681 , 0.256095 , 0.259892 , 0.350132 , 0.427647 , 0.28505 , 0.309616 , 0.344467 , 0.317837 , 0.335975 , 0.223488 , 0.240728 , 0.241144 , 0.245441 , 0.136087 , 0.170446 , 0.118333 , 0.150294 , 0.238458 
 798 , 0.11384 , 0.269909 , 0.309245 , 0.24225 , 0.282405 , 0.248729 , 0.351054 , 0.253783 , 0.283978 , 0.307731 , 0.147118 , 0.298897 , 0.316067 , 0.202584 , 0.081579 , 0.15587 , 0.145454 , 0.230984 , 0.307758 , 0.211658 , 0.314028 , 0.37246 , 0.240569 , 0.294313 , 0.357569 , 0.257111 , 0.309164 , 0.232535 , 0.416317 , 0.273625 , 0.23773 , 0.329354 , 0.294647 , 0.389613 , 0.33057 , 0.150888 , 0.236084 , 0.291745 , 0.172566 , 0.317699 , 0.272278 , 0.270126 , 0.295497 , 0.244307 , 0.34203 , 0.269688 , 0.364798 , 0.405268 , 0.308725 , 0.290592 , 0.257445 , 0.177259 , 0.298734 , 0.331131 , 0.406037 , 0.337632 , 0.217196 , 0.265583 , 0.183909 , 0.354255 , 0.272848 , 0.2959 , 0.256478 , 0.260149 , 0.350638 , 0.428266 , 0.285276 , 0.30995 , 0.34472 , 0.318124 , 0.336393 , 0.223855 , 0.241057 , 0.241441 , 0.245646 , 0.136286 , 0.170536 , 0.118533 , 0.150472 , 0.238643 
 799 , 0.113902 , 0.270202 , 0.309748 , 0.242537 , 0.282721 , 0.248994 , 0.351531 , 0.253938 , 0.284311 , 0.307937 , 0.147267 , 0.299361 , 0.316522 , 0.202805 , 0.081659 , 0.155911 , 0.14556 , 0.231208 , 0.307973 , 0.211956 , 0.314375 , 0.373069 , 0.240812 , 0.294688 , 0.357996 , 0.257429 , 0.309522 , 0.232793 , 0.416776 , 0.27391 , 0.23805 , 0.329829 , 0.295078 , 0.390234 , 0.331024 , 0.151048 , 0.236456 , 0.29208 , 0.172981 , 0.318056 , 0.272642 , 0.270528 , 0.295911 , 0.244701 , 0.34248 , 0.269908 , 0.365182 , 0.405769 , 0.309073 , 0.290867 , 0.25776 , 0.177608 , 0.299026 , 0.331463 , 0.406412 , 0.337956 , 0.217467 , 0.26576 , 0.18416 , 0.354691 , 0.273082 , 0.296101 , 0.256836 , 0.260386 , 0.351055 , 0.428943 , 0.285511 , 0.310291 , 0.34502 , 0.318378 , 0.33682 , 0.224199 , 0.241414 , 0.241727 , 0.245824 , 0.136487 , 0.170635 , 0.118742 , 0.15065 , 0.23886 
 800 , 0.113963 , 0.270499 , 0.310261 , 0.242831 , 0.283047 , 0.249266 , 0.352014 , 0.254101 , 0.284648 , 0.308152 , 0.147421 , 0.299831 , 0.316982 , 0.203033 , 0.081742 , 0.155956 , 0.145671 , 0.231435 , 0.308189 , 0.212262 , 0.314728 , 0.373691 , 0.241054 , 0.295078 , 0.358436 , 0.257756 , 0.309894 , 0.233059 , 0.417244 , 0.274199 , 0.238383 , 0.330315 , 0.295514 , 0.390869 , 0.331489 , 0.151217 , 0.236832 , 0.29243 , 0.173402 , 0.318415 , 0.273016 , 0.270939 , 0.296334 , 0.245108 , 0.34294 , 0.270127 , 0.365578 , 0.406284 , 0.309431 , 0.291146 , 0.258087 , 0.177964 , 0.299318 , 0.331798 , 0.406791 , 0.338287 , 0.21774 , 0.265946 , 0.184417 , 0.355134 , 0.27332 , 0.296307 , 0.257198 , 0.260626 , 0.351479 , 0.429634 , 0.285745 , 0.310642 , 0.345325 , 0.318637 , 0.337262 , 0.224556 , 0.241779 , 0.24202 , 0.24601 , 0.136687 , 0.170735 , 0.118956 , 0.150827 , 0.239077 
 801 , 0.113911 , 0.270775 , 0.3106 , 0.242941 , 0.283294 , 0.249419 , 0.352366 , 0.254174 , 0.284816 , 0.308286 , 0.147554 , 0.300217 , 0.317282 , 0.203275 , 0.081827 , 0.155977 , 0.145699 , 0.231577 , 0.308372 , 0.212508 , 0.315023 , 0.374212 , 0.241287 , 0.295449 , 0.358807 , 0.257933 , 0.310286 , 0.233218 , 0.417619 , 0.274352 , 0.238691 , 0.330764 , 0.295867 , 0.391418 , 0.331892 , 0.1513 , 0.237055 , 0.292626 , 0.173642 , 0.318737 , 0.27332 , 0.271338 , 0.296663 , 0.245055 , 0.343288 , 0.27032 , 0.365939 , 0.406723 , 0.309677 , 0.291358 , 0.258324 , 0.178183 , 0.299526 , 0.332037 , 0.407083 , 0.338524 , 0.21799 , 0.266088 , 0.184583 , 0.355516 , 0.273598 , 0.296481 , 0.257524 , 0.260847 , 0.351825 , 0.430175 , 0.28593 , 0.310932 , 0.345515 , 0.318768 , 0.337647 , 0.224836 , 0.242046 , 0.242318 , 0.246146 , 0.136844 , 0.170855 , 0.119125 , 0.150931 , 0.239305 
 802 , 0.113829 , 0.271001 , 0.3109 , 0.243055 , 0.283478 , 0.249574 , 0.352589 , 0.254229 , 0.284922 , 0.308404 , 0.147661 , 0.300633 , 0.317578 , 0.203521 , 0.081902 , 0.156056 , 0.145661 , 0.231749 , 0.308541 , 0.212654 , 0.315291 , 0.3747 , 0.241484 , 0.29574 , 0.359153 , 0.258001 , 0.310681 , 0.233357 , 0.417997 , 0.27445 , 0.238992 , 0.331111 , 0.296214 , 0.391882 , 0.332186 , 0.151396 , 0.237247 , 0.292811 , 0.173826 , 0.318935 , 0.27358 , 0.271726 , 0.296902 , 0.245 , 0.343611 , 0.270496 , 0.366205 , 0.407074 , 0.309871 , 0.291513 , 0.258598 , 0.178399 , 0.299672 , 0.3323 , 0.407342 , 0.338696 , 0.218157 , 0.266141 , 0.18474 , 0.355855 , 0.273866 , 0.296743 , 0.257869 , 0.261057 , 0.352175 , 0.430565 , 0.286138 , 0.31116 , 0.345615 , 0.318926 , 0.33804 , 0.22514 , 0.242263 , 0.242659 , 0.246312 , 0.136988 , 0.170965 , 0.119286 , 0.151018 , 0.239539 
 803 , 0.113743 , 0.271237 , 0.311207 , 0.243172 , 0.283662 , 0.249736 , 0.35282 , 0.254287 , 0.285027 , 0.308523 , 0.147779 , 0.301059 , 0.317881 , 0.203777 , 0.081985 , 0.156133 , 0.145625 , 0.231924 , 0.30871 , 0.212801 , 0.315562 , 0.375207 , 0.241684 , 0.296038 , 0.359508 , 0.258076 , 0.311084 , 0.233499 , 0.418386 , 0.274542 , 0.239301 , 0.33147 , 0.296567 , 0.392357 , 0.332488 , 0.15149 , 0.237443 , 0.293002 , 0.174014 , 0.319136 , 0.273843 , 0.272122 , 0.297152 , 0.244938 , 0.343946 , 0.27068 , 0.366474 , 0.40743 , 0.310075 , 0.291674 , 0.258875 , 0.178624 , 0.299822 , 0.33257 , 0.407608 , 0.338879 , 0.218325 , 0.266197 , 0.184896 , 0.356203 , 0.274144 , 0.29701 , 0.258222 , 0.261271 , 0.352533 , 0.430967 , 0.286356 , 0.311399 , 0.345717 , 0.319086 , 0.338446 , 0.225455 , 0.242487 , 0.243012 , 0.246486 , 0.137134 , 0.171078 , 0.119454 , 0.151112 , 0.239775 
 804 , 0.113667 , 0.271501 , 0.311551 , 0.243271 , 0.283757 , 0.249875 , 0.352991 , 0.25445 , 0.285251 , 0.308609 , 0.147851 , 0.301468 , 0.31823 , 0.203976 , 0.081999 , 0.15622 , 0.1456 , 0.232123 , 0.30892 , 0.212937 , 0.315796 , 0.375684 , 0.241909 , 0.296288 , 0.35983 , 0.258176 , 0.311441 , 0.233641 , 0.418746 , 0.274663 , 0.239544 , 0.331806 , 0.296912 , 0.392799 , 0.332773 , 0.151605 , 0.237656 , 0.293208 , 0.17422 , 0.319316 , 0.274086 , 0.272468 , 0.297361 , 0.244989 , 0.344287 , 0.270786 , 0.366755 , 0.407815 , 0.310337 , 0.291838 , 0.25912 , 0.178858 , 0.299964 , 0.332846 , 0.407911 , 0.339094 , 0.218478 , 0.26628 , 0.185055 , 0.356548 , 0.274356 , 0.297242 , 0.258584 , 0.261467 , 0.352849 , 0.431314 , 0.286567 , 0.311634 , 0.345845 , 0.319279 , 0.338883 , 0.225789 , 0.242698 , 0.243303 , 0.246653 , 0.137286 , 0.17119 , 0.119607 , 0.15122 , 0.240012 
 805 , 0.113611 , 0.271742 , 0.311917 , 0.243373 , 0.283884 , 0.249971 , 0.353154 , 0.254675 , 0.285535 , 0.308735 , 0.147933 , 0.301912 , 0.318556 , 0.204178 , 0.081964 , 0.156287 , 0.145625 , 0.232307 , 0.309149 , 0.213166 , 0.315995 , 0.376116 , 0.242196 , 0.296551 , 0.360125 , 0.258321 , 0.31177 , 0.23376 , 0.419146 , 0.274781 , 0.239732 , 0.332124 , 0.297232 , 0.393196 , 0.33308 , 0.15174 , 0.237884 , 0.29337 , 0.174439 , 0.319535 , 0.274339 , 0.272781 , 0.297526 , 0.245079 , 0.344579 , 0.270795 , 0.367017 , 0.408226 , 0.31062 , 0.292105 , 0.2593 , 0.179051 , 0.300009 , 0.333094 , 0.408281 , 0.339324 , 0.218674 , 0.266417 , 0.18517 , 0.356855 , 0.274546 , 0.297347 , 0.258859 , 0.261617 , 0.353205 , 0.431615 , 0.28673 , 0.311871 , 0.345996 , 0.319453 , 0.339246 , 0.226118 , 0.242895 , 0.243461 , 0.24678 , 0.137418 , 0.171267 , 0.119735 , 0.151294 , 0.240206 
 806 , 0.11356 , 0.271984 , 0.312297 , 0.243485 , 0.284043 , 0.250064 , 0.353325 , 0.254909 , 0.285827 , 0.308881 , 0.148028 , 0.302381 , 0.318885 , 0.204389 , 0.081932 , 0.156345 , 0.145654 , 0.232486 , 0.309379 , 0.21342 , 0.316207 , 0.376555 , 0.242508 , 0.296836 , 0.360425 , 0.258472 , 0.312113 , 0.233874 , 0.419579 , 0.274906 , 0.239927 , 0.332452 , 0.297555 , 0.393602 , 0.333401 , 0.151887 , 0.23812 , 0.293526 , 0.174674 , 0.319775 , 0.274602 , 0.273099 , 0.297698 , 0.245168 , 0.344871 , 0.27079 , 0.36728 , 0.408658 , 0.31091 , 0.292406 , 0.259477 , 0.179233 , 0.30004 , 0.333346 , 0.408676 , 0.339556 , 0.218892 , 0.266567 , 0.185276 , 0.35717 , 0.27475 , 0.29743 , 0.259118 , 0.261764 , 0.353593 , 0.431929 , 0.286892 , 0.312113 , 0.346152 , 0.319622 , 0.339593 , 0.226447 , 0.243098 , 0.243601 , 0.246897 , 0.137555 , 0.171336 , 0.119862 , 0.151357 , 0.240397 
 807 , 0.113522 , 0.272167 , 0.312633 , 0.243608 , 0.284236 , 0.250161 , 0.353484 , 0.255099 , 0.286069 , 0.30901 , 0.148084 , 0.302799 , 0.319145 , 0.204549 , 0.081942 , 0.156395 , 0.145691 , 0.232608 , 0.30957 , 0.213666 , 0.316391 , 0.376933 , 0.242766 , 0.297088 , 0.360708 , 0.25864 , 0.312444 , 0.233982 , 0.419977 , 0.275032 , 0.240096 , 0.332732 , 0.297866 , 0.393959 , 0.333704 , 0.152017 , 0.238342 , 0.293654 , 0.174902 , 0.319987 , 0.274865 , 0.273393 , 0.297852 , 0.245265 , 0.34514 , 0.270783 , 0.367488 , 0.408991 , 0.311166 , 0.292682 , 0.259662 , 0.179414 , 0.300078 , 0.333561 , 0.409028 , 0.339762 , 0.219117 , 0.266711 , 0.185384 , 0.357441 , 0.274948 , 0.297528 , 0.259343 , 0.261893 , 0.35397 , 0.432232 , 0.287059 , 0.312346 , 0.346283 , 0.319779 , 0.339892 , 0.226776 , 0.243261 , 0.243728 , 0.247005 , 0.137689 , 0.171385 , 0.119978 , 0.151425 , 0.240577 
 808 , 0.11351 , 0.272212 , 0.312805 , 0.243729 , 0.284447 , 0.250309 , 0.353617 , 0.255174 , 0.286177 , 0.309029 , 0.148006 , 0.303016 , 0.319246 , 0.204555 , 0.082055 , 0.156437 , 0.145732 , 0.232596 , 0.309662 , 0.213823 , 0.316493 , 0.377152 , 0.242855 , 0.29724 , 0.360955 , 0.258805 , 0.312698 , 0.23408 , 0.420237 , 0.275156 , 0.240176 , 0.332876 , 0.298138 , 0.394214 , 0.333941 , 0.152099 , 0.238521 , 0.29372 , 0.175109 , 0.320102 , 0.275077 , 0.273607 , 0.297952 , 0.245361 , 0.345353 , 0.270771 , 0.3676 , 0.408984 , 0.311345 , 0.292804 , 0.259828 , 0.179615 , 0.30018 , 0.333657 , 0.409188 , 0.339893 , 0.219319 , 0.266832 , 0.185516 , 0.357588 , 0.275063 , 0.297668 , 0.25948 , 0.261996 , 0.35423 , 0.432477 , 0.287191 , 0.31254 , 0.346348 , 0.319846 , 0.34007 , 0.227076 , 0.243292 , 0.243836 , 0.247087 , 0.137799 , 0.171426 , 0.120072 , 0.151499 , 0.240669 
 809 , 0.113498 , 0.272262 , 0.312944 , 0.243826 , 0.284578 , 0.250513 , 0.353785 , 0.255251 , 0.286294 , 0.308994 , 0.147899 , 0.303203 , 0.319379 , 0.204552 , 0.082166 , 0.156479 , 0.145758 , 0.23262 , 0.309778 , 0.213939 , 0.316586 , 0.377409 , 0.242903 , 0.297378 , 0.36125 , 0.258981 , 0.312944 , 0.234192 , 0.420459 , 0.27527 , 0.240249 , 0.333043 , 0.298437 , 0.394537 , 0.334194 , 0.15217 , 0.238724 , 0.293816 , 0.175305 , 0.320205 , 0.275275 , 0.273834 , 0.298064 , 0.245444 , 0.345601 , 0.270779 , 0.367788 , 0.408927 , 0.311545 , 0.29286 , 0.259993 , 0.179842 , 0.30033 , 0.333733 , 0.409272 , 0.340037 , 0.219479 , 0.26696 , 0.185657 , 0.35773 , 0.275135 , 0.29784 , 0.259625 , 0.262143 , 0.354447 , 0.432724 , 0.287306 , 0.312734 , 0.346417 , 0.319888 , 0.340289 , 0.227393 , 0.243313 , 0.243989 , 0.247183 , 0.13791 , 0.171495 , 0.120167 , 0.151597 , 0.240725 
 810 , 0.113489 , 0.272314 , 0.313094 , 0.243926 , 0.284711 , 0.250731 , 0.353964 , 0.255337 , 0.286423 , 0.30896 , 0.147788 , 0.303395 , 0.31952 , 0.204549 , 0.082281 , 0.156524 , 0.145786 , 0.232641 , 0.309905 , 0.214056 , 0.316677 , 0.377679 , 0.242953 , 0.297516 , 0.361559 , 0.259163 , 0.313197 , 0.234306 , 0.420691 , 0.275396 , 0.24033 , 0.333223 , 0.298751 , 0.394871 , 0.334457 , 0.152249 , 0.238931 , 0.29392 , 0.175511 , 0.32032 , 0.27548 , 0.274072 , 0.29818 , 0.24553 , 0.345859 , 0.270784 , 0.367984 , 0.408863 , 0.311757 , 0.292919 , 0.260159 , 0.180085 , 0.300491 , 0.333807 , 0.409364 , 0.340191 , 0.219645 , 0.26709 , 0.185809 , 0.357883 , 0.275213 , 0.298017 , 0.25978 , 0.262296 , 0.354665 , 0.432981 , 0.287424 , 0.312935 , 0.34649 , 0.319932 , 0.340518 , 0.227721 , 0.243328 , 0.244151 , 0.247289 , 0.138027 , 0.171564 , 0.120265 , 0.151702 , 0.240788 
 811 , 0.113602 , 0.272492 , 0.313298 , 0.244102 , 0.284899 , 0.250909 , 0.354127 , 0.255368 , 0.286668 , 0.30904 , 0.147897 , 0.303525 , 0.319626 , 0.204733 , 0.0824 , 0.156548 , 0.145864 , 0.232682 , 0.309979 , 0.214098 , 0.316781 , 0.377992 , 0.243112 , 0.297699 , 0.36176 , 0.259306 , 0.313401 , 0.234418 , 0.420887 , 0.275576 , 0.240375 , 0.333384 , 0.299056 , 0.395074 , 0.334783 , 0.15237 , 0.239098 , 0.29393 , 0.175822 , 0.32047 , 0.275698 , 0.274323 , 0.298347 , 0.245731 , 0.346189 , 0.270967 , 0.368186 , 0.408978 , 0.312063 , 0.292977 , 0.260311 , 0.180347 , 0.300633 , 0.333881 , 0.409438 , 0.340341 , 0.219914 , 0.267239 , 0.186036 , 0.35799 , 0.275388 , 0.298235 , 0.259912 , 0.262466 , 0.354958 , 0.433166 , 0.287565 , 0.313185 , 0.346649 , 0.319987 , 0.340707 , 0.228147 , 0.243295 , 0.244229 , 0.24752 , 0.138091 , 0.171738 , 0.120338 , 0.151788 , 0.240915 
 812 , 0.113741 , 0.272755 , 0.313632 , 0.244398 , 0.285175 , 0.251055 , 0.354325 , 0.25542 , 0.287002 , 0.309225 , 0.148054 , 0.303693 , 0.319804 , 0.204891 , 0.082539 , 0.156599 , 0.145978 , 0.232688 , 0.310063 , 0.214218 , 0.316946 , 0.378374 , 0.243319 , 0.29792 , 0.361891 , 0.259502 , 0.313726 , 0.234539 , 0.421101 , 0.275863 , 0.240499 , 0.333599 , 0.299413 , 0.395206 , 0.335205 , 0.152527 , 0.239289 , 0.293918 , 0.176176 , 0.320699 , 0.275961 , 0.274596 , 0.298612 , 0.245984 , 0.346514 , 0.271187 , 0.368388 , 0.409246 , 0.312379 , 0.29308 , 0.260528 , 0.180644 , 0.300788 , 0.334037 , 0.409608 , 0.340492 , 0.220254 , 0.267397 , 0.186322 , 0.358138 , 0.275646 , 0.298481 , 0.260156 , 0.262647 , 0.355294 , 0.433465 , 0.287784 , 0.313481 , 0.346829 , 0.320082 , 0.340977 , 0.228635 , 0.243329 , 0.244303 , 0.247788 , 0.138181 , 0.171906 , 0.120412 , 0.151877 , 0.241149 
 813 , 0.113881 , 0.273027 , 0.313984 , 0.244703 , 0.285467 , 0.251206 , 0.354526 , 0.255476 , 0.287351 , 0.309412 , 0.148217 , 0.303872 , 0.319992 , 0.205053 , 0.082685 , 0.156652 , 0.146096 , 0.232692 , 0.310149 , 0.214348 , 0.31712 , 0.378774 , 0.243536 , 0.298158 , 0.362022 , 0.259708 , 0.314065 , 0.234666 , 0.421328 , 0.276158 , 0.240632 , 0.333826 , 0.299792 , 0.395347 , 0.335649 , 0.152685 , 0.239489 , 0.293902 , 0.176555 , 0.320937 , 0.276233 , 0.274883 , 0.298894 , 0.246252 , 0.346852 , 0.271421 , 0.368601 , 0.40953 , 0.312704 , 0.293194 , 0.260756 , 0.180957 , 0.300954 , 0.334199 , 0.40979 , 0.34065 , 0.220611 , 0.267562 , 0.186619 , 0.358295 , 0.275917 , 0.298743 , 0.260411 , 0.262834 , 0.355651 , 0.433783 , 0.288008 , 0.313791 , 0.347017 , 0.320176 , 0.341255 , 0.229145 , 0.243361 , 0.244386 , 0.24807 , 0.138275 , 0.172082 , 0.120493 , 0.151967 , 0.241397 
 814 , 0.113976 , 0.273192 , 0.314384 , 0.245026 , 0.285704 , 0.251407 , 0.354811 , 0.255631 , 0.287705 , 0.309551 , 0.148381 , 0.304147 , 0.320288 , 0.205133 , 0.082737 , 0.156763 , 0.146181 , 0.232713 , 0.310292 , 0.214534 , 0.317357 , 0.379202 , 0.243762 , 0.298404 , 0.362192 , 0.259883 , 0.314436 , 0.23479 , 0.421573 , 0.276449 , 0.240812 , 0.334116 , 0.300103 , 0.395559 , 0.336117 , 0.152827 , 0.239698 , 0.293996 , 0.176839 , 0.321213 , 0.276524 , 0.275212 , 0.299211 , 0.246489 , 0.347199 , 0.27164 , 0.368833 , 0.409859 , 0.312982 , 0.293345 , 0.260988 , 0.181224 , 0.301094 , 0.334414 , 0.410025 , 0.34078 , 0.220924 , 0.267708 , 0.186859 , 0.358469 , 0.276128 , 0.298994 , 0.260723 , 0.263036 , 0.355977 , 0.434122 , 0.288177 , 0.314063 , 0.34717 , 0.320312 , 0.341559 , 0.229598 , 0.243441 , 0.244498 , 0.248354 , 0.138357 , 0.172186 , 0.120578 , 0.152067 , 0.241647 
 815 , 0.114019 , 0.273264 , 0.314787 , 0.245303 , 0.285838 , 0.25164 , 0.355095 , 0.255829 , 0.288041 , 0.309619 , 0.148482 , 0.304436 , 0.320589 , 0.20517 , 0.082729 , 0.156899 , 0.146241 , 0.232777 , 0.310394 , 0.214699 , 0.317591 , 0.379538 , 0.244012 , 0.298605 , 0.362505 , 0.260071 , 0.314783 , 0.234938 , 0.42186 , 0.276584 , 0.240957 , 0.334421 , 0.300388 , 0.395871 , 0.336573 , 0.152932 , 0.239922 , 0.294203 , 0.177105 , 0.321478 , 0.276839 , 0.275562 , 0.29949 , 0.246727 , 0.347671 , 0.271846 , 0.368993 , 0.410237 , 0.313274 , 0.293574 , 0.261178 , 0.181446 , 0.301202 , 0.334657 , 0.410355 , 0.34089 , 0.221239 , 0.267869 , 0.187088 , 0.358708 , 0.276295 , 0.299277 , 0.26105 , 0.263201 , 0.356381 , 0.434377 , 0.288306 , 0.314319 , 0.347401 , 0.320523 , 0.341878 , 0.230034 , 0.243525 , 0.244674 , 0.248651 , 0.138443 , 0.172268 , 0.120701 , 0.152166 , 0.241851 
 816 , 0.114057 , 0.273338 , 0.315199 , 0.245573 , 0.285963 , 0.251881 , 0.35538 , 0.256036 , 0.288382 , 0.309678 , 0.148576 , 0.304726 , 0.32089 , 0.205216 , 0.082721 , 0.157042 , 0.146304 , 0.232843 , 0.310489 , 0.214858 , 0.317826 , 0.379868 , 0.244283 , 0.298807 , 0.362846 , 0.260271 , 0.315132 , 0.235096 , 0.422165 , 0.276701 , 0.241096 , 0.33473 , 0.300685 , 0.396203 , 0.33704 , 0.153039 , 0.240157 , 0.294429 , 0.17738 , 0.321758 , 0.277175 , 0.275932 , 0.299775 , 0.246972 , 0.34819 , 0.272067 , 0.369144 , 0.41064 , 0.313586 , 0.293818 , 0.261367 , 0.181677 , 0.301311 , 0.334905 , 0.410711 , 0.341009 , 0.221569 , 0.26804 , 0.18733 , 0.358971 , 0.276478 , 0.299571 , 0.261386 , 0.263368 , 0.356818 , 0.434625 , 0.288439 , 0.314587 , 0.347664 , 0.320757 , 0.342209 , 0.230486 , 0.243609 , 0.244861 , 0.248969 , 0.13854 , 0.172347 , 0.120839 , 0.152261 , 0.242058 
 817 , 0.11412 , 0.27344 , 0.315586 , 0.245827 , 0.286123 , 0.252107 , 0.355669 , 0.256186 , 0.28867 , 0.30979 , 0.148696 , 0.305047 , 0.321192 , 0.205384 , 0.082755 , 0.157167 , 0.146396 , 0.232959 , 0.310616 , 0.215031 , 0.318081 , 0.380233 , 0.244556 , 0.299033 , 0.363262 , 0.260487 , 0.315501 , 0.235283 , 0.422521 , 0.276789 , 0.241264 , 0.335061 , 0.30104 , 0.396624 , 0.337508 , 0.153169 , 0.24042 , 0.294684 , 0.177676 , 0.322065 , 0.27751 , 0.276319 , 0.300082 , 0.247212 , 0.348706 , 0.272269 , 0.36931 , 0.411038 , 0.313903 , 0.294053 , 0.261564 , 0.181911 , 0.301419 , 0.33516 , 0.411062 , 0.341141 , 0.221851 , 0.268195 , 0.187569 , 0.359255 , 0.276675 , 0.299854 , 0.261716 , 0.263542 , 0.357258 , 0.434914 , 0.288594 , 0.314851 , 0.347914 , 0.320984 , 0.342612 , 0.230925 , 0.243754 , 0.245087 , 0.249247 , 0.138665 , 0.172439 , 0.121012 , 0.152377 , 0.242232 
