  time  ,:54:32 A,:54:39 A,:54:47 A,:54:55 A,:55:04 A,:55:21 A,:55:37 A,:55:44 A,:55:52 A,:56:00 A,:56:34 A,:56:43 A,:56:51 A,:57:00 A,:57:08 A,:57:33 A,:57:41 A,:57:50 A,:57:57 A,:58:04 A,:58:57 A,:59:10 A,:59:18 A,:59:26 A,:59:33 A,:00:17 A,:00:28 A,:00:35 A,:00:46 A,:00:54 A,:01:48 A,:02:00 A,:02:10 A,:02:18 A,:02:27 A,:02:48 A,:02:57 A,:03:06 A,:03:17 A,:03:27 A,:04:13 A,:04:23 A,:04:30 A,:04:38 A,:04:46 A,:05:06 A,:05:15 A,:05:25 A,:05:34 A,:05:44 A,:06:22 A,:06:32 A,:06:42 A,:06:53 A,:07:05 A,:07:32 A,:07:42 A,:07:54 A,:08:03 A,:08:13 A,:09:01 A,:09:09 A,:09:17 A,:09:25 A,:09:33 A,:09:58 A,:10:34 A,:10:41 A,:10:48 A,:10:56 A,:12:44 A,:12:51 A,:12:58 A,:13:13 A,:13:22 A,:13:41 A,:13:48 A,:13:54 A,:14:03 A,:14:16 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 1.051818 , 1.051818 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 1.36584 , 1.36584 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000309 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000592 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000839 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00022 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000081 , 0 , 0.000169 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000336 , 0 , 0 , 0 , 0 , 0 , 0.001283 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000132 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000036 , 0 , 0 , 0 , 0 , 0.000077 , 0 , 0 , 0.000222 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000017 , 0.000206 , 0.000053 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000741 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000262 , 0 , 0.0006 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001351 , 0 , 0 , 0 , 0 , 0 , 0.002932 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000503 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000165 , 0 , 0 , 0 , 0 , 0.000292 , 0 , 0 , 0.000872 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000062 , 0.000781 , 0.000222 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001139 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000394 , 0 , 0.000957 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002371 , 0 , 0 , 0 , 0 , 0 , 0.004111 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000847 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000332 , 0 , 0 , 0 , 0 , 0.000487 , 0 , 0 , 0.001499 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000101 , 0.001304 , 0.000407 
 335 , 0 , 0.00004 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000035 , 0.000007 , 0 , 0.000243 , 0.001548 , 0.000215 , 0 , 0 , 0 , 0 , 0 , 0.000114 , 0 , 0.000704 , 0 , 0.001324 , 0 , 0 , 0.000024 , 0 , 0 , 0 , 0 , 0 , 0.003293 , 0.000041 , 0 , 0.000035 , 0.000122 , 0 , 0.004959 , 0 , 0.000059 , 0.000034 , 0 , 0.000063 , 0.000111 , 0.00004 , 0.000023 , 0 , 0.000117 , 0 , 0.000046 , 0.001188 , 0 , 0.00002 , 0.000055 , 0.000027 , 0.000013 , 0.000085 , 0.000095 , 0.000106 , 0 , 0 , 0.000926 , 0.00001 , 0.000122 , 0.000019 , 0 , 0.000816 , 0 , 0 , 0.002075 , 0.000054 , 0.000205 , 0.000157 , 0.000062 , 0.000057 , 0.000085 , 0.000364 , 0.001853 , 0.000656 
